day,mean,min,max,var
1,6.184691290102453e-07,-4.2680066719810223e-08,1.7750260046090612e-05,pr
2,1.4382117144513312e-05,-3.9414222343190244e-08,0.0004194059815716,pr
3,2.183095315393629e-06,-3.940139962139313e-08,6.367054240970829e-05,pr
4,6.202303561975771e-08,-5.0559336228310654e-08,2.612835027321785e-07,pr
5,4.013614074039233e-06,-5.156791228987354e-08,0.0001189648533405,pr
6,8.264145065339278e-08,-4.5886068981339993e-08,2.7766916960912095e-07,pr
7,6.993246993455883e-08,-4.497622228897384e-08,2.579447698236549e-07,pr
8,3.36318110767301e-07,-3.167615067788236e-08,8.066954524029296e-06,pr
9,1.9665289300434522e-07,-3.75083579460238e-08,3.6481269641146538e-06,pr
10,1.3910513017398366e-07,-4.8994328468756385e-08,2.264521505033925e-06,pr
11,7.995283518967656e-08,-4.6197872594549055e-08,2.6516517624359737e-07,pr
12,3.9328343732759514e-08,-3.5597261497976776e-08,2.587661234164083e-07,pr
13,8.40667760513055e-08,-4.5904869078169886e-08,2.80129268001804e-07,pr
14,1.505656344030351e-07,-5.174491642860725e-08,2.0467854697276968e-06,pr
15,7.926496403919647e-07,-4.192972589907704e-08,1.336100811326082e-05,pr
16,8.869140609781114e-08,-3.049557873872014e-08,3.823558134280355e-07,pr
17,1.8700645695912205e-07,-4.427598453494895e-08,4.018932099793507e-06,pr
18,4.025339879247796e-07,-3.341219337303401e-08,6.36547324307123e-06,pr
19,0.0002524927852226,-3.9276047378933866e-08,0.0075732003772459,pr
20,3.5226091414390176e-06,-4.9608429670756415e-08,7.899026777170409e-05,pr
21,4.664237499682252e-06,-3.4862476512275744e-08,0.0001374932902084,pr
22,4.3598783717883043e-07,-2.2071484983248066e-08,8.033592429113891e-06,pr
23,1.1259940117248529e-07,-4.0759454649277694e-08,1.0652707397022628e-06,pr
24,1.8760586983063016e-05,-3.853551026231462e-08,0.0005554088446829,pr
25,8.485090986991212e-06,-6.317348374201457e-08,0.0002496464669288,pr
26,2.9595628466790126e-06,-3.6756242838347934e-08,8.142304942466818e-05,pr
27,2.1689820003395813e-07,-3.592026969321543e-08,3.821562403880465e-06,pr
28,4.515849792735382e-06,-4.309112282248209e-08,0.0001327269677107,pr
29,1.1398920373059198e-06,-5.980420638264077e-08,1.587515113674002e-05,pr
30,1.260285547088728e-05,-4.9541491827254564e-08,0.0001913830388399,pr
31,1.6828358877607729e-06,-5.290311901649414e-08,4.768519700247953e-05,pr
32,6.88813485415593e-06,-6.173841548182e-08,0.0001588235049004,pr
33,1.1818967365182327e-05,-2.8259970208163707e-08,0.0002242627149744,pr
34,2.0768752547558907e-06,-4.277343616182413e-08,3.0318907736359674e-05,pr
35,3.64756374008097e-06,-3.1641667990129154e-08,6.199221711441283e-05,pr
36,0.0182874179276281,-3.876043530841801e-08,0.5484553370703779,pr
37,0.0141571277330067,-3.097768862725622e-08,0.4222181826772857,pr
38,0.0873726696736442,-2.8388689097569325e-08,2.6204801220125,pr
39,0.0670102786388651,-4.82361200914273e-08,2.007241762732864,pr
40,0.0001921086071611,-6.684279765792988e-08,0.0027410877472461,pr
41,0.000203195888163,-4.6575786780862896e-08,0.00501962689612,pr
42,0.0495843313516923,-3.4211833146144734e-08,1.4873151757331302,pr
43,0.1550047902407412,-5.4532128991721146e-08,4.650013413366173,pr
44,0.0004138719210658,-3.5354948696376734e-08,0.0118876035521693,pr
45,4.24983461064874e-05,-2.8918921617471223e-08,0.0005355947150557,pr
46,7.027808500338091e-06,-2.0832787757717532e-08,0.0001763567530119,pr
47,9.898972149270643e-07,-4.990369743892837e-08,1.284062696025199e-05,pr
48,0.0021713139258092,-2.8226525751439296e-08,0.0650437953195747,pr
49,0.0856675078074593,-5.978890195558905e-08,2.565569821094676,pr
50,0.0336197391802092,-4.374071798971255e-08,1.0003538009658026,pr
51,0.0020539000406048,-4.295253095342656e-08,0.0606036618958854,pr
52,0.0055185337994306,-5.5795534971575394e-08,0.1638279486316859,pr
53,0.0004573236679908,-1.9710426653577556e-08,0.0110459753110792,pr
54,0.0158217561556902,-4.993263134481809e-08,0.4383673309012988,pr
55,0.0013742174467048,-3.422469978879314e-08,0.0367149540323258,pr
56,0.0261038125987397,-2.089665557247669e-08,0.7680746034283075,pr
57,0.0913146659501858,-3.5684714614968624e-08,2.513759137917432,pr
58,0.0127855839577634,-3.3043837284925246e-08,0.1795859242567711,pr
59,0.062969603102465,-4.5848867499339286e-08,1.7793447408187488,pr
60,0.1062066936941413,-2.9007778784466964e-08,3.177543593592259,pr
61,0.2533057377174927,-4.1761808845304536e-08,7.592088025290852,pr
62,0.0799201332355993,-3.798610634434018e-08,1.733157855098605,pr
63,0.0210933240154989,-2.6468387258543844e-08,0.6260296309390029,pr
64,0.0224889386124693,-5.031275463396697e-08,0.3908603571202357,pr
65,0.1370026063950704,-3.9341565020307515e-08,3.2989081630308283,pr
66,0.278035024947865,-5.4671188840790725e-08,7.2879436817456655,pr
67,0.0215575218286085,-4.7298113419735e-09,0.5728195293290615,pr
68,0.0146306091657059,-2.2778972647330192e-08,0.3577853562063584,pr
69,0.0123920500116153,-5.125170908344957e-08,0.1932309108013547,pr
70,0.2696434929166839,-5.067951988157464e-08,4.368417284142473,pr
71,0.1767056374231104,-1.6172536632896645e-08,4.9938781564827055,pr
72,0.160603836964715,-3.866539590698769e-08,4.151747900545212,pr
73,0.05587167866969,-2.9059263204795653e-08,0.7853424624197741,pr
74,0.0060586953016979,-5.597113393071917e-08,0.0886775173483593,pr
