year,1,2,3,4,5,6,7,8,9,10,11,12
1988,25.65805728930628,27.96651641135825,32.42820859179147,31.85604071640964,29.80874067745931,28.73831211643712,26.323607256719136,25.57513732508269,26.75217205088891,27.8623071830181,28.61483807987338,25.20180240294124
1989,26.32781012025959,30.310312215178445,30.30813453663616,31.6068870467464,31.64856338607129,29.393624873873318,27.635595610642145,26.517894604235394,26.53626034026326,28.283533003586783,28.741569400061174,25.25918254083557
1990,24.77533033193202,27.058803282098054,31.7743352569678,34.23857554422994,32.37001776265466,30.522003077089508,27.182715321729088,26.09232806974721,26.050669954342425,28.84038659908607,28.33908859215647,25.86603914824584
1991,24.80769345050863,30.66973673665712,33.15212448241561,34.145790621950255,33.27106274840813,30.37513883191133,27.042179545027107,25.827719797777647,25.456680108255124,27.15876845889123,28.77021291986206,26.121908598961426
1992,26.20542435101184,28.62333514549126,31.799877400019604,33.33222791655013,32.18787353804164,28.966517350448324,26.009156190922607,24.715872440165118,25.539955711381012,26.73807996104836,27.35547456124249,27.33243373030634
1993,25.18182912694419,29.093181234480927,30.62252298251889,33.329638421995206,30.51071755286821,27.76029725911092,25.310363655176324,24.912547569699445,24.85631100217669,27.048597608598502,28.45363916611433,25.9040571660521
1994,26.87532295688951,28.01815326144141,31.026224275763237,32.859256776962994,31.204616705888075,29.774700974580096,26.667342458117943,24.97319168442549,26.18917754489986,28.03517617733277,29.205563784905607,26.83115616249021
1995,24.89297062900428,29.07974450050822,31.34412404187829,32.83577906047193,31.54460253700464,29.0240297531643,26.48303181245025,25.21189084069456,25.292293604769327,27.143487922594133,27.4018036413478,24.71217361706952
1996,24.55686309638628,26.82304037219622,31.036840512017044,32.203076367421275,29.951887615540485,29.0527089006648,25.636483616026,25.019109203588272,25.88590163561329,27.48033841549156,28.375936262611848,25.69886539459413
1997,24.29180165665682,27.68292372264474,30.747615930946736,32.78900816138719,32.338247035645104,28.907168421741275,26.85085145336226,25.166423184480877,25.42426716039531,27.36488654085125,28.7906900693,25.13550925385298
1998,23.730931383507844,27.57720853956241,32.73905917068454,33.21316319242098,31.942698616734067,31.200654681114244,27.74303989324744,25.99306920471924,26.356418481902622,28.56395949779447,28.09173848563208,27.37185528209504
1999,26.76600424668125,30.34331583024797,32.837319157044845,33.76498655477158,32.62742416653417,30.220695308733145,27.10596059303892,25.843073937225096,27.22278114280553,27.98253994359101,28.038741045602272,25.1680573342145
2000,23.636550051241294,27.85176954821866,31.448806551305186,32.902568879616005,32.27080712026194,29.512691093866163,26.246375692639045,25.467142304858665,26.001757633134705,28.041610389418302,29.24274336987448,27.99803974035306
2001,27.58557534997327,28.061184497037694,31.62964556907441,33.83065222007433,31.51178660420515,30.574757332901797,26.163410777731528,25.17784060397499,26.290456801907222,27.578029768544816,29.17115777429753,26.731651401617523
2002,23.10216874074368,28.43842177400282,30.55345310256437,33.136974845374034,32.62288301770353,30.4466548566373,26.69429902183389,25.489677735059505,26.60482580348032,27.92803343077404,28.62981651775342,24.904317677802943
2003,28.884573804046205,31.32942042912532,32.14200902625417,32.83534978265854,33.62641243476355,30.57817096088193,27.09117006652504,25.525243145251,27.275095535859883,29.057190367043784,29.688615793204324,27.334078964183224
2004,28.144978392766436,30.872041966390885,32.298048244791424,32.32051194019333,31.775401219600838,30.11284404348361,27.04266782280221,25.144949837314645,25.48761037662204,28.402535147776277,27.621532319489308,26.029883896325472
2005,25.89696660395686,30.700668999422334,33.149808387817664,33.7056013747614,31.26359773667308,29.48763268044752,27.02127343327167,25.97623802397968,26.33934758894176,28.39585435378983,29.35219502069138,26.40676860484614
