year,1,2,3,4,5,6,7,8,9,10,11,12
1988,19.52180715799808,21.891689156657428,24.55995585377912,26.81958557461278,27.13274240375973,25.422749610031964,23.18540490863327,22.24497093890957,22.5606456434657,24.19786034778002,21.73016636590257,18.82993273087372
1989,16.642474168391868,18.858111537279257,21.47048169865591,25.0028220997631,25.5916110777122,23.6917397714764,22.28450742825423,21.898133945834257,22.287532585508583,23.15563194408596,19.707692999333823,18.083314770747013
1990,16.422424958010804,20.241396573293564,21.843977562975752,26.2391805407452,25.695538642462136,23.54766803328604,22.536780751869152,22.308755146192222,22.61041131314996,22.826910744339685,20.818143912146805,18.9475982014732
1991,19.0829449765002,21.718088754784706,23.899565327744742,26.56777633535708,25.973629906324533,23.864508856293448,22.51313149127181,22.327259730299268,22.41321345712236,23.594157429381955,20.996869247638603,19.622296005781205
1992,20.069044325769475,21.89144099917745,23.73403305824784,26.803211659265788,26.501729525514364,24.847574204374123,22.55940839047451,21.905202804978828,22.09793374942262,22.779165198034143,20.955275399136944,16.989219631819232
1993,16.030315250837788,18.324191084676027,22.282908447254822,25.08277861474314,25.69452648567185,23.462052276063933,22.216885096160027,21.814052319071315,22.017284367236748,21.67118857857828,20.313206802063128,19.092346144650183
1994,15.264346101638347,17.695464481996847,22.22911569681117,25.84532932036617,25.76791411106847,23.74453168504202,22.65570871504664,21.903392888151824,22.18549823900528,23.016865166824644,21.848846564427586,18.571903603617542
1995,17.8823255972838,19.521569060438537,22.58967449146329,25.56596214554782,25.766727326631663,23.7955872859128,22.305046855677848,22.30987714569861,22.478930732041963,23.706660276227463,20.16050661135781,18.51663072748852
1996,19.922120557487407,22.602939028222835,26.185439848715408,26.710959238338265,27.47425784673,25.59292216890778,23.353265604873272,22.72342631112589,22.76533473378203,23.69422974994777,20.405076715903707,18.2735217559942
1997,18.82396683182841,21.396110770001005,23.58457312278204,26.30552705326856,25.855561533251585,25.370603596461773,23.529173958472622,22.56423946520443,22.148816933808497,23.447626577857868,21.64182223120982,18.281385537808205
1998,18.349280232482418,19.411738312311684,23.701705535322688,25.8056068048216,25.79035560695977,24.510787890062385,22.74973376696691,22.14731304675081,22.291894026354164,22.359676018350804,20.55986546099229,18.24295744451588
1999,17.19778442749044,20.078383788142705,21.732461088022745,26.644688925868174,25.743150598437783,23.85363846657118,22.811626019127424,21.93907480513068,22.36827578030042,23.50942924948752,19.65517400353813,19.274659817483737
2000,18.626789435028403,21.705910312859924,25.515859672680666,26.13953141686355,26.424560448242023,24.829926671963268,23.169370910571363,22.564117728496004,22.64081405444906,23.45017677793395,20.59087954250024,19.04202085879848
2001,20.042423116759288,20.90772237574508,24.611108668756444,27.311306271492715,25.264749541461125,24.43378125306924,23.465712127543497,22.80098433896479,22.887510910758973,24.40608046342815,20.69894655680166,19.92275748545515
2002,20.32320290212566,22.57278278377624,25.64691612854465,27.500916166773035,27.10153993962872,25.72051553644811,23.514841654391542,22.44122979620074,22.51563699890407,23.918504669180773,22.22839631749485,20.314687303446888
2003,20.261571621664807,20.419175205782352,22.628605347513684,26.138941290025848,25.773185641960705,24.05659094365586,22.45086780857602,22.19101916213404,22.663805643291354,23.0066704386961,21.06936490342526,18.564080585464364
2004,17.49457938164426,19.58008531108576,24.10607367570934,25.48289498776545,25.92117310997465,24.67744988518825,23.18877740499536,22.88376719917908,22.98127954435133,23.55664621140833,20.618419149287,19.760944517216064
2005,18.54368751268338,20.514465944641127,24.12311456181376,27.46641519562688,26.39111256202993,24.40482926769469,23.24320068966016,22.674937507410096,22.808903636454406,22.42965114775925,21.719009084619152,18.944650698709804
2006,17.999132207188712,21.175977622638065,24.55852882283186,26.599851925743497,26.215561732683742,25.518106465298366,23.860530582153,22.63247316631614,22.95715569609004,23.894237308762555,21.807943809902625,19.874264294345785
2007,20.24663194945383,22.355196354678984,24.89042156581053,26.67373171739976,26.46413472663941,25.871772200730348,23.973388857730995,22.757112164848586,22.925837053218263,23.503205108612363,22.22245591045088,20.861183992135107
