day,mean,min,max,var
1,3.663689689095325,2.666436994092904,5.137730817189628,sfcWindmax
2,3.586552370878623,2.673872863116709,4.9371709961714165,sfcWindmax
3,3.60122265335581,2.6845369747110595,4.857930194493789,sfcWindmax
4,3.743101372696065,2.272189656981052,4.731123379364176,sfcWindmax
5,3.762205979960753,2.3707060652264103,4.774906331910611,sfcWindmax
6,3.70276866397106,2.969384002503316,4.6128216112094655,sfcWindmax
7,3.717555709558342,2.920193666503787,4.742423335610543,sfcWindmax
8,3.795254143012813,2.925692685564277,5.026247499253097,sfcWindmax
9,3.832731846665189,2.8067970039661136,5.727850358236911,sfcWindmax
10,4.003286101786146,2.86621971557024,6.558127632774175,sfcWindmax
11,4.074167119464013,3.099361244577782,6.029673765608122,sfcWindmax
12,3.9774576700861055,2.9638900528736456,5.270563339854071,sfcWindmax
13,3.789899720773709,2.772791055974748,5.134224019131419,sfcWindmax
14,3.7757446515874657,2.660418771554677,5.319923716317069,sfcWindmax
15,3.7757467591403215,2.5697860353211945,5.056326087294123,sfcWindmax
16,3.900047907923871,2.825884278165073,4.971151622709064,sfcWindmax
17,3.82561293707407,2.846148905318351,5.102586598094302,sfcWindmax
18,3.737205616469791,3.006057736399929,4.928414548534861,sfcWindmax
19,3.76941463622205,2.892624408742281,5.491113738848847,sfcWindmax
20,3.799014156687349,2.913054772609896,4.9878328697492975,sfcWindmax
21,3.7436578497578816,2.974454905653936,4.813775162632851,sfcWindmax
22,3.89964612529733,2.6088761766137645,5.674617122871329,sfcWindmax
23,3.96510786021975,2.976410562159073,5.828083107563783,sfcWindmax
24,3.943842883803767,2.857963967802583,5.16297569385501,sfcWindmax
25,3.893464794650517,2.765073380159795,5.671899620126842,sfcWindmax
26,3.964120145569779,2.7066007449519525,5.098509180567618,sfcWindmax
27,4.146449568806816,2.647684506545518,5.366693047371495,sfcWindmax
28,4.033647713789436,2.7539309801415213,5.837166731331145,sfcWindmax
29,3.9546526624530975,2.935309728304991,5.964320585269915,sfcWindmax
30,3.84259181064611,2.928357954398004,5.968983576775927,sfcWindmax
31,3.837818460070682,2.697242278552566,5.908749132958668,sfcWindmax
32,3.953750576285075,2.8303265321418865,5.630658645705357,sfcWindmax
33,4.177603004836608,2.870881509910666,5.578527956087025,sfcWindmax
34,3.9238878013154346,2.4460512976902304,5.618511476942127,sfcWindmax
35,3.884107704323462,2.639677396675345,5.1060167221578245,sfcWindmax
36,4.038101594623423,2.9934911077003,5.399749554362638,sfcWindmax
37,3.934188676312204,2.875830212366179,4.8415699372021,sfcWindmax
38,3.915815985588517,2.9898441273805294,4.912737146787894,sfcWindmax
39,3.944899256223193,3.021582838682083,5.232163402963802,sfcWindmax
40,4.006502199872188,2.9927612676876136,5.703524334856669,sfcWindmax
41,4.016298430042927,2.821910756641518,5.16783660932785,sfcWindmax
42,3.991838477356725,2.849298880151332,5.2043084951227545,sfcWindmax
43,3.9933088508363737,2.832534212427862,5.126638380336029,sfcWindmax
44,4.051657713092843,2.902850176573062,5.850696528746044,sfcWindmax
45,4.048612180894804,2.644857399435488,5.96040401715719,sfcWindmax
46,3.9019451413384174,2.8555973535344377,5.012810249179128,sfcWindmax
47,4.014513905624125,2.783024941064399,5.570216398166108,sfcWindmax
48,4.054798094971432,2.8523419313593403,5.584556980522498,sfcWindmax
49,3.9940647041706967,2.9019242946103474,5.317505663119152,sfcWindmax
50,3.9736803156257534,2.933417007511517,5.382909668778194,sfcWindmax
51,4.118857918612012,2.700447665842552,5.787667826014292,sfcWindmax
52,4.092812018251303,2.917752096186452,5.628368430271895,sfcWindmax
53,3.8265026900449697,2.5738170471742445,5.000044513498078,sfcWindmax
54,3.875917252231363,2.7379124947818134,4.923021093488801,sfcWindmax
55,3.960453000621849,2.958980770556616,4.815388184356794,sfcWindmax
56,3.9812690036098406,3.1861755784708774,5.104990285717267,sfcWindmax
57,3.9065343040727374,2.603568890421001,5.932263771294435,sfcWindmax
58,3.8616154021032334,3.1337137818355467,6.046560969387119,sfcWindmax
59,3.903791623452452,2.933249237220785,5.879154489037899,sfcWindmax
60,3.798455461199647,3.039290825220768,5.135915340912902,sfcWindmax
61,3.83327565171995,3.1428193038415,5.45042626061016,sfcWindmax
62,3.796801139828444,2.922747823278549,5.298329936165828,sfcWindmax
63,3.8530584978342617,2.952421497213268,5.69651886601438,sfcWindmax
64,3.773059518394756,3.0529879906395103,5.442826399464876,sfcWindmax
65,3.953107843085448,2.797252439439091,5.940090279140806,sfcWindmax
66,4.019906007701958,2.990312710819075,5.314882368043172,sfcWindmax
67,4.014896166346613,3.120037397656998,5.954463038743247,sfcWindmax
68,3.843200544550615,3.19624530398307,5.0528318445556994,sfcWindmax
69,3.874364464765285,2.8647488593448007,5.260424494062884,sfcWindmax
70,3.9028944035572337,2.7192177274899536,5.410048969240533,sfcWindmax
71,3.939977734414018,2.807933040032091,5.56329532310421,sfcWindmax
72,3.608682566134569,2.505473582467893,4.693726019206005,sfcWindmax
73,3.6995464864384577,2.9044057889966024,4.6645459424533495,sfcWindmax
74,3.665740187541414,2.651929117766159,4.900995495436823,sfcWindmax
75,3.752784337440112,2.851880267656928,4.99715511091919,sfcWindmax
76,3.738818637832123,2.8585664356560327,5.347585949564692,sfcWindmax
77,3.763173610199748,2.9726122997559394,5.915088168450012,sfcWindmax
78,3.868792734508311,2.979132481090108,5.520214295099461,sfcWindmax
79,3.825977435571804,3.056165239784085,4.890229652412937,sfcWindmax
80,3.666198292004341,2.876809833407361,4.343587072189514,sfcWindmax
81,3.892535001904605,2.695777498132601,5.502402292150399,sfcWindmax
82,4.003488566230029,2.696308220122908,5.324542353774444,sfcWindmax
83,4.2034132064037,3.062012992429197,5.597593427575506,sfcWindmax
84,4.016837438923984,3.108844326461992,5.59592725492536,sfcWindmax
85,3.903982208557805,2.9554601916072225,5.245964697009917,sfcWindmax
86,3.937269007704525,3.164507105480798,4.975067974150438,sfcWindmax
87,3.884877169105066,3.101172002794162,4.891025062492681,sfcWindmax
88,3.882498828171128,2.9930778423815534,4.85550231638462,sfcWindmax
89,3.912543177678609,3.104052082737468,5.550859319496356,sfcWindmax
