year,1,2,3,4,5,6,7,8,9,10,11,12
1988,1.8401724977919928e-06,1.7719348673416635e-06,0.0700484294099403,20.011500143178488,62.27380754141893,91.07495782740224,179.85817609703548,123.10242868263984,61.183572993760194,19.822394732718177,4.330988432574328,1.811678139153702e-06
1989,2.816395977987965e-06,1.6562560318424592e-06,2.6334096552525755e-06,22.031087849316343,59.88460373883508,64.90307886122424,80.82073374600995,246.98551186271587,116.01940860662566,13.95242644556278,2.2504889584752904e-06,1.4750015591761207e-06
1990,1.7385039137539498e-06,2.6016678274656986e-06,0.0134967666136999,53.41302481592979,34.15819773518665,95.58016208249236,82.99307495516994,242.4599123013771,80.83969425928399,8.74307321472843,2.6194377917873093e-06,2.464688491081879e-06
1991,3.199026836168189e-06,1.3452128069135078e-06,0.1881707629129491,24.96155645831888,95.23472343742137,122.73226324998028,61.42673485353419,200.01711095033693,205.4479965665636,93.56641620234734,7.202937395341367,2.4443684259380737e-06
1992,1.671868562899414e-06,1.4037462717616057e-06,2.4050245160306006e-06,29.014128048456374,9.089498918793142,87.80408849827353,160.4043862695297,156.18361996036563,55.59808558149689,6.03423548695744,1.2669197080489605,1.801488376389332e-06
1993,2.1941423730004567e-06,1.6424173620526594e-06,9.187682958668605,43.23663232383318,51.861810922451234,38.92229172372775,131.24720792937325,219.5120086093072,185.5913325941329,11.28180431046252,6.8391493918975765,2.24930881684936e-06
1994,1.895522255835232e-06,2.196035720352818e-06,2.906830895788684e-06,13.84166433955409,41.7320108890182,83.6453697910613,55.49475281603495,147.27197129067477,196.2319430556664,45.1264627145772,6.223422968291105,1.9363718198868847e-06
1995,1.111074518339594e-06,2.549727848030106e-06,0.0186009763142841,9.84809811384387,62.60994780984419,68.12286535341588,82.04947073139392,117.20590196684536,99.32644194392182,21.529639035999143,0.0086318092713457,1.6098430934334538e-06
1996,1.33230015445026e-06,2.196980572033645e-06,18.45421060519777,0.5368664362277199,16.865918350451047,52.163466922519824,168.93391543719426,205.6704997924016,197.01981703705687,43.416330718943016,2.061280907919942e-06,2.564003711078335e-06
1997,2.2428264310608197e-06,1.516106828057704e-06,2.7676146234105e-06,6.277550116816306,38.48690324333988,50.76018436526102,94.34595967019776,176.85539512055445,17.487765144231012,4.930921356080392,0.1801257129900179,1.4649121994003944e-06
1998,1.6690668107798335e-06,2.554383748476365e-06,2.663202425155644e-06,34.02052184939963,20.467500990760264,33.08659529309962,164.3088766171726,146.32596581403735,95.9174946982267,14.975937171889504,2.5060538401860854e-06,1.4848786362894845e-06
1999,2.402547785434656e-06,1.907994744016886e-06,2.1965834144203863e-06,41.48112192899461,56.52331318178885,35.62717437637581,72.78822882769421,231.75088888418247,221.55570854027695,16.036555854550496,2.1450754690593803e-06,1.6894881144228242e-06
2000,2.509991649041816e-06,2.351051109650461e-06,5.240895082735996,26.01616923374594,27.739142000985467,122.82786651771173,167.39473136375696,258.25505932102595,206.54805227089471,42.76661783823389,0.1000889914748833,1.6083265864500428e-06
2001,2.3061076743598686e-06,1.4691670684659188e-06,0.0206388892015963,39.89919807980642,35.83672233341024,110.31347998073431,85.16939576337528,183.0820353099032,83.57786833404714,116.92496701441392,10.90248922597727,1.2262508866086372e-06
2002,2.041465649613857e-06,1.6553556732093568e-06,0.4694042812279608,11.712829860929425,49.0434241468482,52.244845973438856,201.52877110203903,221.6271308142449,53.27917606864341,17.240969221849205,0.6020407168738996,1.3795331383465602e-06
2003,2.3713693492277027e-06,2.509082121814111e-06,11.011955910925275,24.88096675461,44.83224214708541,66.39399336811428,118.1873398422942,196.67961604312487,146.75534462445867,21.739086466946414,1.8277551462670505e-06,1.5148626112376462e-06
2004,2.847404691775741e-06,1.921024523348395e-06,15.131477910183312,4.363476998601065,12.297388654950003,23.15009205646473,86.92345277203073,143.28380680942897,187.12232495649496,47.10789966587686,2.717431173277064e-06,2.670207182109295e-06
2005,1.5029615218623531e-06,2.185671828628632e-06,1.5233726244275894,63.60613264437757,46.23004575826646,37.238699127435794,86.84488332502403,194.6917753756888,191.8068226461029,7.981583666083921,1.8794569697123156e-06,1.3024430956012203e-06
2006,2.1646951872439576e-06,2.100713963903176e-06,2.456549233535288,34.22369289911291,39.292657933476434,28.357919372075862,162.00651465082944,245.342859349984,98.3704282255234,25.20241390388778,5.788759517219244,2.5773728956484483e-06
2007,2.511676486623443e-06,0.0049406802514309,0.8742997710920974,0.8350216365651659,22.82391055266545,95.05889912096356,201.62087346203543,163.76131012904628,88.66639410812556,18.73895009959545,1.971551464018996e-06,2.4999353817173724e-06
2008,2.0875053150148182e-06,1.2809401057102524e-06,1.7837147196119472,16.302453017283895,38.21684276781452,111.9201921019186,86.76216473784642,129.5175469363108,84.54589363751731,67.23003401418154,0.8302412132151313,2.6208170812024883e-06
2009,2.47170858367657e-06,1.0306319924895771e-06,2.9456677182123995e-06,6.967649406461228,91.70040932198562,19.894144601073243,93.54006946587658,281.7306223364536,109.07581019208811,79.80035242151268,1.0598871729846462,2.685265605978319e-06
2010,1.6561579925582244e-06,2.3037088374993893e-06,2.3930470341584718e-06,20.24807376062549,85.62820910878686,55.02254546279832,95.64945026109294,297.3660042481254,207.34197625833784,27.37760975878139,1.0820087787681725,1.3966478137676986e-06
2011,1.4108062691987464e-06,2.2582876898818644e-06,25.55383238280653,2.048321011639332,90.76572807534087,91.61695484954384,240.69069546593968,228.43786622737017,81.81236918761216,46.20574532047698,10.853062405325543,2.338620590468854e-06
2012,1.5260590599595972e-06,1.8687163189070316e-06,2.6794688364233386e-06,5.5574705997124765,38.94460355514665,42.77187706841056,137.31706745846475,191.7160683266216,145.5251702789991,83.96648209768328,1.9544256584228556,1.7499567604418484e-06
2013,1.477354753690732e-06,1.7152938040873463e-06,0.1959987122673576,12.261931712591082,33.21973500531108,37.65394363667057,86.10228624024838,302.66277999505945,92.16008501587582,56.5220544106713,2.2295167566903435e-06,1.7417555844492915e-06
2014,3.38693437281475e-06,2.361301024658636e-06,15.180360392314764,19.08653418131782,20.552041101354472,111.7403611867667,117.9040097404818,241.44157724141496,149.99282529356526,11.375114374245529,0.8168879223449915,1.409896134773491e-06
2015,2.0908297675817177e-06,2.944039505892536e-06,18.416524466929065,37.32911614279602,27.91117989970508,40.61187770748653,309.3790349860884,305.3291970456802,190.64307035283105,101.68725863494426,1.5491417820604655e-06,1.824264667876988e-06
2016,2.389644982763649e-06,1.2804533200397e-06,0.2592465646675688,37.41026338590677,45.7850417172883,83.12021764256744,122.61977253774742,192.4483508724425,251.03966036997247,110.7367738521267,3.1815840449754047,2.1866314280647498e-06
2017,2.031035607063857e-06,1.7639145577606688e-06,29.15128567741663,20.875532409767025,10.01897104204842,107.71310378524468,163.0680170528118,207.447793428118,27.77702559909845,21.891005840601583,25.01438807742001,3.121284991943519e-06
