year,1,2,3,4,5,6,7,8,9,10,11,12
1988,3.71166344163402,4.286228179649656,3.952784645702221,4.318637763718852,4.103110485344352,4.082974378714226,4.240343729247901,3.931828975670956,3.0474244116951392,2.9485415792173995,3.522926598210347,3.906436766508934
1989,4.380864877280958,4.365927855853292,3.974524552059879,3.980148490471791,4.039827157627511,4.398690317670349,3.624906389726819,3.70528139848501,2.914252652670084,2.8770510970534238,3.20980286840386,3.5196684237066167
1990,3.768122600886264,4.084920213936429,4.043341376275242,3.923146490275789,4.0080449703451695,4.047178942361947,4.135990425788126,3.5401233940055423,3.328269475785086,2.841695278984435,3.7975034802772862,3.925641987197131
1991,4.053467972292878,3.766045777907228,4.055250835452614,4.262156482265203,4.331888827194208,3.9146322471771176,4.066755910888111,3.548776150544506,3.1424710471105946,2.827792359316044,3.2053566594641336,3.7441666312705015
1992,3.6653989617343257,4.47652478511433,3.798674029849361,3.910902252292447,4.099339806971744,4.071355590739481,3.864093432842598,3.506018407942921,2.803778677709309,2.8070971589245577,3.2847227039308424,3.8645954426950944
1993,3.82282184315256,4.525896901567486,4.181578217259264,4.044787667571845,3.8224427096027713,4.088730956593266,3.6497964445738185,3.598639568925319,2.82742523032947,2.734469648764972,3.30475600343206,3.67109463989019
1994,3.806138440458248,4.140257829546578,3.7556119130471752,4.204929745559463,4.195993907741654,3.757468497534704,4.641911831394475,4.093022407971173,3.518402009221655,3.0400920711446933,3.3132931974520954,4.022052785372236
1995,3.8143051880552536,3.921809648457704,3.729457537881487,4.140977273106847,3.781096335188295,3.941837636018316,4.00433018949481,4.570026038205414,3.2714368197241366,3.319097854860872,2.984461227229131,3.217193546963502
1996,3.616564604314598,4.312278592108052,4.111604163603393,4.239730536141632,3.9822270617565456,3.900377428750615,3.884148358638538,3.865530036281257,3.157928966456609,3.01669094612296,3.3190645311926645,3.849208494371674
1997,4.0902740532375805,4.358553034402184,4.15021831087379,4.029174974956271,4.402796033424085,4.258693210306922,3.6288031816611,3.58411973201457,2.930633648459722,2.796104542077687,3.1486392994105667,4.052681696364983
1998,4.25863663594105,3.782896551316125,3.839675300219223,4.57941726849053,4.2954011050774215,4.0946310295348125,3.80274506175596,3.8671944740087305,3.178516664121213,2.893851864017692,2.9385260781186533,3.750212514226297
1999,3.774667888217349,3.7914599601430448,3.881809451980524,3.93095442633404,3.899836657932784,3.8599154610613087,4.232817914032244,3.882758863762965,3.277527658809844,3.29911401952933,3.338535075523533,4.034970521174632
2000,3.666306345207459,4.364557863223982,3.792158255920761,4.232191396894324,4.072625281856786,4.328980187262075,4.155562188848887,4.011933794595307,3.485239640029167,2.910781754885942,3.204745115842561,4.035698044829212
2001,3.8190745822272767,3.779739045262052,3.771324511989723,4.230876063302418,4.081434293460162,3.889060155875424,4.476679475362068,4.11705872249475,3.6301705491592537,2.959956968390401,3.585930694548239,3.8914423517497054
2002,4.5184092907317055,3.6953863551805712,3.949806465329385,3.95330170842199,4.111949277005111,4.03951257148316,4.063583815294324,3.973982763594301,3.5218400437866184,3.098062463473277,3.2128745104709604,3.829335218212737
2003,3.698566127803193,3.690972445206917,4.052501148894611,3.900822755724255,4.140093573614187,3.816011480293191,4.236800068366159,3.450225530109923,2.870104231210133,2.9946086149240165,3.171725715649802,3.812951282033702
2004,4.14729300273917,3.769014494724883,3.795974314868285,4.140101824174968,4.118278107516808,3.826042351385349,3.5990920750735573,3.441207737647374,2.9507834383339984,2.757218851352925,3.1410214648499344,3.826977900683586
2005,4.4295461490611485,3.952464616114532,3.722372159138206,4.019793505250745,4.135541520559382,3.9290234208133374,3.79330775618529,3.903243668657979,2.8404511152495524,3.020295275556698,3.3243315642373066,3.2774285864308856
2006,4.374895695802515,4.5586621067546975,4.377477199046356,4.071953086568525,3.9101599328951946,4.07053986381704,4.445310346584916,3.803394526566188,3.253102644865617,3.1342022442187267,3.096176804363305,3.746886474819172
2007,3.4724215671709784,3.802254599031054,3.596453697223229,3.945396875723854,4.32946846032492,3.9703344425847145,4.241132415147185,4.203274242845711,3.3292359625876733,2.9671546630621624,2.955426023470419,3.7067851674964105
2008,3.605624418630097,4.073304037206055,3.8752883508937535,3.9158873463248223,4.105346619278323,4.167579329482583,3.888437651512101,3.643156660619176,3.1532219780896877,3.258152693106776,3.3595089922340504,3.917124821390207
2009,3.7787074136834056,4.233820349640298,4.1447558696886055,3.879495189680936,4.120186488148822,4.319559633752601,3.741208862566972,3.6775933502534817,3.1664902327927247,2.8440228387196136,2.9102689027390984,4.034184529510689
2010,4.158824620983449,3.763405628878537,3.7975422474853215,4.1256126007502365,4.092157918012127,4.305648344176693,4.21306192160453,3.813935508763732,3.357150386058388,2.730269585818943,2.880372177021025,3.483683459485146
2011,4.303763788984786,4.242225598101882,3.777380877522068,4.096115373324072,4.468657493409674,3.985652093640073,3.8969455848579218,3.7379296284848063,3.3330206052510785,2.735829203699896,2.7351325125154773,3.388441853252401
2012,4.071555347499624,4.1819933213746285,4.33428226790937,4.186401074915413,3.980388269307024,3.9751035933340906,4.236082471250184,3.8417065283010894,3.5138589106445672,2.96996842637164,3.2281062912335363,3.450842005138251
2013,3.9668094284307154,3.775723905361457,3.860183609971765,4.049090877854579,4.107627401782305,4.300067947832512,4.082327988775777,4.235161641400016,3.453914863729695,2.8716922037103494,3.1350480006742103,3.9290425587122426
