year,1,2,3,4,5,6,7,8,9,10,11,12
1988,3.929013295829069,4.260555957251439,3.905439527987906,3.856732671161045,3.930217409863765,3.623893793619231,4.002936529545065,3.4840077801330245,3.335891046864933,2.803520221805345,2.5633983112540872,4.338604489659152
1989,3.905306369974775,4.506654548610826,4.37695188228273,4.34783635154449,4.049048180484811,3.9962586103530855,4.235954626546413,3.9290852638092,3.130740527505052,2.791415828093329,3.4038383925779456,4.049577978131899
1990,3.86908862005334,3.675449989374106,4.161064086866927,3.976746282685439,3.498599999110065,3.849676287416862,4.059245836554369,3.810075557438163,3.165330398466429,2.7904681528740523,2.790607562952951,4.214769836402764
1991,3.715820399411066,3.766450487815464,3.437783847465309,3.5673552579676624,4.267112788163326,3.9740165972901607,3.994069096406489,3.901252887081748,3.187498170550368,2.9885417575959106,3.3984059115614405,4.467482078460347
1992,3.806877635988148,4.083918015106869,3.881985437145222,3.9057366322005502,3.7002810043741703,3.9145110570816657,4.060537052191073,3.6376321576163138,3.2945506720623112,2.9214378245439616,3.2596274975042614,3.947163878544232
1993,4.012334816340631,4.5865046476084,4.074444636201294,4.3435285880611145,4.347363052040291,4.223135045966177,3.910807113756857,3.702807951622297,3.0067559222181983,2.903803878854243,3.3494963948781518,3.3188360046578707
1994,4.266661651597012,4.293419077213319,3.805571643206336,4.22718090408049,4.27687021019074,4.191562587954331,4.468774153813685,3.5551724333890955,3.4281090618109427,3.118928200089637,3.0295764662713367,3.409631242209405
1995,3.651409476871869,3.603549254886568,3.833391100629616,4.277069671616319,3.94825130242508,3.76480275843294,4.382661855200966,3.747194366065016,3.4929938617267933,3.166061468794295,3.0956770023795084,3.191457691935566
1996,3.71564022872604,3.4705740253283035,3.684283590762054,4.2906341776725485,3.783835391569671,3.8742577588252542,3.787905011331214,3.757639579781885,2.908129677832493,2.868406238799269,2.973200975861929,3.8772429651683775
1997,3.711748566253656,4.834952463193555,3.774611673576088,3.974606368591564,4.130492678556094,3.951545294162987,4.391744667800189,3.77655639568703,3.059832096497533,2.9855652527208885,3.082694554668895,3.261041005186173
1998,3.732557705202663,3.685228897240511,3.651360063818891,4.0585339054827445,4.416317845765312,4.322089868719412,3.914425577556236,3.5331910793844767,3.0337177587145536,2.95917620101894,3.639819351998859,3.547211194052379
1999,4.387284062703848,3.5284699771960804,3.6810085805334913,4.160047202028644,4.689123043415284,3.667826406164468,3.4537695660291554,3.887940375121756,3.1935156256332173,2.909654293739576,2.9096502402500684,4.255933583618944
2000,3.2629335163082662,3.877552315830554,4.127805878773392,4.261506493946821,3.907594517169015,4.1751702237851225,4.062164188952262,4.088632280013203,2.962750930306608,3.011121643798122,3.561361620806564,3.9342543878640575
2001,3.945536803252295,4.4411310499889405,3.4817444507534345,3.644924514098329,4.081630767244456,4.2018306062016215,4.449016156553369,3.67972290541944,2.9603539086041475,2.981334279364487,3.012299919411785,3.728551687919412
2002,4.3020530975876135,4.217526197632123,3.907388683769201,3.9048538954991834,4.309730540870548,4.103455295059788,4.072838627448131,4.043446791824889,3.2514583170199085,3.0048150870408787,3.7266365005381,3.691143755966959
2003,4.0675605779590365,4.123299649797874,3.620667293726692,4.066657378169356,3.964413660094362,4.21858258225784,3.9212748429640496,3.198556262442349,2.9512649990048048,3.0044392922377887,3.2654050197285533,3.4212124100280272
2004,3.5487063120576523,3.944665455350168,3.924548068390117,4.1743826326748765,3.901644965029737,4.320401075672217,4.043066679405773,4.027568927805381,3.253291078347615,2.783339807116318,3.381419204567192,3.399362984436334
2005,4.010487603132593,4.077022323870494,3.9764975610702233,3.9543906181215056,3.915783199378548,3.7624363588830954,3.677307824691417,3.757134128139768,2.979300421415522,2.7502161351885626,3.3312368979275164,3.9435978753420615
2006,4.372273364582239,4.309010608362549,3.5900988192767125,3.525208135226701,3.745854075782888,3.7231338520209,3.4217894364714168,3.780060210076938,2.794727752654014,2.7331513572701343,2.6941429940953445,3.3239008029179598
2007,3.683854304167825,4.268796527202413,3.750117713589801,4.202434427952161,4.021352837026599,3.9508723788648745,4.241005694755746,3.807317037081436,3.5108039055755387,2.9800848340987383,3.387105970285986,3.66565303373282
