day,mean,min,max,var
1,22.287375950938667,18.05500956718678,24.6698613178749,tasmin
2,22.002505016686754,18.215555481972185,24.254503538462785,tasmin
3,21.774875335003006,18.63066295789435,24.2040431058917,tasmin
4,21.57577885606877,17.998052519876545,23.768003097899,tasmin
5,21.46221031173113,18.146716472437948,23.584526515742247,tasmin
6,21.552226778361483,18.76099381290848,24.097895143814632,tasmin
7,21.76077266528766,18.09266955089136,24.084214305538755,tasmin
8,21.785298800412264,18.1203565370824,24.183600679276346,tasmin
9,21.74405413599947,18.549908188600185,24.1251705157296,tasmin
10,21.629888838664,18.681815967465912,23.441802172562586,tasmin
11,21.54791590489068,18.828152972029542,23.506760875305844,tasmin
12,21.693996480335933,18.24415440289644,23.714352001901272,tasmin
13,22.138837084155835,17.952824958109986,24.259350419498205,tasmin
14,22.349805783585285,18.03311799672796,25.001967689143427,tasmin
15,22.392541603000325,18.185792846171147,25.01382964770456,tasmin
16,22.60038598875695,18.56330312023205,24.28988349579501,tasmin
17,22.490743977859143,19.05533599199693,24.332757590824933,tasmin
18,22.3577726151844,19.14847635116428,24.409764492568137,tasmin
19,22.375749188635105,18.85444978079721,24.112755338479843,tasmin
20,22.60503515725958,19.080774457394217,24.384635820222663,tasmin
21,22.63635955839896,19.54308701209142,24.226291021397355,tasmin
22,22.790096244058148,19.368204226532605,24.545794093358776,tasmin
23,22.976051329733355,20.660776782548574,24.87760622632588,tasmin
24,22.985167583351764,20.27545074435844,25.102299293806208,tasmin
25,22.81227689778022,19.79091963838201,25.273380077600063,tasmin
26,22.718500399304265,19.51663535726758,25.1866668792063,tasmin
27,22.88336924102413,20.023586696475576,24.972468475534622,tasmin
28,22.71255026469489,19.53448957129326,25.11986580152705,tasmin
29,22.59339087488432,19.60645939251978,24.995802377847948,tasmin
30,22.65251060222807,19.35235355234716,25.264419784685604,tasmin
31,22.69835431986538,19.45335763334253,24.81633906924346,tasmin
32,22.82817907723252,20.52638693256284,24.75481687467846,tasmin
33,22.68627891298264,20.33534713823425,24.342745162324928,tasmin
34,22.76382587688976,19.48320706296128,24.92909643066425,tasmin
35,22.80698151194981,18.958209733444804,24.70403289945643,tasmin
36,22.79826710248184,18.503336212795272,24.53820092384425,tasmin
37,22.899105928343303,17.381251078850198,24.78239457102321,tasmin
38,23.284304997582016,17.880326700142795,24.99032644227071,tasmin
39,23.50518230553921,19.2991970779449,25.02612880032225,tasmin
40,23.422560904068657,18.198679573106546,24.53845925316093,tasmin
41,23.371779904819924,18.42999125244153,24.58055033568356,tasmin
42,23.31992949161434,20.12811387362006,24.627718169517944,tasmin
43,23.43115456925524,20.937555269832927,25.17676372565004,tasmin
44,23.582735431249443,21.61467188630377,25.39192914896596,tasmin
45,23.68404055421569,21.47384702552963,24.93284323530052,tasmin
46,23.839960045212685,22.09331001943857,25.53654650537665,tasmin
47,23.963596607256665,22.3974835080144,25.786226691949715,tasmin
48,23.9144460071189,22.41083837462269,25.03243556238517,tasmin
49,23.645905403078498,21.627893479898045,24.6621414871497,tasmin
50,23.52219703939636,20.857375467639145,25.10542936126261,tasmin
51,23.951847873226377,21.83515224854064,25.45830804993285,tasmin
52,24.01015296218511,22.885008638281978,25.36359559685569,tasmin
53,23.960776777826723,23.0070940437324,25.360238062974524,tasmin
54,24.023430027122853,23.343011520795223,25.759907947891914,tasmin
55,24.21475606325175,23.21257181818596,26.55926710140402,tasmin
56,24.169168242147126,23.44259855350601,25.65925764824352,tasmin
57,23.81346586215917,23.0406593714666,24.85147986957477,tasmin
58,23.657122287820744,22.17433310626807,25.195750921053605,tasmin
59,23.578469469096824,22.16497628471642,25.51192654336332,tasmin
60,23.63426577985858,19.78104241019649,25.5693271194322,tasmin
61,23.53641927758757,20.69255583541017,25.15570088821413,tasmin
62,23.79635514958382,22.492016122023504,25.32334022069768,tasmin
63,23.915562706508467,22.608982248126587,25.21833185112666,tasmin
64,23.686720964352386,21.7088392773978,25.164113442630835,tasmin
65,23.62100005105464,20.65526702095709,24.9206140034042,tasmin
66,23.717666793404288,20.60290630527575,25.299328156659826,tasmin
67,23.88154498823682,21.880582181469787,24.98902365177797,tasmin
68,23.930529786472235,20.85854833760317,25.58017633356234,tasmin
69,23.895782141941563,21.920511388646663,25.220946322961943,tasmin
70,23.810524466080228,22.69095249727245,24.970304203056305,tasmin
71,23.658868259451832,21.27527543053497,24.471026416324506,tasmin
72,23.763080468193703,20.48181443523435,25.26245318005417,tasmin
73,23.84949884971152,21.045454736647443,25.235882215364512,tasmin
