stn,var,rcp,hor,stat,centile,val
era5_land,tas,ref,1981-2010,none,-1,25.482749
era5_land,tas,rcp45,1981-2010,mean,-1,25.673846
era5_land,tas,rcp45,2021-2050,mean,-1,26.473918
era5_land,tas,rcp45,2041-2070,mean,-1,26.829623
era5_land,tas,rcp45,1981-2010,min,-1,25.464343
era5_land,tas,rcp45,2021-2050,min,-1,26.09725
era5_land,tas,rcp45,2041-2070,min,-1,26.226159
era5_land,tas,rcp45,1981-2010,max,-1,25.821786
era5_land,tas,rcp45,2021-2050,max,-1,26.793716
era5_land,tas,rcp45,2041-2070,max,-1,27.386077
era5_land,tas,rcp45,1981-2010,centile,90,25.771444
era5_land,tas,rcp45,2021-2050,centile,90,26.725147
era5_land,tas,rcp45,2041-2070,centile,90,27.219504
era5_land,tas,rcp45,1981-2010,centile,50,25.677183
era5_land,tas,rcp45,2021-2050,centile,50,26.433952
era5_land,tas,rcp45,2041-2070,centile,50,26.832384
era5_land,tas,rcp45,1981-2010,centile,10,25.601148
era5_land,tas,rcp45,2021-2050,centile,10,26.277274
era5_land,tas,rcp45,2041-2070,centile,10,26.533495
era5_land,tas,rcp85,1981-2010,mean,-1,25.736242
era5_land,tas,rcp85,2021-2050,mean,-1,26.723547
era5_land,tas,rcp85,2041-2070,mean,-1,27.391187
era5_land,tas,rcp85,1981-2010,min,-1,25.474119
era5_land,tas,rcp85,2021-2050,min,-1,26.320596
era5_land,tas,rcp85,2041-2070,min,-1,26.721057
era5_land,tas,rcp85,1981-2010,max,-1,26.048098
era5_land,tas,rcp85,2021-2050,max,-1,27.10609
era5_land,tas,rcp85,2041-2070,max,-1,28.079009
era5_land,tas,rcp85,1981-2010,centile,90,25.886843
era5_land,tas,rcp85,2021-2050,centile,90,27.044038
era5_land,tas,rcp85,2041-2070,centile,90,27.892732
era5_land,tas,rcp85,1981-2010,centile,50,25.717155
era5_land,tas,rcp85,2021-2050,centile,50,26.671089
era5_land,tas,rcp85,2041-2070,centile,50,27.364311
era5_land,tas,rcp85,1981-2010,centile,10,25.606294
era5_land,tas,rcp85,2021-2050,centile,10,26.486652
era5_land,tas,rcp85,2041-2070,centile,10,27.024674
era5_land,tas,rcpxx,1981-2010,mean,-1,25.705769
era5_land,tas,rcpxx,2021-2050,mean,-1,26.601635
era5_land,tas,rcpxx,2041-2070,mean,-1,27.116935
era5_land,tas,rcpxx,1981-2010,min,-1,25.464343
era5_land,tas,rcpxx,2021-2050,min,-1,26.09725
era5_land,tas,rcpxx,2041-2070,min,-1,26.226159
era5_land,tas,rcpxx,1981-2010,max,-1,26.048098
era5_land,tas,rcpxx,2021-2050,max,-1,27.10609
era5_land,tas,rcpxx,2041-2070,max,-1,28.079009
era5_land,tas,rcpxx,1981-2010,centile,90,25.82003
era5_land,tas,rcpxx,2021-2050,centile,90,26.947276
era5_land,tas,rcpxx,2041-2070,centile,90,27.684734
era5_land,tas,rcpxx,1981-2010,centile,50,25.693511
era5_land,tas,rcpxx,2021-2050,centile,50,26.581723
era5_land,tas,rcpxx,2041-2070,centile,50,27.113853
era5_land,tas,rcpxx,1981-2010,centile,10,25.601425
era5_land,tas,rcpxx,2021-2050,centile,10,26.315894
era5_land,tas,rcpxx,2041-2070,centile,10,26.599068
