year,1,2,3,4,5,6,7,8,9,10,11,12
1981,11.54522936910639,15.619215573659062,17.227600393036937,19.240937517228527,23.16152536278637,27.71248464367428,30.786700142335384,32.83135376965661,27.68029158079614,20.943930747568167,14.797543159459387,15.51527133621592
1982,15.029322677354768,16.88946545134087,13.716671618867576,17.334982182875454,22.052849887404104,24.616483822394123,30.699987860811355,29.15418951388292,26.65096297867128,23.07052803540475,20.3338986629542,13.393811631184384
1983,13.335732824761974,17.47129646865852,18.898298284581905,23.49376815173529,23.260037073780307,28.06125167553231,31.31359952216765,30.9599486051243,27.88084659868495,25.49214532844452,18.7997785536944,13.928161702210216
1984,13.29950672685533,14.434205054365208,15.369970583139146,18.05840538430652,20.83174277390454,25.786574500004274,28.716378097760188,29.054704011181045,21.959239434252463,21.97381804712575,17.253139575230275,14.711111973325783
1985,12.417419759856404,14.44401937350377,20.033407225530265,19.98550355538384,19.895637877927204,23.58734604745285,28.479297064618205,30.267764024458305,26.300606165487167,22.830229899015748,17.217182242915285,15.788181281034904
1986,15.69856564413162,15.458305857361143,17.52280333474872,17.787498816873704,18.63955117568201,24.984688930194533,28.23461808847475,31.090434196844534,27.16108592769947,21.5742940748716,20.533948097653624,14.675165788673526
1987,13.78813420305991,13.667056337848557,17.410285345264352,18.59519212335626,21.09544050012139,27.629931369867293,32.18410062269125,32.19355141844924,26.87287440551224,22.99876493799801,17.45514613042592,14.04672612016405
1988,15.45500801030208,13.796166514648911,18.514876183731413,19.167329055020403,23.67743490361468,24.69805720360318,31.060694895510565,29.79992628414456,27.472406232181832,23.427074622366163,17.970857263398166,15.924564255570449
1989,15.674154744237509,17.886829032125682,18.19138238885511,19.88444016559586,23.33046819989333,25.84699240380011,29.038292427115383,30.108112392100743,27.85475692476156,22.37137613236193,16.248112734479577,14.557076871688423
1990,13.726164761410852,15.518991510750482,18.71049854744352,18.808184892236124,23.57359799402888,26.49531571122395,29.324063976340742,30.0967389124668,27.907558664305824,22.83699473138094,16.955870676549452,13.93873215434981
1991,12.210563369509204,13.912114637576265,15.919501620559124,21.631748349281985,24.19790431862069,31.29346347026909,33.00024145170081,29.306043188612303,28.375273338471224,22.92985065594685,18.56297946945856,15.663132879106122
1992,13.64782246032667,18.537563953344467,20.55602683391375,19.95095704863637,22.86025225005888,25.90730166015349,28.27803182774428,30.63132750437463,26.489261000508137,22.46545491935327,16.68497172121262,14.441732571880411
1993,13.350866861923327,13.30001489048882,17.019504490167492,17.727850968825404,23.781568739377104,25.03524622016691,30.86106198254261,31.708626965156576,27.332209562113533,19.235731636493025,16.02722273832315,13.371006308199725
1994,13.547806800093236,14.540928394328896,18.382961448694378,22.256293510623152,24.01319742016161,28.277296059902675,30.43359440453655,29.662840537757567,27.89241596044236,24.04466102914156,18.968924448215947,14.752174197238732
1995,13.62027052699803,14.868659012132218,21.797911734128224,16.971003948723485,22.429492466072485,24.5273837682756,30.232822046986858,30.33638693572857,25.891242025286925,20.961060345654616,17.20593366008536,13.865151507766264
1996,13.072802993440844,14.900671438188253,15.16624863794887,15.743967414636847,19.06961690517663,26.938686010298017,30.98552845315676,30.26790984732474,29.19661843689963,23.80491439950885,19.408358972595817,13.84899947552945
1997,14.21366956131053,13.964808277697696,17.99722624987017,20.51955866483938,24.92795213295061,26.51034642904433,30.01313951764072,31.50633542541017,28.045764753813444,22.75679105624604,20.700483340467464,16.37071108796025
1998,14.958149249987455,17.480742961050037,18.973630865454,22.18158065005991,26.340024468707764,25.33772681633854,30.33305522325164,32.34186149448838,28.05860714876114,24.879953972023948,20.04372222309841,12.812846531295648
1999,15.108112146156568,12.27717159899318,19.32560286862213,18.03514097866874,21.58884908512853,29.092334189293,32.66941175034607,30.381021170513232,24.73239187098878,21.17351592523341,17.551083729089996,15.106143815570922
2000,12.29119865558518,16.499604152705075,18.69317987246461,20.59163240963053,20.96328344496815,27.851779780198925,30.42998171985633,28.82250849758034,25.96754555667583,20.58946560354956,15.980740109370236,14.851859165001168
2001,14.686450441511068,17.52600920042863,15.881320437564382,22.853829611835284,22.52667475374448,27.085814656636035,33.14944162256877,30.32126965506892,30.747353128110845,25.79200290711057,20.34866697526133,14.766365456426271
2002,15.055000459860247,13.973619764260269,17.560368330795136,18.38418472424546,22.61161910765333,26.267167515851146,32.53947049038401,30.64561076278206,25.89731045770896,21.472947675015075,18.5784598285598,15.370965869625945
2003,13.823086090192689,13.874529740673696,17.50976750297172,20.830079640014,22.242906322440387,29.84146945373204,32.67348836661349,30.580823146085443,27.21497526059173,24.32707186037257,15.834854282171152,15.187089857158304
2004,14.299705104933071,14.37823378576371,18.149521434709204,20.37374912656318,20.305503776585308,28.599964640251937,30.294618834055104,30.06632202994837,26.99121772213012,23.30294831838985,19.739281140820363,15.083736212081869
2005,14.011987966136054,14.267273419059842,16.110157955641597,16.900237829197277,21.58263209532348,26.59943862347239,29.539703419106942,29.72028433522012,28.31679428361395,23.91750088028927,18.149244150283216,17.035279998741338
2006,16.424304318408957,14.276243962142429,19.35286131494109,18.052533554687297,21.341847467313105,28.90391857588169,30.99501731862956,32.35486933525703,26.54554623193756,25.665080025259822,17.525894505381498,14.79325155930715
2007,14.298412376394367,15.188863765624376,20.89116122562749,22.38656608782344,23.52277587666355,29.52307857127577,32.07116375043344,32.81547994716888,27.232835159835584,24.903565713407307,19.59562023179421,15.37084088857796
2008,12.522677977994984,16.43787054686917,16.436556326639234,19.300237814906648,20.03602176985525,31.026382941063627,33.81819103290726,31.9400725823971,29.196554465976543,23.330992543864383,16.22986275619628,15.023190902443067
2009,11.525015189458571,13.464816150571655,18.409431059027945,17.27499775276421,21.04330775219367,27.48991087572628,31.824317671103667,31.28909139259739,29.74463002711301,22.067632015192466,17.08488573287763,14.99412006395885
2010,15.912002732423051,16.264304604783526,15.738199588561258,16.124342632065005,22.99547580590661,26.83117841302973,32.15839755377348,31.89932187008713,26.580883950184774,22.168963696290053,16.97685325119287,15.28031635078217
