year,1,2,3,4,5,6,7,8,9,10,11,12
1981,6.453209435726572,4.975251006342978,8.918228999153381,9.871233733545058,11.347699738148703,14.863803451926714,19.532554298971807,18.78577380671035,17.946958507538234,13.634637334224806,8.849108367946522,5.872234337735756
1982,6.546020389273314,6.276574520946302,8.633024136090967,9.053277896537413,11.941420791514078,14.009478525518286,17.487507380485802,18.315172547254743,17.22676189884298,12.388499384240244,9.820941142649357,6.989438085444876
1983,5.299009530245479,6.743119722503311,8.576508136640122,10.12069685962316,11.1855348913851,14.208810960250712,17.43224322297838,16.804356055531045,15.585260714995613,12.287447147451434,7.10271097341477,6.670427751111444
1984,5.335633565398846,6.505855587977005,7.6075781649580385,7.894114408539178,12.285603872101047,16.949400171260425,17.596504385175674,19.04414788520988,16.42555884420436,11.473040534992796,11.092970136535628,8.281987099770479
1985,5.323190070091322,5.250099449559857,8.569649672621502,9.679827091639003,10.61021533273468,15.580197179440775,19.3579444701022,18.56222673224904,17.45020406789142,13.668995789213104,8.457483794620025,6.293379082370724
1986,3.346562265717329,7.574015189160572,7.732713954874307,8.199300429485067,13.52097993403038,15.00701918655067,19.528939403724763,19.327744535714555,17.59863109771869,13.18658622265215,8.400379532047824,7.939555958043252
1987,5.947842680361295,7.2191623059271475,6.718151130418388,10.430178181701612,11.38088847684442,16.849767752176707,17.771142264683082,17.93892139241776,16.340247776011093,13.131457496150611,8.593914175975046,7.217789774580433
1988,3.968834858864535,5.139089052145047,7.510078398854372,8.946899917690683,11.39462349944622,15.162039489117534,18.24739476379468,18.97370325090601,18.42260120462557,13.28579155765028,6.396533435545154,5.7298608869232055
1989,6.037488957896827,6.747865417112554,7.774808587103669,7.759666250596561,10.384682071145024,15.25708354232977,16.994496082226824,18.081614535754948,16.28299536045131,13.376768664160048,10.891891520131054,6.153712577938373
1990,5.766206105478376,4.283849740362909,5.864245499883201,6.804083418780198,10.472085049912284,14.118096389620757,17.776056516028095,19.393530794952703,16.629462015265958,12.95681382968334,11.611445873286923,6.015064528212118
1991,6.042930068508046,6.0454813814022685,8.982038783549688,9.212976121560256,12.946896085876473,15.865581083928909,19.129940041223964,19.02581420111176,16.846925600618526,13.603006245139984,9.396670252900956,8.744435130080193
1992,6.667182646673844,7.074238935194704,6.9209598226162985,9.323385140642207,11.1150650149556,14.61526546470669,16.553262756848202,17.914090544963486,16.677599067052714,12.40997114083247,8.51802065184312,8.386801431169912
1993,7.798792084157257,6.808039007063437,6.809400053075045,8.86459367595783,11.355268699805054,14.01162604414234,17.862264284335176,19.752846401408565,16.4581833843828,12.421326029635544,7.889257177561723,8.801934561762842
