day,mean,min,max,var
1,2.4434123235151664e-08,-4.060885473020955e-08,2.565291702905952e-07,pr
2,5.597391427385971e-08,-3.693293089045831e-08,2.490054730631201e-07,pr
3,3.918208871941907e-08,-5.126082392906407e-08,2.58565567899558e-07,pr
4,3.1600872370128243e-08,-4.185617891177998e-08,2.547071972155811e-07,pr
5,6.043749008151566e-08,-3.8390606404680866e-08,2.5734782349346626e-07,pr
6,6.388718485920202e-08,-4.923599644711838e-08,2.528743257712813e-07,pr
7,1.9548019096334245e-08,-6.120519232254825e-08,2.215873835903576e-07,pr
8,5.301319211096909e-08,-7.076843975317911e-08,2.5888230320714343e-07,pr
9,2.3984315719830862e-09,-6.777762325094681e-08,2.546222044188641e-07,pr
10,4.058011229854673e-08,-4.646491440937726e-08,2.582227660196597e-07,pr
11,3.898695589372547e-08,-6.26352894719135e-08,2.3913931279819795e-07,pr
12,5.713901996568324e-08,-4.8171964739347165e-08,2.468038368913907e-07,pr
13,2.804702807245089e-08,-5.9265966187414416e-08,2.580543454480537e-07,pr
14,3.4871502954141074e-08,-4.4036530903602256e-08,2.5691381773168725e-07,pr
15,5.14162214732545e-08,-7.107366732202145e-08,2.477489371475283e-07,pr
16,3.9796370548659464e-08,-6.208533671968056e-08,2.5028226141071266e-07,pr
17,6.141617802482988e-08,-6.651263485649782e-08,2.4887112079476246e-07,pr
18,0.0005659970431759673,-4.716874674203269e-08,0.01697930937716977,pr
19,2.1425550698882545,-4.754624483684544e-08,64.27665151933455,pr
20,0.0018426287165822014,-5.3041444647441876e-08,0.05527840139090298,pr
21,2.054719651352954e-08,-8.08135149193059e-08,2.3813634903881023e-07,pr
22,3.816888516493209e-08,-5.910842993621912e-08,2.5280042817501205e-07,pr
23,0.0003192795425523256,-7.464982550321748e-08,0.009578041360597778,pr
24,4.049677619845171e-08,-3.346740948371123e-08,2.5167775938725617e-07,pr
25,3.681815874588325e-08,-6.667206182069762e-08,2.488628599678183e-07,pr
26,4.7982083457576544e-08,-4.498119815409783e-08,2.4244490385678483e-07,pr
27,3.34278003554106e-08,-5.5660744217106643e-08,2.426519870685251e-07,pr
28,4.06078504837468e-08,-5.3809392582525166e-08,2.495843108245327e-07,pr
29,3.6675967650712385e-08,-5.3519211795227786e-08,2.3542666742099855e-07,pr
30,6.927822171242546e-08,-5.0872003917690574e-08,2.489769776791282e-07,pr
31,2.205382351977937e-08,-6.698982468262695e-08,2.4454728302568013e-07,pr
32,4.496420870642672e-08,-7.387118544654265e-08,2.5578492281143834e-07,pr
33,4.722087606960396e-08,-5.412222882643396e-08,2.5868057584175197e-07,pr
34,4.2868725924191395e-08,-4.908924538737635e-08,2.526277771009375e-07,pr
35,3.012670658605521e-08,-6.100962936019803e-08,2.4651945650967116e-07,pr
36,1.1184827048040152e-08,-5.549430728215046e-08,2.5482927771966273e-07,pr
37,3.130090548739005e-08,-6.36474656892138e-08,2.3876961679663173e-07,pr
38,3.9701111767901453e-08,-5.713057783656151e-08,2.561807376357137e-07,pr
39,6.415884595436258e-08,-4.576003335200139e-08,2.5672966836516364e-07,pr
40,5.849031213235901e-08,-5.3388343162158954e-08,2.538206658099561e-07,pr
41,1.660192314590746e-08,-7.795994534980002e-08,2.5444712742407066e-07,pr
42,2.9475979040143908e-08,-5.9569731127350616e-08,2.5878486618536576e-07,pr
43,2.602750333876196e-08,-7.920846877856119e-08,2.58353734849455e-07,pr
44,5.4055094049107695e-08,-6.657124575224208e-08,2.417126719633237e-07,pr
45,6.16439698052901e-08,-4.670252634426634e-08,2.527076582769669e-07,pr
46,5.483039641352127e-08,-5.414409422398898e-08,2.570731942377809e-07,pr
47,5.3650911201192225e-08,-6.248176319614033e-08,2.575099620225059e-07,pr
48,2.6816340862845993e-08,-6.965013239086062e-08,2.5013695605815184e-07,pr
49,1.8062013612529273e-08,-5.6506418818034725e-08,2.3313400004059824e-07,pr
50,4.3380594578401285e-08,-5.573136216598943e-08,2.5296696913552203e-07,pr
51,2.3221836875967118e-08,-7.473279791321983e-08,2.525300121841019e-07,pr
52,3.6862111119982894e-08,-2.565986005620907e-08,2.564147444470679e-07,pr
53,2.3141822987356e-08,-5.204962753332678e-08,2.4538812280081895e-07,pr
54,1.75572298049026e-08,-3.714147351833864e-08,2.516787872286175e-07,pr
55,4.120830961510752e-08,-6.45674137622543e-08,2.536015809610176e-07,pr
56,4.6486151396127315e-08,-4.7530954017471155e-08,2.430445921084578e-07,pr
57,3.3689192310090947e-08,-7.392518059830168e-08,2.541456997788449e-07,pr
58,3.4731113691064874e-08,-3.9436177629359386e-08,2.38447598167503e-07,pr
59,1.5136115401164142e-08,-5.627326960259355e-08,2.5302520039884123e-07,pr
60,2.517396513809324e-08,-4.980518974916108e-08,2.500682054080507e-07,pr
61,2.85967071197273e-08,-7.23233787698913e-08,2.4781370746553264e-07,pr
62,4.156320396794957e-08,-6.424752127568141e-08,2.5583288711434894e-07,pr
63,5.898101434915602e-08,-3.0127153328826027e-08,2.505667875726211e-07,pr
64,6.866471426192887e-08,-3.199995263017518e-08,2.555225643066819e-07,pr
65,3.767935542095039e-08,-7.947860953265879e-08,2.5033879723561273e-07,pr
66,1.1357952055200364e-08,-5.7154772374569905e-08,2.568611036025393e-07,pr
67,3.115857707712241e-08,-6.939846105146684e-08,2.2654133412126127e-07,pr
68,4.639701285873307e-08,-3.706173926145968e-08,2.502479578515963e-07,pr
69,3.26322155194633e-08,-4.727158465078835e-08,2.4728633868682497e-07,pr
70,1.4708452190726472e-08,-4.54752403856105e-08,2.4136582993477683e-07,pr
71,4.811806454972972e-08,-6.242860271330562e-08,2.532729692131431e-07,pr
72,1.5315692613458868e-08,-5.3041227632923924e-08,2.5917114807335686e-07,pr
73,4.336676288702349e-08,-5.467294103722972e-08,2.529569152449987e-07,pr
74,1.1070045903024737e-08,-5.1584355610487527e-08,2.337476184205463e-07,pr
75,2.6949630623746186e-08,-4.914642901471265e-08,2.5149587998229006e-07,pr
76,2.9494794452150724e-08,-6.215794857579994e-08,2.5134344579355947e-07,pr
77,3.488144197600188e-08,-5.4746717603892126e-08,2.560969972073181e-07,pr
78,4.6638596210823386e-09,-6.352557811677903e-08,2.429065452298198e-07,pr
79,3.9335042351679214e-08,-6.319285286450886e-08,2.501769263728813e-07,pr
80,1.862866239252132e-08,-6.401088774121156e-08,2.4958753133275196e-07,pr
81,4.650587051409426e-08,-5.852483889041402e-08,2.559166199717537e-07,pr
82,5.065139829618701e-08,-6.393511077160866e-08,2.519132172856694e-07,pr
83,5.6371352084206585e-08,-5.0952337011737855e-08,2.5238753758389354e-07,pr
84,8.869895798776086e-08,-5.120627805858865e-08,2.548245388919487e-07,pr
85,1.9661692848878138e-08,-4.137462416387283e-08,2.542160685866406e-07,pr
86,2.4884494550213612e-08,-4.2311484371044685e-08,2.532129418982346e-07,pr
87,3.475271572522879e-08,-5.284425661718132e-08,2.5237648301523155e-07,pr
88,6.72912923437768e-08,-4.577248932278929e-08,2.4880319980156625e-07,pr
89,6.786135572226332e-05,-4.1658880231944095e-08,0.002033930842855673,pr
90,1.9241471459682916e-08,-5.631465051713202e-08,2.452798240268813e-07,pr
91,3.0226715193594305e-08,-5.270908799847803e-08,2.4538079916678193e-07,pr
92,6.322402217766209e-08,-5.2670254297819216e-08,2.405535525166802e-07,pr
93,4.493478063042442e-08,-5.871090264313033e-08,2.4737348703952104e-07,pr
94,2.3316837994720438e-08,-4.750453048699631e-08,2.5328957546797083e-07,pr
95,0.00021887098705054514,-7.161038999280174e-08,0.006564838069627356,pr
96,9.381688049346944e-06,-5.998899287191654e-08,0.00028074395527851614,pr
97,0.00048510149128856337,-5.814276083407784e-08,0.01455259786353268,pr
98,0.006385315286217308,-6.987055799945049e-08,0.14366912387285302,pr
99,0.009003075827706727,-5.881466763853948e-08,0.2700907482205073,pr
100,4.800369856964396e-08,-4.947508531110531e-08,2.530906434912054e-07,pr
101,2.0108329117142654e-08,-3.778216612432673e-08,2.4504382420231417e-07,pr
