year,1,2,3,4,5,6,7,8,9,10,11,12
1991,40.405705854296684,31.10936687886715,33.63348339498043,27.953253224492073,23.55906781554222,36.355779588222504,102.20627161860466,106.37666127085686,118.76047721505165,131.77952453494072,96.57916224002838,63.184194177389145
1992,35.18364928662777,36.1867183893919,27.95998965203762,23.991008311510086,24.30830053985119,39.70173201709986,85.77873693406582,111.63792008161545,120.88559818267822,127.38372546434402,77.10916155576706,45.52622692286968
1993,28.594925209879875,21.80036625266075,23.363903686404228,20.699184201657772,17.94314543157816,40.41892867535353,111.83850213885307,111.25263041257858,114.23956599831581,133.66773980855942,116.87203598022461,62.54496809840202
1994,37.555474668741226,31.321786910295486,30.094652757048607,26.156420901417732,25.661210410296917,58.49484311044216,97.34622976183891,111.14214593172073,111.77276641130447,123.0963683128357,116.86434674263,75.4642923772335
1995,50.72607398033142,38.16169357299805,37.982322067022324,33.68532133102417,28.461540557444096,49.838868752121925,94.79021263122559,103.53367817401886,116.91029620170593,139.99813359975815,97.63759356737137,72.03832423686981
1996,46.69471287727356,37.89091745018959,36.64672572910786,34.38854722678661,30.716246888041496,37.65984296798706,108.72036144137383,119.1769018471241,117.00890892744064,133.34849274158478,98.83766657114029,60.87532949447632
1997,39.13241657614708,32.63741318881512,30.790028542280197,27.556097745895386,29.999134421348572,85.12156331539154,101.71309933066368,107.59406462311745,116.11380526423454,135.3303616642952,92.10656842589378,48.32110512256622
1998,29.12266205251217,23.1057086288929,20.117627657949924,16.641893729567528,13.673708871006966,26.519774235785007,75.55632231384516,115.02930644154549,109.7151964455843,132.54649823904037,83.22049516439438,37.593083277344704
1999,21.460696317255497,15.470582373440266,14.854938991367817,12.317803502082825,11.062593940645456,68.90128204226494,114.8634195625782,105.55526834726334,115.57674418389797,125.13807192444801,105.2456696331501,65.84510630369186
2000,43.92358256876469,33.27758188545704,35.11688195168972,27.795218020677567,23.294297605752945,41.30723116546869,94.95606505870819,114.23315420746803,118.0868308544159,126.48544493317604,105.8192949295044,56.65310162305832
2001,35.61768488585949,23.939068630337715,21.94193969666958,17.696129851043224,14.014813728630543,49.48076581954956,112.30112689733505,117.85586476325989,121.29313522577286,122.8479425907135,79.22809988260269,35.99304021894932
2002,25.816130723804235,15.522241741418839,13.81820958852768,11.993618987500668,9.736061859875917,45.92207180708647,89.30719974637032,101.19535122811794,124.67323678731918,115.10475438833237,45.08295617997646,15.884740874171257
2003,8.212611991912127,4.9070646073669195,4.930248722434044,3.8656783178448677,2.817181870341301,28.941982151940465,105.62955585122108,110.87826783955097,114.97880017757416,122.91751152276993,106.81029880046844,59.25830835103989
2004,36.00961810350418,27.1682441085577,26.0591911226511,20.069172248244286,25.206201873719692,63.72160795331001,100.64903259277344,115.7244843840599,115.90406948328018,132.1608731150627,75.21136745810509,34.7250804156065
2005,20.3050819337368,15.636055864393711,16.12573851644993,12.628013707697392,16.29603946954012,21.857442665845156,100.7875539958477,116.89333444833755,119.29479587078094,132.36477208137512,89.32600581645966,43.68429473042488
2006,24.48166300356388,16.635387733578682,16.27968780696392,12.149138018488884,15.975669372826815,56.942789785563946,84.15661260485649,115.79344534873962,116.84765616059303,128.47840803861618,75.1721678674221,29.842098742723465
2007,15.893396124243736,9.81932795420289,8.421487398445606,6.332610506564379,5.898747254163027,26.26729399897158,81.69616064429283,104.30719345808029,113.71017682552338,128.41001132130623,71.2588829100132,32.89040920138359
2008,18.291827455163002,14.147185362875462,13.167688377201557,11.074821718037128,12.341389562934637,44.35762821882963,111.82928338646889,109.52505195140839,120.29315793514252,131.45572942495346,94.996837079525,51.653354823589325
2009,28.385156646370888,22.653401017189026,22.52168470621109,19.63889868557453,15.897035494446754,49.32722011208534,96.73900499939919,114.8313416838646,113.6160534620285,128.6796389222145,87.4014104604721,44.26114797592163
