year,1,2,3,4,5,6,7,8,9,10,11,12
2051,11.353142144323844,6.72758436988668,6.109176129986186,18.96758166059957,22.608328549008057,30.133007974220245,92.34886184747165,121.54509299008299,113.01751205451626,127.73812623912889,94.15226899060605,38.371101376037394
2052,15.659865728143703,7.690641620116647,6.585777303703423,14.768605801132656,20.2931488352144,55.671970140923655,108.27876080750531,112.32198252608258,116.12066232940256,134.67263707255967,89.25561818166602,37.3758641001181
2053,14.393896156181052,8.98425262224329,6.1828508500672275,18.551847753573394,14.462942714616199,15.261968625451384,82.6912644903999,113.76801428575082,125.24917521617868,126.44453649570137,113.14273837141563,40.56216490435471
2054,20.314643573031255,8.855306086894144,6.981020099033218,9.625443768447944,13.633306872567005,43.4145125132301,101.09714495541093,109.60530944990434,107.95473424000679,137.88864295466027,91.08853855495953,38.717733790502436
2055,16.361435599512298,7.727692287750211,10.195787200052262,19.72030478715635,31.057200816397692,47.09422662320428,88.61745553576436,116.55213990599495,118.80989808195727,139.0304008568457,92.70916497126022,38.13417709027862
2056,18.14267605746035,8.183910609213584,6.565166254900272,7.292631126885754,12.75427933282593,24.288203098177185,112.83826102287628,120.45353852156114,128.30423552179315,135.45145804930115,77.75883929426298,34.94508264683591
2057,13.535262851502566,7.815054662202923,5.8388165446749145,5.000044451294768,24.115255105397296,31.551204961297245,110.27240839114813,119.56141585109332,121.28064137261673,135.5258375906516,77.02066574516,39.38425412546237
2058,15.961568944329114,9.649083150361394,6.237114108311559,5.404650087810326,12.130275583187547,13.908139800284355,66.2945542839871,100.74092922263223,114.04060804816537,123.76676881326469,66.13523532099416,30.05166361489006
2059,13.458301329985328,6.597255898018044,5.541854340142199,10.036184264266295,22.061095064808324,35.899170717356256,108.37331426109989,109.807660247874,109.44376658613125,136.18738197961025,80.86360943404677,34.276716340933916
2060,13.62989209755897,7.557721630706901,6.376022630731683,5.310500792967738,18.613838671928047,52.83524157611169,116.74175903702174,113.20887753764679,120.55805420065376,134.28276810039935,77.1891334892173,37.19050897221103
2061,14.335925148037994,7.91057701589075,6.521568508193979,10.656277408518509,24.3311445526612,35.76060719984134,78.16140985372184,110.81343859578574,119.7077367263703,136.4569008048379,69.51705338874602,30.77679109624272
2062,11.79809642631825,7.274177532057497,6.411466911567947,13.329148047975032,15.609527499796316,17.69823740838531,78.35550792780892,109.18396715675708,109.21899168463844,133.86475005159394,70.94434828758457,29.0418906229659
2063,12.29760738232476,7.497098774209682,5.6787938204117925,5.102988767536194,14.468781759366955,51.68279187881302,102.3845296101786,104.57226826991246,117.04601789748794,130.19126540456443,69.28883469089892,29.87253417036049
2064,12.936608535302643,5.904389826251925,5.412050626872419,4.997273644555323,13.939919148175717,25.2274661952257,99.57364661622496,113.95924374489297,104.6686956346531,133.90123065683608,88.94002981883719,39.84195625113939
2065,15.94752608732876,8.494806815037554,6.64332977300181,23.587203401457103,35.72799085672627,55.57398267409872,94.68856430467122,124.40618386699924,111.11806458630103,128.5353804422392,62.500601458353174,24.313084609261836
2066,11.430454320551164,6.950531240382041,6.646162244738993,13.931318909824482,16.368286128194335,46.00679581898213,121.24518247047628,123.53237786673583,137.233886048586,122.0082582704561,61.764579394584814,21.95265308505464
2067,11.726764605916388,6.303373663982111,5.983958160146699,5.002795547620293,26.310626479541764,36.810961154178074,88.26643209119567,102.71147550103935,112.37949588380926,134.8699788269486,85.80259561218584,38.61508880966736
