year,1,2,3,4,5,6,7,8,9,10,11,12
1991,1.1590132914349058e-06,8.863639228487148e-07,1.1072378650135582e-06,0.05216386553447138,1.3483874166024525,28.038668608084908,179.68318098401235,384.3418752960018,301.3118396176051,96.46284396508436,22.283442705185834,9.976850419464177e-07
1992,1.6115220872957906e-06,5.047182809251899e-07,1.8456578280432024e-06,0.3671621492201141,0.8306447445259975,79.77583550820924,175.79306145612807,310.3686141745165,146.678572294394,19.0694398790087,15.597031406204016,3.8069260597153385e-07
1993,1.7413764145353784e-06,1.4144997763471416e-06,9.751924562668158e-07,1.3159300648977192e-06,2.646628498706143,41.644915216667606,205.88747629013272,315.6133391474578,160.4250837334098,38.76469781227817,8.263492320006572,8.389652062877517e-07
1994,1.4218917376007436e-06,1.4359287044409076e-06,1.2498348015391718e-06,5.658207151485685e-07,2.026472144530018,49.307876780142465,328.1756130562307,266.42652604099584,201.06640905128296,104.61172851679868,5.232289043555371,5.332699667128881e-07
1995,1.205654788089467e-06,6.248852248038396e-07,4.129485698449889e-07,0.08030404553149227,0.428866033861126,11.899255115112721,147.71707806970602,431.5081767697958,270.3401746479414,118.18647353493573,0.012409609727968418,2.549738627674515e-06
1996,1.1695852662738808e-06,4.1641300348813757e-07,9.659607541547852e-07,1.5737952281903168e-06,5.516430353592101,64.76355063991147,157.00498457677156,200.83872078075112,223.408668621015,41.16162136637897,2.046623998871872e-06,1.0179738486785552e-06
1997,6.475772213434785e-07,2.58659866492108e-06,0.0004425805791007434,9.926813412332136e-07,6.392812297756784,37.704456255851625,247.14756023449613,216.01959138600262,189.79296089935318,60.550911882094184,5.0908686112329145,1.4450742509701527e-06
1998,1.7582844681381294e-06,1.4609566155055083e-06,1.2238339088211245e-06,0.058898167586721034,1.7149776834294472,29.471575926770136,130.16486483891023,203.71939162170452,92.520184243074,11.112560696357114,0.047884371580884315,1.551971946746208e-06
1999,2.5354135568670157e-06,9.21901217619592e-07,1.216791187424194e-06,6.878048203352723e-07,0.6893980513389238,42.79766348439678,163.14619525275938,268.53490752375143,174.41228535321497,72.5331280087766,0.052009990868933854,1.159655035854002e-06
2000,1.7039872602896303e-06,1.7400422644632693e-06,1.527588499426087e-07,1.2824655775358277e-06,1.4189233376682304,81.18420897954292,190.39576029995632,354.1194748366768,215.04575304630538,139.22779405639614,13.666236465231432,1.0545742482951501e-06
2001,2.1295502449936525e-06,1.3166649874744936e-06,7.173266345990549e-07,1.0996953610230412e-06,1.4832553728554823,65.58669649326481,107.88650675732652,366.84082636277986,239.78327783111922,88.30899042382039,10.845446775956542,1.0988063066308483e-06
2002,1.8830922308720183e-06,1.42676758114757e-06,0.40129650748019186,1.3764364253010749e-06,11.762732220289303,17.54486278028204,63.91380686067659,280.81716217639774,178.5055244358806,64.64142237862146,0.08978527348915977,4.4961372555651925e-07
2003,9.691467888400986e-07,-2.400057549504397e-08,1.0312779323717972e-06,0.06708442280906098,9.33207954139262,40.83863831395173,266.7506890297254,247.2615280834697,293.8913919372504,34.69004719897954,0.0025091484500836558,1.441847934615403e-06
2004,1.0162213263769603e-06,9.542753477552577e-07,2.2257125960505307e-06,3.656664019084739e-07,4.113799069408327,25.137586739003872,302.6848487363631,331.2926704273051,157.47253563299242,95.89661158638637,0.17671663177148414,1.9866198004550727e-06
2005,6.288162849757134e-07,1.0281829445406805e-06,1.4233026245332976e-06,0.21413281581800395,0.013935097486608976,50.16378157726325,98.77100696460717,375.53568508618093,165.91510421882526,31.828936220478553,0.283589207511527,1.0279728276871563e-06
2006,3.468333789432701e-07,1.2005167218087671e-06,4.837338649218324e-08,1.2405211376321e-06,2.267482568401299e-05,54.818009894488966,146.5150881034434,385.8161635941129,259.8470951333294,125.39409358502013,1.5694905303114215e-06,2.1988263162760948e-07
2007,7.813023956008629e-07,1.2266722669549532e-06,7.076158897440754e-07,0.46216625553778884,0.007089079187877282,61.10247669888115,124.62357379375639,243.7201464055419,240.2213887612022,48.28844396081808,1.2249620814960698,9.477439777863911e-07
2008,9.638197505825703e-07,1.7225943746243295e-06,1.1773384942481214e-06,0.12298370294330097,16.597906577323762,14.406915712942297,251.0891370195798,210.82831367136208,202.30184547690536,1.0455904472465345,0.034761495165945414,1.031982910589769e-06
2009,8.90027533415561e-07,9.204876194970431e-07,1.2793505239575985e-06,3.682752447917862,21.35253140253873,16.71032573205879,219.59907962208885,491.74163396908585,196.79895856940357,81.85336367800738,0.68485299882819,1.666657973345529e-06
2010,1.4990438032629725e-06,2.1841182178183883e-06,1.3886536697372961e-06,0.17407266357734838,0.007548410180952903,108.33510854217921,177.9479855423776,289.3089960617844,210.9442747334379,46.28692927900397,2.102017148743507,1.4219533923251122e-06
2011,1.5996335677093524e-06,1.033697519679245e-06,1.3818559626625923e-06,6.464466504233963e-09,14.836419742795798,47.84899171371563,101.73911171094585,360.8276117306379,161.41094068384427,34.830342878022144,2.3315258192015593e-06,1.8307906091347276e-06
2012,1.9280332579244177e-06,1.371962719611461e-06,9.643547194310534e-07,0.01600082588275132,22.94225132127362,91.22447928508132,174.0393399745942,194.08135701523713,293.9963365629046,93.42207701447104,0.030538073893461262,1.449030167756164e-06
2013,1.8474080517513457e-06,1.2967939855664284e-06,5.38582595169948e-07,0.10213831681407341,1.5795550485158651,68.85383957588361,362.2289309966607,347.0560551399747,215.7705251983754,65.39464245418877,1.7766975334176531,2.3136867981059355e-07
2014,1.4329866323090125e-06,7.884409959428913e-07,1.25764289189156e-06,0.11598017572541383,0.09652087760353255,39.56415515844983,164.63117692512003,263.298079402286,191.4085113647175,45.49214356404306,1.831707233740572,9.768860763895843e-07
2015,1.7442395737526915e-06,8.255792611053096e-07,1.9193649641968095e-06,0.23521386114264842,0.7011708752485032,58.40902623415666,180.18775966187437,255.8752672954985,268.3647103834088,80.76060274785551,0.5659180531722235,4.88369286485055e-07
2016,2.146106313281708e-06,7.585366130275354e-07,1.2529549239243264e-06,-4.2248423785624006e-08,33.977945049162805,35.33410183880897,234.75959699747867,432.78017832658094,243.78813986039435,103.97516562440197,4.2405577909994445,1.8330712552333767e-06
2017,5.18741315102271e-07,1.8829544875252375e-06,1.0572161383009789e-06,1.6467604595712345e-07,22.37639811266172,16.7818025422295,159.08632071792113,350.50703871082675,289.21405915249665,146.65107892102483,2.7370376340142006,6.861230189864108e-08
2018,1.8412272874006312e-06,7.867295420376231e-07,4.4575460335850987e-07,1.031486087200584e-06,2.9342189572062427,57.88432724296328,263.78732625362625,195.53456523087195,243.2488083217283,7.73736703765531,0.002591869077839344,1.1193088867967038e-06
2019,1.6246993023156581e-06,5.349968543220476e-07,1.1607018917789526e-06,2.283739356615624,2.129922830853756,33.089818889448466,144.71106198469363,211.7993097790095,167.72824364363842,41.36962432459886,1.5965914948738695,1.0608669868898833e-06
2020,1.6601131422279728e-06,4.709942918095386e-07,1.1775438345729723e-07,0.018332474156852456,0.125192128532248,20.92399027449156,201.8393582445645,272.7630774965707,232.8296526704877,76.55424065426295,3.217585299169115,4.092847142618603e-07
