year,1,2,3,4,5,6,7,8,9,10,11,12
1991,31.958194699829757,35.655906029359834,38.68629463294597,38.99331564503605,38.54643831122917,36.445963165588545,30.061813022610625,29.32213955088143,29.179764373390007,29.931002567072916,31.159669455225835,32.04477037658344
1992,32.02039554608687,36.57651326629038,38.49951944019833,39.47748043723647,38.634676297865425,36.060217436558936,32.07624250660093,29.635055728194654,31.548320381308972,33.70720228941197,34.36001915106321,33.410293515947636
1993,33.749063218918174,36.4366352413531,38.34441345892999,37.94710693562828,38.24651751021557,35.77407419408514,31.211296958252422,28.77215798521754,29.7641402913089,32.37164885193105,33.52640082554896,32.5870189984562
1994,32.69656265479608,36.28388945991923,38.971763598106264,39.54355631197463,38.22953276260781,34.93233544947394,31.96408127918746,31.308972121101018,30.54275864661178,31.963758163218156,33.073801486800015,31.226879285981823
1995,35.52663923902975,38.79127981915817,39.800552807774615,37.8653889987866,38.457928577225616,37.74307019942018,31.035375754626383,31.372364027161925,29.58727193457813,32.480969187904094,34.25488020764159,33.544052188830754
1996,33.65971415420394,37.17795886452631,38.5805693486176,39.08144604624912,38.55690645066905,36.532284343111,31.69375482174028,28.677227166559156,29.470294166607168,32.22991397749253,32.55821027510058,32.03841622056646
1997,33.722344404204044,35.909707101933144,37.439567824363124,39.50347333606976,38.35322504105304,35.234589737777874,33.021606889804204,29.268099557611755,30.6326183859039,32.27165759638197,33.71696217046426,32.990127903125696
1998,34.26815062844625,37.2925980382393,38.92769733227991,38.87840621115681,38.5420312415422,36.982759789548325,30.686036889816027,29.818167351426148,29.77740003857021,31.759598530066867,34.05072508546933,35.00887603420985
1999,33.9710154707949,35.94121288269675,36.15124785744697,38.89100314996597,38.87229605017176,35.65719472781971,30.010174769686355,30.636202354365082,30.09050471436424,32.99140825929979,33.38226648950888,34.089911965490124
2000,33.99493064849458,35.883901184076116,38.94896855005154,39.54091163803488,38.53561853791743,36.62075356752697,31.89816573076731,29.996856538865696,30.068698822650692,31.880184801189397,34.485963860807985,33.21120488065793
2001,32.92625318357963,36.24671569702573,37.555337363134406,39.320993751202444,39.52481224968537,35.278115989457056,32.66351814774686,30.72073653281666,31.196493678651585,33.538425876106935,33.51764485414425,34.50350234030268
2002,35.070651881592205,36.66662656590738,39.52354100722242,39.40305443149684,38.24715942205255,37.66161365934896,31.766158760916706,29.838574621965726,29.872963852943318,32.03858416741175,34.74005994062939,33.92093982795155
