year,1,2,3,4,5,6,7,8,9,10,11,12
2051,36.10181998967727,38.69807309659739,38.80498429672266,39.06743482488905,40.56742640927542,38.34339041647036,34.809179566356285,31.671106826607478,31.431993499378002,32.26174307012045,34.64740774522704,35.65673161013671
2052,36.446507186731,37.753499544480526,39.53863172816334,41.15579551830258,40.38029026951617,37.81255646186173,33.095123053050244,31.879598811841966,32.082225300982614,32.90503524789862,36.21716700661979,36.73004907794346
2053,36.863914747490156,38.31240263141546,41.70656441904209,42.228278589360784,40.94164585244741,37.388302240712655,34.35701512920595,31.552045515642984,31.349873497039788,33.57953694795133,35.48036480427366,34.70143557398604
2054,35.04369568583168,39.03084998297588,40.6512787020535,40.06150290389793,40.1922317011581,39.16924380413059,34.406487537922004,30.62494789555088,31.956676708005602,33.20030638611939,36.14486018603093,36.33048280356502
2055,36.37444157083508,38.6043197573567,42.02891190751722,42.28859029280784,40.25176173516612,40.54902272808557,34.78680847612363,32.35429065937155,32.4224036758349,33.58012381829999,36.85645512404013,35.83943166235272
2056,36.245845984517906,37.98601888406857,41.40874864344216,40.715005295065176,40.84883973997012,37.85504715031892,34.105817601502714,31.79841156405864,31.773079921922605,33.600325432337506,35.77411778507148,35.402344420159935
2057,35.1096357442451,38.13048635462243,40.35287350461904,40.844856339738854,40.82229114256075,39.022981359375116,34.46112413039428,32.19777371191504,32.3579388084778,34.31531487333543,36.310925563093505,36.098560803113884
2058,36.031393556436605,38.030248983545015,40.523840915744216,41.24301957578794,41.58072533100411,39.98238347878085,34.05775509121731,31.95378411488176,32.14812567270594,33.52485706571219,35.969059736474705,36.02755212239814
2059,37.47081156810468,39.01126812155244,41.183459527500844,41.29069943307478,41.040730193000456,40.39967889225482,35.678586845544665,31.676409205482617,32.248323698262936,33.46669344217699,36.03946695171266,37.032282020596995
2060,37.392745111190514,39.37673432380281,41.381027615888115,41.56878052729535,41.17263068456329,39.67111414173957,34.85995805215899,32.43446579703335,31.810755898042597,33.93456987447987,36.061593500661296,36.40750548748722
2061,36.40722199170482,39.086604245712486,41.20051314658661,40.709453356834686,41.163698528838644,39.68895333131575,34.43057362872151,32.40008922402485,32.4506216516327,34.49077436823965,36.89222408509907,37.084525229621555
2062,37.0886097583335,38.18733928453428,40.25101752370058,41.21480479256556,41.086816354251,40.4687845535694,37.21256778359247,33.163486795622475,32.912847950431235,34.59207948936913,37.100056295188246,37.02878790220604
2063,36.785488627323396,39.69255995769539,41.56670361290964,41.877666155799766,40.573015609178285,40.67109943426818,35.48974326421788,33.984112973275764,32.83414104276451,34.622288002778305,36.543299084785176,36.34261790740326
2064,36.99864084387456,39.96228462272122,40.663384433856315,42.99557547495852,41.44382694173927,40.234876351868266,36.80133495377818,31.436673752854922,32.273119292920185,34.28775780586196,36.261751062703084,35.94309571993391
2065,35.94276152072177,38.475011402510155,40.87162780178697,41.33300206701255,41.03475716267957,39.67099663093948,33.49450378455251,31.799927548228396,32.31358485586647,34.47398120652335,36.36444997716288,35.849653974790044
2066,36.05383945600808,39.41717132696389,41.80038677642648,42.07376260306862,40.758623305961414,40.17554239377477,34.854735122602406,31.639981097106748,31.5785126594807,33.140154801818824,36.50305462725903,36.25774618346209
