year,1,2,3,4,5,6,7,8,9,10,11,12
2021,18.954732978742936,19.795057643209137,21.490178444985414,23.46631897731526,24.7072090162988,26.29693380813999,25.04731267048848,24.021311537394304,23.856298212489133,24.067753271617143,21.806350401961097,19.990512503659094
2022,19.491466021663992,19.943950093542423,21.959793651699673,23.75743568095561,25.241065919063377,24.66782096987778,23.823998428819007,23.40815540260118,23.646998699297903,24.056883465185937,23.290547087860514,19.95506872826687
2023,19.833629221080223,20.021707117672257,21.381518617392445,23.92986218062578,24.728154406628153,25.521775712669125,24.083618167244783,23.322283383490234,23.46005331232785,23.556926244307988,21.22606093170422,20.125622539322972
2024,20.168918835483634,20.387155189253548,23.818768217858825,23.45224781660697,25.585766521499906,24.93712447535887,24.401112470213143,23.6913656727982,23.655914999945363,24.157870990695763,22.005165601698597,19.58167401314831
2025,19.942510112622344,19.667244323939137,22.022332450492314,24.745262592717907,26.06917919893449,26.08899502029579,24.8278527434876,24.05909094330681,23.684843276800247,24.674197331348463,22.352737206243305,19.271089360447974
2026,21.490058549696986,21.482816990907683,22.541280623075963,23.930370086916614,25.44811729549103,25.25397320497977,24.247387677211016,24.01338050684431,23.459519496429426,24.15243532876427,22.66937380726035,20.98959366767045
2027,20.094256628361368,20.07417866121236,22.997233958563932,23.538478113852292,24.269799446278277,25.58213856100042,24.26058205633725,23.829378116709833,23.55883281059495,24.2356807178877,21.5704013099267,19.74659384140777
2028,19.90485270233861,20.98727905169983,22.345902370142337,24.08091630177244,25.285937995500493,25.286204988536593,24.371998491368984,23.82098871461892,23.783545056899985,24.35745877586103,22.028389256832117,19.810203133231227
2029,20.27809062199631,20.930479447208082,22.634557207787374,24.28285917017731,26.091113545431384,25.789197577527897,24.54549725465989,23.955339372007355,23.922815342373486,24.25476399079451,21.185845302887742,20.067504571086104
2030,19.077181356352284,20.448607762492994,21.2284461297667,24.08377589381682,25.7919916320056,25.193498808844218,24.168464105653495,23.508252925623612,23.58459942342456,24.084337829926557,22.90788843458305,20.796074091383506
2031,19.00037589480931,21.087987955213645,21.932989285500494,24.78045482469834,25.230600143274255,25.488186705619423,24.465046154518056,23.9628061165187,23.77963821601276,23.83628473240726,22.47331632979039,21.50305302146783
2032,19.5929585149178,20.533578988561196,23.0266834187307,23.853945893622708,24.5064505205408,25.93923978143047,24.691010123535754,24.06158632278663,24.014553314902447,24.654471382155887,22.314147760161607,21.363667804539304
2033,22.233518059580334,20.46124349058036,22.717775969323444,25.06852564532171,24.879923102892224,27.97087203194794,25.857491198182835,24.81030509231914,24.342676662901837,24.834006409534034,23.164228838635307,19.83228446065208
2034,20.25704960890095,20.784190590512274,21.989998442496454,23.770038229595137,24.7762761429336,25.32933615594196,24.45437421071159,23.879429385018614,23.838298040648784,24.42721588734251,21.736687160526547,19.923486305212755
2035,19.976705253002066,21.66382412284973,23.062981478496052,23.849044931861176,24.838516877256684,25.31002865959296,24.158230724341777,23.961498323914082,23.70225632415071,24.43290375948675,21.330259646809488,19.70191078318413
2036,18.97882480947069,20.82971315666561,22.83911414629365,24.53189337829169,25.903201735050953,26.283098422135616,24.86068407785823,24.292570775858767,24.03573579803598,25.073710122798637,20.863713799577347,20.835806266624736
2037,20.063003522771055,21.763406351680054,22.173420169978876,24.150357927283896,25.028814067836873,26.966497707455492,25.13847428601069,24.504643694126695,24.215666311998685,24.486635313207085,22.076409627812026,20.931415037532876
2038,21.57590379930892,21.59246211033178,22.149161640018548,24.044622874759543,25.89735524420968,25.853219211587724,24.75420054877033,24.09772642735498,23.837037898414515,24.791847966696146,22.780240121911927,19.926250656659676
2039,20.160288487285207,21.606408472272204,22.940313352564843,24.155271438352067,25.757922432858294,26.05939326756657,25.115484303045772,24.403109860172144,23.99498621001915,24.632962160818145,22.45828510286419,20.011307377328897
