sim_code,sdev,crmsd,ccoef
Référence,15.22,0.0,1.0
CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,15.53,19.1,0.23
CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,15.7,19.8,0.18
CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,14.85,23.2,-0.19
CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,16.06,25.0,-0.28
CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,16.05,20.5,0.14
CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,15.97,22.5,-0.04
CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,17.56,23.0,0.02
CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,19.55,22.4,0.19
CRCM5_AFR-44_CCCma-CanESM2_rcp45,14.19,18.7,0.19
CRCM5_AFR-44_MPI-M-MPI-ESM-LR_rcp45,16.18,23.2,-0.09
CSC_AFR-44_ICHEC-EC-EARTH_rcp26,17.37,19.3,0.31
CSC_AFR-44_ICHEC-EC-EARTH_rcp45,22.49,29.3,-0.17
CSC_AFR-44_ICHEC-EC-EARTH_rcp85,22.56,25.0,0.17
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp26,15.57,21.9,-0.02
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,15.0,25.6,-0.43
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,18.87,21.6,0.21
HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,20.97,19.2,0.47
HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,22.07,22.8,0.3
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp26,23.25,25.9,0.14
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,19.3,24.2,0.03
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,17.25,21.5,0.13
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp26,21.24,21.9,0.31
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,19.71,22.5,0.19
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,23.83,24.2,0.3
RCA4_AFR-44_CCCma-CanESM2_rcp45,14.81,19.9,0.12
RCA4_AFR-44_CCCma-CanESM2_rcp85,14.69,19.2,0.17
RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,10.93,15.4,0.35
RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,11.07,12.3,0.6
RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,15.66,21.5,0.03
RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,14.19,24.5,-0.39
RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,15.62,19.2,0.22
RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,14.89,23.1,-0.18
RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,14.94,20.2,0.11
RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,14.02,21.9,-0.12
RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,16.46,22.7,-0.03
RCA4_AFR-44_MIROC-MIROC5_rcp26,18.23,24.3,-0.05
RCA4_AFR-44_MIROC-MIROC5_rcp45,20.07,25.4,-0.02
RCA4_AFR-44_MIROC-MIROC5_rcp85,16.99,23.4,-0.05
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,17.72,23.8,-0.04
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,19.16,21.7,0.22
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,19.79,24.0,0.08
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,15.5,19.7,0.18
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,15.68,20.8,0.1
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,18.02,19.1,0.35
RCA4_AFR-44_NCC-NorESM1-M_rcp26,16.67,20.6,0.17
RCA4_AFR-44_NCC-NorESM1-M_rcp45,15.63,18.2,0.3
RCA4_AFR-44_NCC-NorESM1-M_rcp85,16.89,18.4,0.35
RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,21.74,26.2,0.02
RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,16.01,18.2,0.32
REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp26,11.98,15.4,0.38
REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,19.35,22.3,0.18
REMO2009_AFR-44_MIROC-MIROC5_rcp26,16.12,19.2,0.25
REMO2009_AFR-44_MIROC-MIROC5_rcp85,23.46,25.6,0.18
REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp26,18.65,21.2,0.23
REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,20.54,23.7,0.15
REMO2009_AFR-44_NOAA-GFDL-GFDL-ESM2G_rcp26,12.64,16.8,0.29
