year,ref,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,CRCM5_AFR-44_CCCma-CanESM2_rcp45,CRCM5_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp26,CSC_AFR-44_ICHEC-EC-EARTH_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp85,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp26,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp26,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp26,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp26,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp26,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp26,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,REMO2009_AFR-44_MIROC-MIROC5_rcp26,REMO2009_AFR-44_MIROC-MIROC5_rcp85,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp26,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,REMO2009_AFR-44_NOAA-GFDL-GFDL-ESM2G_rcp26
1991,2.6213502883911133,1.2997062933356676,1.3261747910167854,2.233612608190279,2.243814321055932,1.7900437676370407,1.7998789804896167,2.5314628280160725,2.426042791318686,2.1952785795062675,2.7971360618715546,2.1067329100777745,2.191484978224374,2.1044765184365932,2.124566830965256,2.2960792573664865,2.35369699817206,2.3386796592580885,2.5510372879936547,1.7498235133432942,1.9908598862458438,2.215648748580404,1.9926125086525994,2.007476810823456,2.1257832011346105,2.2185165256824577,2.182696793583163,1.2408390141393557,1.1676987841874187,3.1078663710692913,3.1482007170468633,2.027329428993439,2.172598899255608,1.9328111316796717,1.5521516431096578,1.7682031551190822,2.14504414833335,2.0671432959303795,2.156436387414223,2.042768578997582,2.140384681408987,2.1271508306740676,2.2522866850978516,2.3090189050427727,2.3281127168549567,2.206176858969431,2.258716148449663,2.2086284211608067,2.794883258332031,2.9741467770959935,2.3645653164576133,2.3215498429805077,2.524064448707308,2.472904387389815,1.923340989410319,1.9999593668188689,2.4845226590849325
1992,2.730587959289551,2.863535320833225,2.8801542558427227,2.4462020117358563,2.521930339069205,2.3025942981654666,2.3550523858149344,2.6444345972762857,2.512509429426172,2.655903706584753,2.439164382043182,1.9099968658810897,2.0657662571228594,1.9629426913871433,2.5017266937482754,2.6924826134470825,2.684530843328319,2.248511151848576,2.4493770396404866,2.2038497904410486,2.587565344079903,2.847831516568336,1.7567352206377729,1.7958126418578915,1.904716371603667,2.7579818645954295,2.7446258614832244,2.8103128526309886,2.8364675527356566,3.038203409405111,3.1332094270725053,1.7901355988760324,1.8769444515987717,1.6601555744567713,1.9830249670016427,2.184271906354461,1.6953688654936205,1.639660394714018,1.7161664834396229,2.339133591664293,2.4634787134702054,2.49951237297401,2.800629049221636,2.896431597483943,2.945608860289016,1.7255695062255072,1.8030241061158867,1.7908140780955284,2.666315395614323,2.7674264543561176,3.0817674936993518,3.0670457531584865,1.8004532801033988,1.7668740929320301,1.4033869175804534,1.4664003031695043,1.9766995006070087
1993,2.67702579498291,2.2659603685172605,2.3020562239503857,2.403570563212643,2.50687010490934,2.855701895710914,2.8592306723426333,1.6268975325079595,1.4950408297272866,2.502467372542605,2.0249023100839882,1.8459569511258829,1.9078100874605814,1.8340065144260485,1.7532573194656706,1.8442338329614585,1.8505918625038913,2.000225782732344,2.2062722525746365,2.4610856126510035,2.1288036531410897,2.3890881725359376,3.024526776110788,3.0770409572808948,3.1553252135648395,2.521384982036349,2.4858519194358917,2.4346102854989935,2.4606532262007805,1.3520926666534119,1.4842124742584155,2.329648835777701,2.4202760567740738,2.2298077777491083,1.4937120338965646,1.6758944481821894,2.6934921136501604,2.566560391363914,2.5836431215279787,2.93461804708994,3.0268361565004636,3.1425698495086434,1.6227467647181681,1.6784031282646281,1.6500414103484613,1.740486772851028,1.7620070801525582,1.7420195274573596,2.1443310791638446,2.2687037380494166,2.108004808549735,2.2241022240070953,2.3800260288838015,2.328807811058556,2.4435592687240866,2.510975269044571,2.268850669777173
1994,1.5557875633239746,2.430605241813604,2.5762411616921175,1.871815644698583,1.9529436989666897,2.3209620047066903,2.321806841876799,2.1158355268770443,2.0444727296561434,1.9151319939526423,2.5970392371352715,2.3315124504169646,2.3730306107551806,2.340958659013408,1.7975770236522641,1.8763925149994525,1.8669050684994732,2.447022647640569,2.571198349517962,2.429186512086167,2.144335537634628,2.2697570293347575,2.5375638190692413,2.6316137781499016,2.78735678417102,1.473139304952639,1.5047199049887783,2.454043091779934,2.447559507318122,1.1474316390124994,1.2540833866767058,2.2552297723456456,2.3769986815036575,2.1453869541131105,1.0594214067578716,1.2756754087958826,2.539847523231738,2.3491663764144475,2.4532611082751807,2.427707103592746,2.5332451565582073,2.5810058412860952,2.313449152913002,2.427367193651871,2.4484405870369095,2.6357481698663037,2.6737677799321227,2.705680430045908,1.3812645141547122,1.5473822228610385,2.9024558034309873,2.908655932572224,2.653093687435069,2.6029051963586025,2.558880040474953,2.6605897207557545,1.8066083392638352
1995,1.596328854560852,3.353163904805648,3.452875399763341,2.862718681038735,2.922610919317055,2.696830077208123,2.6999763089160584,2.0358764369697813,1.9412534175787846,2.574310291562875,2.493285159132138,2.7138138273606396,2.8279205042909363,2.739328941004718,1.8038339099653506,1.9051850367384713,1.9639373253187182,2.5909512074741707,2.8751698257239173,2.91266151872669,2.9858862642236788,3.327572772775184,2.84633052361239,2.878340844421957,2.9935354816517052,2.088498496797083,2.1182081303143026,3.2082256274256653,3.2769796334371657,2.2640469529926373,2.335993723424219,3.056203886283477,3.165206588671048,2.9470333969170426,2.4175000872796235,2.6214257449109972,3.423098704128839,3.2717523356107194,3.343382171258899,2.4845443532409,2.604267709807666,2.6570153622711303,1.853806482943616,1.9896213106834553,1.9566535583088935,2.1723505141838846,2.160819037720123,2.119420797231325,1.7564487704796239,1.9645796077860096,2.1499117482606205,2.228022788683587,2.8994649576203866,2.840293973983864,2.644218177077375,2.793040470651911,2.010553736882575
1996,2.874054193496704,1.8899684543452129,1.9167327247661157,2.34130241301359,2.3175058255905205,3.0250369176917515,3.067209561746918,1.8231563914772293,1.740933381548459,1.9415318067282754,2.358397562397286,2.262781117150596,2.390862588112677,2.2478171742430604,1.8334837154637391,1.9496005683085356,1.984731263558885,2.284117137625226,2.5219045851952115,2.4786713800695495,1.8425717431620297,2.1488054609474654,3.1221161784758307,3.1567550316021116,3.2382217859776867,2.458769655202143,2.40799089041458,2.1748779361806783,2.180160486362001,1.9031686247537454,2.018929221825247,2.688947081570306,2.8484068315511912,2.5875265390552125,3.4639352056073567,3.7169392466629394,2.159449814810507,2.075639792426836,2.18751607816823,2.646410548896898,2.743892662309292,2.7309480123174157,1.9217055197636708,2.0098473988903347,1.9926973800327281,2.05051156096935,2.101571042132107,2.1074418332264844,3.247330657711245,3.3551810822196,2.2733444993755905,2.3252017391538122,2.0560160960029132,2.0596764759061092,2.3636189392888984,2.4248638259595223,1.7030220224928483
1997,2.0473103523254395,1.791859900991727,1.9326368392320448,1.9569429153254112,2.0115891056483703,1.635206475008919,1.6243960268961666,2.0644270026869833,1.9785706062370707,1.9830508079998763,2.0880411679975084,1.975546622902015,2.1171223795802434,2.0132120350728204,1.68114755056142,1.732397250379618,1.7349983707970322,2.5120832973696703,2.841516722025454,2.173326810306788,2.4856648344191012,2.7823576817235747,2.023256162075855,2.002576932176101,2.106615742109249,1.3192291457828034,1.2909475282291054,1.4919617154211378,1.5097054028841048,1.9092393628475914,2.0422895208223975,2.225414450283746,2.36050271591483,2.1261186045524965,2.6346407182510787,2.924785338748495,2.5946718114067284,2.42786000380003,2.486048824555793,1.9637910793354054,2.0433504054385567,2.071232359662031,1.8762749963336391,1.9659979240897654,1.9691721551587444,2.830753597337992,2.862892974254907,2.809567317575161,3.1483113031239607,3.299469814315649,2.123361375175253,2.1121475721340497,1.9461920581747179,1.902416645730331,1.6657907818447184,1.8017163885468936,0.9508132774350153
1998,2.3785829544067383,3.0224762674190977,3.053362598602221,1.9011875810034997,1.9200428674100625,2.461656112527983,2.4987277597542685,2.9656182964855953,2.8995930392572093,2.4308699974589487,2.5152451225530728,1.9654646521462438,2.144249237046404,2.0555622777075744,2.5024909528716996,2.607336284251475,2.623675459686443,1.5926039604228412,1.7921180925808284,2.365295715550104,1.8672171849180632,2.067987533803846,2.139397424473522,2.164126730588237,2.26629711893512,2.292533308247087,2.2860535792634638,2.9302518122623855,2.928154942543503,2.189915329020069,2.2700787749797073,2.56460121211264,2.7007462968924028,2.485800406735645,2.065828367920159,2.2441442674269805,1.7952009751394988,1.6659826735620968,1.7560129217556246,2.036108325193367,2.1040388801196417,2.162857843987782,2.413256272921944,2.4568956591271034,2.4839685866916623,1.8170904705193969,1.8224312974718382,1.7890356435804704,1.2013434979616293,1.3520028116952767,3.2427710926105604,3.3164913626055323,1.86063722501409,1.8505650433345657,2.954016671332281,3.1215288969377677,2.906585444078659
1999,2.198812961578369,2.5150818815237033,2.5413697442163428,2.4858783849670862,2.5167485982500555,1.604249822725789,1.5947429119441614,2.3927090226316543,2.298212978206843,1.9233306741962417,2.593007572351277,2.4333893347069973,2.590597627582871,2.4608477776331994,2.7034309662099467,2.8482399590224157,2.8447933675931045,2.5515424502389292,2.8140879106691177,2.0070405485287077,2.838015678979509,3.0665610148032054,1.0581238631022893,1.0572839607560718,1.1925857864483111,1.017425404435926,1.0295281394568305,2.147860291150543,2.1925834600094896,2.5649928737682814,2.658276025693673,2.367790577533521,2.4134001382736274,2.2591203694721593,1.7949614670654468,1.9776062619118675,2.7031047464212006,2.556528130556811,2.664008622129159,1.747043971242443,1.78958575453218,1.8029750230386372,1.875658309076333,1.966411212071998,1.9735667926589058,2.528800385378499,2.594589034153497,2.604167246617868,2.500125173654151,2.6257640617461764,0.9645939429292608,1.0761099032964945,2.9776393997400774,2.9385649963051748,2.1229503834787327,2.196742860675551,2.2324080476183212
2000,2.1976993083953857,2.039639734885842,2.063616792480098,2.240575172376588,2.3122926955601306,1.8738249381457202,1.8983587107940498,2.00931786096518,1.9536618355634296,2.781661235564394,2.4726749251068787,2.6650367955476946,2.798751767172817,2.747582885704064,2.401420344721205,2.5340940253982036,2.610366436090147,3.1302478752678367,3.376525164306404,2.058038424104996,2.8634366059325322,3.153002709509432,1.9886830630567194,2.0103716333006343,2.1141974899535545,2.117667358208924,2.1059018224033004,1.8132651448607955,1.782724394696716,2.005959014953065,2.0679058446564884,3.177023281610138,3.320028437340156,3.1088036392054823,2.411684099394643,2.619071565682809,2.9649582525427176,2.8416701872339973,2.893885620257484,1.1898544877243644,1.2101918504474758,1.2293007811114012,2.1380304388085287,2.2564264151022764,2.247854534622629,3.2291279046057784,3.177605578635681,3.1392197665538077,2.616326423570193,2.7454508204959938,2.437697323417472,2.454621145866213,3.175018376758363,3.113105842667003,1.9772437290557956,2.017512794452037,3.3859968305614965
