year,1,2,3,4,5,6,7,8,9,10,11,12
2021,19.802891546920453,20.640763999891128,23.516101204267027,24.973607272729517,25.670444374539066,25.933171918873107,24.5595259861585,24.194714329370765,24.349340670113893,25.005533660629734,22.95582071758594,19.53542741776453
2022,20.13183844068142,22.479486796890534,24.76625392601902,25.156907204325698,25.65280818560302,26.715839499610635,24.86392986504784,24.717927980060292,24.66533712030441,24.90911660111733,24.465094470105747,20.82541525347516
2023,21.311238665100305,19.858405957721285,23.216387031221267,23.71567486295851,24.91253015883859,25.03382005590112,24.473252854780522,24.04678620575244,24.21597455111758,24.3403492697559,23.83565481919945,20.930959488233885
2024,21.042697900264518,21.431945787333948,22.669650502192457,24.303209873032632,25.685140372364636,26.100504424490722,24.135694088390736,24.058675139049782,23.961151710633214,24.434412596816127,23.88211150160015,21.140114554824695
2025,21.067843100277926,23.775835024183277,24.719426610491688,25.06632993496279,25.660900289119837,26.447661606020336,25.01983765674259,24.550112246686172,24.5520544332046,24.83975424477172,22.442811297273565,20.939095211067965
2026,20.197322272930176,21.742330540223186,24.50144508015181,25.395639255891712,25.885329928415622,26.23387091410162,25.37320713258757,24.116466113734482,24.217028584538216,24.02915508240988,22.058339442699374,19.859222200079202
2027,20.392393836494865,20.502594129185315,23.884403325342245,24.832610277566292,25.707521470820446,26.06213204558219,24.911003309636666,24.148579072254094,24.706492155173873,25.169515721075964,23.58036870774741,22.13172589681543
2028,19.71403350404153,20.780524870227413,23.152895497723215,24.444906324122005,25.298983201223976,25.37664549018196,24.668355611258605,24.005428770062405,24.068847819181915,24.524165947558135,22.413065325434935,21.886778361782493
2029,20.344009445009668,22.77897700742108,24.647345732339286,24.85965302327729,26.350999047313984,26.39776123498428,24.416480734604384,24.211648873872317,24.540094878023684,24.614236487659845,22.87957884529958,21.614156235279953
2030,21.747426212994014,21.40951446538987,24.14589410915578,23.496351182970383,25.859476968540672,25.80984275051163,25.47693566203643,25.044953731974484,24.88170227957846,25.159252553113216,22.95232874557154,21.899630310026584
2031,20.99633831492794,21.49201941543345,24.39430246469017,24.855212457832078,25.25260469271511,26.456924735952416,25.49548202597218,25.12982298259907,24.971474307911205,25.262707775735105,24.050883174656835,21.369181664121797
2032,19.931472038258967,21.4920994951552,23.913136385354584,25.45032776264735,25.79231011132976,26.798301711895036,25.125620980309094,24.788545074156797,24.979498471078678,25.00888790115159,23.333377393605723,21.759697145998192
2033,20.445132617989785,21.55584064299631,23.28367023155642,23.664342764017963,24.814279756332574,26.258507278103398,25.4354307879062,24.753407786493472,24.53261281345043,25.058989997311706,22.588976640618345,21.230981339403723
2034,21.7921644314713,21.380076697719392,24.04344636419523,24.294573143004264,25.48785890946676,26.661151665333332,25.091499446391246,24.90961461900258,24.54647690339907,25.161260561116734,23.702612954870347,23.15997652526784
2035,20.06331331941588,21.30105220506454,23.729512827221615,23.944821766855384,24.89184136110406,24.97934403304894,24.837752808859243,24.602963468484226,24.55648975717843,24.9996174351491,25.8117723114956,24.008433991818155
2036,19.884652055198682,22.45899378109314,24.61032524887332,24.963835514202053,26.50166753262764,27.336858513937763,25.672945059083226,24.987759025244827,24.977749335963754,25.089646382199135,23.459469064971284,21.679158262287086
