day,mean,min,max,var
1,3.4477751963440165e-08,-2.751982430381813e-08,2.449541217205467e-07,pr
2,4.4983861778658614e-08,-3.24479306383403e-08,2.480943595369894e-07,pr
3,0.006427639536749941,-3.845064366057243e-08,0.19282746750884666,pr
4,0.000248608743481141,-2.8259215366627492e-08,0.00745739179107768,pr
5,0.0008878224026761022,-2.8065491369278186e-08,0.026633788736253244,pr
6,3.5541584841312576e-05,-3.093508634099518e-08,0.0010653990692256054,pr
7,3.53275043314974e-08,-1.4451709253291628e-08,2.3457329507840847e-07,pr
8,3.553258570245555e-05,-3.810829716907936e-08,0.0010653433347132583,pr
9,4.5165212810823946e-08,-1.41770067110088e-08,2.5082948756928123e-07,pr
10,3.479776385392442e-08,-6.052771037274869e-08,2.590328786640727e-07,pr
11,5.7315626452882684e-08,-4.479651952266359e-08,2.4883108653840665e-07,pr
12,5.114109504493537e-08,-1.9565862124012774e-08,2.575943450399499e-07,pr
13,5.190879381768454e-08,-4.250161864602197e-08,2.5740319438703175e-07,pr
14,5.0418297843241754e-08,-3.9709847609320116e-08,4.786037968522848e-07,pr
15,0.0005859875735533875,-2.5663009630234357e-08,0.017578350198091328,pr
16,0.16733723728259262,-3.7881779029285026e-08,4.85072616986415,pr
17,0.022141399112350878,-3.237202873759681e-08,0.43412662959667003,pr
18,0.0007635679070920853,-1.792504332150605e-08,0.015447711376436343,pr
19,0.002664911060444135,-2.4494556069988376e-08,0.07994536037897068,pr
20,0.0017113133699736096,-1.2972187495240756e-08,0.03695503815272896,pr
21,0.008779777818469532,-2.6827161367310684e-08,0.1360820746520075,pr
22,3.5381362943591785e-05,-4.577670811840648e-08,0.0010589917126270446,pr
23,7.569576790594182e-08,-4.791480261776373e-08,8.331841125586879e-07,pr
24,0.0004733936583875431,-4.802747794124319e-08,0.00818642280529402,pr
25,1.619827010570443e-07,-2.500453491625857e-08,1.7661239813002401e-06,pr
26,7.732505578384307e-08,-3.631917445403763e-08,6.765180881266489e-07,pr
27,0.0003216190824712828,-2.5452840891620115e-08,0.00607800561375717,pr
28,0.001748256838141528,-3.406900620725044e-08,0.03462855559003651,pr
29,0.0019936929651222604,-5.6694535170964495e-08,0.03881371788376509,pr
30,0.005643416942020936,-3.5405554067209586e-08,0.1249869751106866,pr
31,0.0018691776718396977,-4.9020011309790215e-08,0.030791137380128793,pr
32,0.0013495418318626043,-2.4378282826318302e-08,0.0404852743415591,pr
33,1.9726733630174717e-05,-1.9487368247286533e-08,0.0005916524284954711,pr
34,0.0007727514286249588,-4.45227841618567e-08,0.010089079227966626,pr
35,0.0003108105914610663,-3.71396183521033e-08,0.006380904652979886,pr
36,0.00032295226826590574,-3.231487889818617e-08,0.006107360534896444,pr
37,0.004090664587516038,-4.3812531372001924e-08,0.094119286912736,pr
38,0.00957214041714099,-1.5327953833802767e-08,0.17237045018132574,pr
39,0.017680765378629996,-2.7046408809341944e-08,0.3951274123631911,pr
40,0.004874833599296579,-3.401889417865106e-08,0.1080390391769125,pr
41,0.0008327833105600973,-4.611734431387205e-08,0.017649105240830867,pr
42,0.008702076861321397,-3.847985576633748e-08,0.25117170613386774,pr
43,0.0019694599128807166,-3.391260624905039e-08,0.04542989680133478,pr
44,0.0014017013474672206,-7.251953031655402e-08,0.03032338060435807,pr
45,0.0029568047586778414,-6.013887148519354e-08,0.041893379423858,pr
46,0.03370205321582405,-3.347672601795155e-08,0.9108529818317612,pr
47,0.008160768080952762,-2.4400318144920017e-08,0.2061602083081012,pr
48,0.0028705534452957474,-2.5460463328495288e-08,0.06952444418973308,pr
49,0.007694596181797087,-3.250457751528694e-08,0.2107021316799173,pr
50,0.003791335531118722,-4.183474811689176e-08,0.10539839021635578,pr
51,0.009487257116510599,-4.3893608937151664e-08,0.2670980789408871,pr
52,0.0012495475775214137,-5.374467609005165e-08,0.020391103661800546,pr
53,0.0053949280567647286,-2.2134485180731765e-08,0.14099688368093563,pr
54,0.005427869737782674,-6.066351030026855e-08,0.07687378971463489,pr
55,0.00011316559142935234,-4.575258423368698e-08,0.0023940880097290578,pr
56,0.003930145033311352,-6.002323414553991e-08,0.08669506046297654,pr
57,0.0016785912330069131,-4.94762625303034e-08,0.02465037169996969,pr
58,0.005332925964398999,-6.247229074821958e-08,0.11478052568012304,pr
59,0.0013500029108841117,-6.242895889768024e-08,0.04043941776370276,pr
60,0.00013210889299188067,-6.558796541519419e-08,0.003942398595264465,pr
61,0.0022466809530247924,-3.7589824907897384e-08,0.055437590072303644,pr
62,0.0062365263577672985,-3.939476906311748e-08,0.18694886332364377,pr
63,0.010963561123953403,-1.9444266578852186e-08,0.22125330739787874,pr
64,0.006583994740566779,-6.017674147814009e-08,0.16024751718971786,pr
65,0.1004614409537813,-2.7450126493072455e-08,2.7926917403619367,pr
66,0.018918261360656444,-3.927163083832196e-08,0.561857136604593,pr
67,0.007782394881132217,-3.672399014442446e-08,0.213202906184618,pr
68,0.0005458605765153731,-2.4115439392792956e-08,0.012632812395400886,pr
69,0.003767552208821302,-3.988941580588591e-08,0.06513207721562099,pr
70,0.031370167538284775,-2.5877854467908483e-08,0.9135099358749834,pr
71,0.19377455215359182,-5.8316439883007563e-08,5.768498919145177,pr
72,0.00021303477648112955,-6.951025136593418e-08,0.004500215817966133,pr
73,0.007486690021894388,-3.451529171098708e-08,0.171932466393645,pr
74,0.005587914194358776,-5.0963749039370265e-08,0.1468289410220257,pr
75,0.00024219330794990576,-5.24818016222344e-08,0.004024664259160159,pr
76,0.00016103304183041477,-6.377769296684577e-08,0.004768194137459915,pr
77,0.0003690784317178943,-5.4802930797233156e-08,0.011055574372283107,pr
78,3.3241501211211724e-06,-8.605511349963967e-08,7.817002910308801e-05,pr
79,0.002652172270959055,-8.192972832086879e-08,0.07314917228977245,pr
80,0.0022174568012390634,-7.806663373372796e-08,0.05838824021665763,pr
81,0.0006926047110552378,-9.984930112205781e-08,0.012383107839194683,pr
82,0.00048704389077215937,-8.382810412132362e-08,0.013930218618963914,pr
83,0.0001727130172461582,-5.6432834346178124e-08,0.003974588322966615,pr
84,0.10722194835859647,-8.600463002359356e-08,3.213675472976581,pr
85,0.0008946741552385025,-4.251373749315933e-08,0.024064622919757875,pr
86,7.376120761178288e-05,-4.934173649475345e-08,0.001892254247399667,pr
87,0.0720915787595165,-5.99243499451898e-08,2.106739982310443,pr
88,0.06773066837930854,-1.0425632805816004e-07,1.9566032273692955,pr
89,0.0033892105703537743,-4.040838291670705e-08,0.06538440217720785,pr
90,0.05266741932214715,-4.983942858669336e-08,1.5659456862947685,pr
91,0.05356308514802935,-5.4554660317477814e-08,1.6055078897389896,pr
92,0.0012193027137469424,-3.774384859297428e-08,0.028991630099385754,pr
93,0.002177960883400815,-5.0287431127620225e-08,0.05960136883490706,pr
94,0.23071356354687195,-5.87080335490064e-08,6.747735402349074,pr
95,0.07206600721275205,-4.597604371643129e-08,1.9247150399453883,pr
96,0.020639744456986978,-6.283604882839376e-08,0.6137599415623964,pr
97,7.05286441058046e-05,-8.26414576412937e-08,0.0020693609082370404,pr
98,3.053669970967782e-05,-7.009768566810749e-08,0.0008792937368852394,pr
99,0.00020036385334339934,-6.806240958782975e-08,0.005990797564967015,pr
100,0.00466685380952818,-7.548942719650695e-08,0.08157420694084819,pr
101,0.008296688229917639,-6.825375874058598e-08,0.2324255067116038,pr
102,0.006646204610095722,-1.0539065275111069e-07,0.12497621437509993,pr
103,0.0011085101939620555,-1.2485583203576847e-07,0.029382501131753034,pr
104,0.0005618327139754273,-5.11672722466013e-08,0.010899879017293876,pr
105,0.004150612302285746,-8.463614248811886e-08,0.11580305561107489,pr
106,0.008526709221738153,-9.814985087160316e-08,0.21467886578500076,pr
107,0.044686813389088566,-1.3934642463163513e-07,1.042216941258465,pr
108,0.022463786382924296,-9.747847687109404e-08,0.3862586063346174,pr
109,0.0009578003166962804,-1.0271722785431985e-07,0.028665188860168417,pr
110,0.0004851817224816611,-1.0687964788839118e-07,0.009193662716010423,pr
111,0.001169263639548822,-1.0367631880073334e-07,0.024414018495608092,pr
112,0.0004239220389835338,-1.5505129091214815e-07,0.006691230242458714,pr
113,3.738088253893953e-05,-1.714406379965436e-07,0.001070618900426966,pr
114,1.3465018748395282e-06,-1.228980830760555e-07,1.4376873975368782e-05,pr
115,1.4102599781731197e-06,-1.5549982300838822e-07,1.5704693637495153e-05,pr
116,0.0006019750373045658,-1.253659076706627e-07,0.006075306995887575,pr
117,0.0035845156143160884,-1.1022371714073173e-07,0.08520480563670238,pr
118,0.00019054582243438622,-1.6010421878621525e-07,0.005654912953607651,pr
119,0.005444753593289105,-1.4130204092263952e-07,0.15750848627645858,pr
120,0.009390755404010399,-5.2186062297823324e-08,0.26534610898154426,pr
121,0.04991532090812572,-1.6942449691724853e-07,1.3379567085240147,pr
122,0.29147610222771203,-1.6304937698051569e-07,8.091086569021442,pr
123,0.02570152427926402,-1.2673084862489517e-07,0.6534776930623672,pr
124,0.019654416183728932,-1.569919833139714e-07,0.37683671120271806,pr
125,0.049375573359450975,-1.557438599870806e-07,0.9824343482766125,pr
126,0.0029895114807544005,-1.823523183632253e-07,0.07444760537293148,pr
