stn,idx,rcp,hor,stat,centile,val
era5_land,tx_days_above,ref,1981-2010,none,-1.0,12.7
era5_land,tx_days_above,rcp45,1981-2010,mean,-1.0,12.384127
era5_land,tx_days_above,rcp45,2021-2050,mean,-1.0,36.447619
era5_land,tx_days_above,rcp45,2051-2080,mean,-1.0,58.565873
era5_land,tx_days_above,rcp45,1981-2010,min,-1.0,1.816667
era5_land,tx_days_above,rcp45,2021-2050,min,-1.0,12.583333
era5_land,tx_days_above,rcp45,2051-2080,min,-1.0,25.566667
era5_land,tx_days_above,rcp45,1981-2010,max,-1.0,30.266667
era5_land,tx_days_above,rcp45,2021-2050,max,-1.0,66.3
era5_land,tx_days_above,rcp45,2051-2080,max,-1.0,93.2
era5_land,tx_days_above,rcp45,1981-2010,centile,10.0,4.416667
era5_land,tx_days_above,rcp45,2021-2050,centile,10.0,20.533333
era5_land,tx_days_above,rcp45,2051-2080,centile,10.0,36.841667
era5_land,tx_days_above,rcp45,1981-2010,centile,50.0,11.2
era5_land,tx_days_above,rcp45,2021-2050,centile,50.0,35.575
era5_land,tx_days_above,rcp45,2051-2080,centile,50.0,58.433333
era5_land,tx_days_above,rcp45,1981-2010,centile,90.0,21.816667
era5_land,tx_days_above,rcp45,2021-2050,centile,90.0,52.85
era5_land,tx_days_above,rcp45,2051-2080,centile,90.0,80.408333
era5_land,tx_days_above,rcp45,1981-2010,centile,99.0,29.153333
era5_land,tx_days_above,rcp45,2021-2050,centile,99.0,64.525
era5_land,tx_days_above,rcp45,2051-2080,centile,99.0,91.611667
era5_land,tx_days_above,rcp45,1981-2010,centile,100.0,30.266667
era5_land,tx_days_above,rcp45,2021-2050,centile,100.0,66.3
era5_land,tx_days_above,rcp45,2051-2080,centile,100.0,93.2
era5_land,tx_days_above,rcp85,1981-2010,mean,-1.0,14.983712
era5_land,tx_days_above,rcp85,2021-2050,mean,-1.0,46.311742
era5_land,tx_days_above,rcp85,2051-2080,mean,-1.0,90.541667
era5_land,tx_days_above,rcp85,1981-2010,min,-1.0,2.158333
era5_land,tx_days_above,rcp85,2021-2050,min,-1.0,18.45
era5_land,tx_days_above,rcp85,2051-2080,min,-1.0,48.65
era5_land,tx_days_above,rcp85,1981-2010,max,-1.0,38.95
era5_land,tx_days_above,rcp85,2021-2050,max,-1.0,80.266667
era5_land,tx_days_above,rcp85,2051-2080,max,-1.0,128.858333
era5_land,tx_days_above,rcp85,1981-2010,centile,10.0,4.944167
era5_land,tx_days_above,rcp85,2021-2050,centile,10.0,27.9425
era5_land,tx_days_above,rcp85,2051-2080,centile,10.0,65.665
era5_land,tx_days_above,rcp85,1981-2010,centile,50.0,13.229167
era5_land,tx_days_above,rcp85,2021-2050,centile,50.0,45.029167
era5_land,tx_days_above,rcp85,2051-2080,centile,50.0,91.245833
era5_land,tx_days_above,rcp85,1981-2010,centile,90.0,26.881667
era5_land,tx_days_above,rcp85,2021-2050,centile,90.0,66.9625
era5_land,tx_days_above,rcp85,2051-2080,centile,90.0,114.695833
era5_land,tx_days_above,rcp85,1981-2010,centile,99.0,37.5325
era5_land,tx_days_above,rcp85,2021-2050,centile,99.0,78.472917
era5_land,tx_days_above,rcp85,2051-2080,centile,99.0,126.789833
era5_land,tx_days_above,rcp85,1981-2010,centile,100.0,38.95
era5_land,tx_days_above,rcp85,2021-2050,centile,100.0,80.266667
era5_land,tx_days_above,rcp85,2051-2080,centile,100.0,128.858333
era5_land,tx_days_above,rcpxx,1981-2010,mean,-1.0,13.691098
era5_land,tx_days_above,rcpxx,2021-2050,mean,-1.0,41.49438
era5_land,tx_days_above,rcpxx,2051-2080,mean,-1.0,74.925581
era5_land,tx_days_above,rcpxx,1981-2010,min,-1.0,1.5
era5_land,tx_days_above,rcpxx,2021-2050,min,-1.0,11.866667
era5_land,tx_days_above,rcpxx,2051-2080,min,-1.0,25.325
era5_land,tx_days_above,rcpxx,1981-2010,max,-1.0,39.666667
era5_land,tx_days_above,rcpxx,2021-2050,max,-1.0,82.666667
era5_land,tx_days_above,rcpxx,2051-2080,max,-1.0,128.875
era5_land,tx_days_above,rcpxx,1981-2010,centile,10.0,4.263333
era5_land,tx_days_above,rcpxx,2021-2050,centile,10.0,21.753333
era5_land,tx_days_above,rcpxx,2051-2080,centile,10.0,42.466667
era5_land,tx_days_above,rcpxx,1981-2010,centile,50.0,12.120833
era5_land,tx_days_above,rcpxx,2021-2050,centile,50.0,40.608333
era5_land,tx_days_above,rcpxx,2051-2080,centile,50.0,74.216667
era5_land,tx_days_above,rcpxx,1981-2010,centile,90.0,25.295833
era5_land,tx_days_above,rcpxx,2021-2050,centile,90.0,62.06
era5_land,tx_days_above,rcpxx,2051-2080,centile,90.0,108.583333
era5_land,tx_days_above,rcpxx,1981-2010,centile,99.0,36.936167
era5_land,tx_days_above,rcpxx,2021-2050,centile,99.0,78.970667
era5_land,tx_days_above,rcpxx,2051-2080,centile,99.0,124.7555
era5_land,tx_days_above,rcpxx,1981-2010,centile,100.0,39.666667
era5_land,tx_days_above,rcpxx,2021-2050,centile,100.0,82.666667
era5_land,tx_days_above,rcpxx,2051-2080,centile,100.0,128.875
