year,ref,rcp45_lower,rcp45_middle,rcp45_upper,rcp85_lower,rcp85_middle,rcp85_upper
1981,29.0,14.0,33.20238095238095,51.5,14.299999999999999,32.73863636363637,50.60000000000001
1982,11.0,22.0,36.214285714285715,49.00000000000003,13.0,34.34090909090909,48.525000000000006
1983,26.0,20.25,34.166666666666664,51.000000000000014,14.024999999999999,33.96590909090909,54.60000000000001
1984,23.0,11.0,28.238095238095237,56.0,11.2,29.636363636363637,49.500000000000014
1985,49.25,20.25,37.73809523809524,49.000000000000014,24.65,38.31818181818182,50.775
1986,26.25,18.0,37.32142857142857,57.000000000000014,21.3,37.82954545454545,56.125
1987,17.0,17.0,29.833333333333332,45.00000000000001,17.2,31.920454545454547,46.35000000000001
1988,25.0,25.0,34.833333333333336,48.000000000000014,25.099999999999998,35.02272727272727,47.0
1989,36.0,12.5,31.357142857142858,48.5,11.4,32.69318181818182,48.975
1990,57.0,23.0,38.86904761904762,55.000000000000014,16.85,37.67045454545455,54.9
1991,47.5,18.0,30.392857142857142,45.5,15.3,29.863636363636363,45.800000000000004
1992,25.0,19.0,33.833333333333336,58.0,21.525,36.86363636363637,58.9
1993,37.0,15.0,33.25,51.00000000000001,16.1,30.738636363636363,50.20000000000002
1994,28.0,19.0,32.285714285714285,49.75000000000002,19.1,31.954545454545453,49.17500000000001
1995,43.0,8.0,32.79761904761905,54.00000000000001,9.450000000000001,31.852272727272727,53.500000000000014
1996,37.75,7.0,28.523809523809526,56.00000000000003,11.5,31.46590909090909,61.92500000000002
1997,18.0,19.0,32.55952380952381,43.000000000000014,18.1,32.34090909090909,45.47500000000001
1998,40.75,22.0,38.785714285714285,59.0,22.3,39.45454545454545,57.92500000000001
1999,25.0,15.0,31.583333333333332,48.75000000000001,9.900000000000002,31.170454545454547,49.800000000000004
2000,49.0,25.0,34.345238095238095,49.00000000000001,26.0,36.36363636363637,50.225
2001,34.5,9.5,29.714285714285715,50.00000000000001,7.7,28.795454545454547,42.7
2002,35.0,17.0,34.416666666666664,59.000000000000014,13.375,31.420454545454547,50.45000000000001
2003,37.0,18.5,32.904761904761905,44.00000000000001,24.1,35.20454545454545,44.0
2004,28.0,20.0,32.57142857142857,44.0,16.6,34.43181818181818,51.30000000000001
2005,41.75,24.0,41.0,56.000000000000014,24.25,41.76136363636363,55.7
2006,22.0,23.0,38.976190476190474,52.0,11.5,31.636363636363637,47.800000000000004
2007,43.0,17.0,33.80952380952381,50.75000000000003,23.150000000000002,34.14772727272727,56.20000000000002
2008,20.0,16.0,27.964285714285715,47.000000000000014,15.3,36.20454545454545,55.85
2009,39.75,29.0,40.95238095238095,54.000000000000014,16.0,33.81818181818182,52.900000000000006
2010,39.0,22.0,42.357142857142854,65.00000000000001,11.725,38.23863636363637,55.60000000000001
2011,,32.5,47.035714285714285,58.00000000000004,17.450000000000003,35.51136363636363,46.85
2012,,19.0,32.654761904761905,49.00000000000001,25.25,35.02272727272727,45.7
2013,,9.0,27.36904761904762,45.750000000000014,17.3,40.73863636363637,57.0
2014,,13.75,31.511904761904763,53.000000000000014,20.200000000000003,34.59090909090909,55.20000000000002
2015,,27.0,41.42857142857143,57.5,24.1,33.88636363636363,51.32500000000002
2016,,23.5,42.154761904761905,63.50000000000003,9.3,37.15909090909091,53.900000000000006
2017,,10.0,28.214285714285715,47.000000000000014,30.2,42.29545454545455,55.0
2018,,21.0,34.5,51.50000000000001,22.75,38.63636363636363,52.80000000000001
2019,,10.0,37.083333333333336,57.250000000000014,15.7,36.18181818181818,50.7
2020,,15.0,33.404761904761905,48.25000000000001,20.0,36.61363636363637,51.900000000000006
2021,,23.0,38.98809523809524,52.00000000000003,18.1,34.60227272727273,57.900000000000006
2022,,21.0,34.035714285714285,44.00000000000002,13.5,36.14772727272727,52.0
2023,,18.75,35.17857142857143,46.0,19.5,38.17045454545455,54.0
2024,,19.0,37.69047619047619,53.000000000000014,16.025,38.875,60.675000000000004
2025,,23.0,39.42857142857143,51.00000000000003,23.3,37.29545454545455,52.70000000000001
2026,,33.0,44.67857142857143,65.00000000000001,28.099999999999998,41.28409090909091,54.9
2027,,21.75,40.13095238095238,58.00000000000001,21.1,41.54545454545455,57.45
2028,,21.0,32.142857142857146,44.00000000000002,17.2,32.44318181818182,55.60000000000001
2029,,11.5,32.63095238095238,48.250000000000014,17.5,37.61363636363637,58.70000000000003
2030,,21.0,32.154761904761905,41.0,16.4,36.68181818181818,50.8
2031,,25.0,35.80952380952381,48.00000000000001,20.525,32.38636363636363,48.95
2032,,17.0,35.023809523809526,46.250000000000014,21.000000000000004,41.17045454545455,61.60000000000001
2033,,20.0,37.82142857142857,63.0,24.1,42.20454545454545,62.8
2034,,19.0,39.19047619047619,56.000000000000014,31.3,45.69318181818182,65.7
2035,,11.0,33.273809523809526,49.500000000000014,16.175,35.76136363636363,54.45
2036,,23.75,35.5,51.0,18.200000000000003,35.79545454545455,50.7
2037,,23.5,40.63095238095238,56.00000000000001,16.95,33.05681818181818,55.00000000000002
2038,,18.0,35.154761904761905,53.00000000000001,12.2,36.82954545454545,57.800000000000004
2039,,9.0,26.94047619047619,49.75000000000002,30.099999999999998,46.17045454545455,59.900000000000006
2040,,14.0,34.892857142857146,49.000000000000014,11.1,28.045454545454547,42.8
2041,,17.0,32.666666666666664,54.25,23.0,38.82954545454545,57.62500000000001
2042,,25.5,39.142857142857146,54.00000000000001,22.5,42.14772727272727,56.82500000000001
2043,,30.0,43.333333333333336,56.00000000000001,26.200000000000003,39.875,59.40000000000001
2044,,19.0,40.55952380952381,63.0,22.825000000000003,42.47727272727273,60.75000000000001
2045,,1.0,32.44047619047619,52.000000000000014,26.475,38.75,53.0
2046,,21.5,34.73809523809524,44.000000000000014,21.65,33.69318181818182,47.900000000000006
2047,,17.0,34.94047619047619,50.0,21.1,35.23863636363637,52.0
2048,,13.5,36.80952380952381,57.00000000000003,22.375,42.92045454545455,61.224999999999994
2049,,18.0,37.51190476190476,58.75000000000001,14.7,36.70454545454545,57.55000000000001
2050,,22.25,37.845238095238095,56.500000000000014,17.400000000000002,35.04545454545455,51.37500000000001
2051,,28.0,42.20238095238095,51.000000000000014,21.1,36.45454545454545,50.8
2052,,18.0,39.92857142857143,58.0,26.525,41.29545454545455,57.500000000000014
2053,,23.5,41.86904761904762,57.00000000000006,17.85,39.72727272727273,63.650000000000006
2054,,21.0,37.73809523809524,55.0,26.65,40.60227272727273,55.900000000000006
2055,,29.0,41.82142857142857,51.00000000000003,24.525,40.19318181818182,52.0
2056,,15.0,30.226190476190474,45.000000000000014,13.175,40.56818181818182,60.70000000000001
2057,,10.0,32.595238095238095,49.000000000000014,19.2,36.69318181818182,55.7
2058,,13.0,34.285714285714285,51.000000000000014,31.200000000000003,39.05681818181818,50.8
2059,,17.5,42.07142857142857,67.0,17.525,37.52272727272727,58.9
2060,,24.0,37.142857142857146,51.75,16.6,39.59090909090909,52.82500000000001
2061,,23.0,40.0,57.25000000000002,11.375,34.32954545454545,57.0
2062,,26.0,43.535714285714285,62.5,27.2,42.80681818181818,54.9
2063,,28.25,43.13095238095238,59.00000000000001,18.375,42.93181818181818,66.275
2064,,26.25,43.083333333333336,56.000000000000014,19.7,37.52272727272727,58.42500000000001
2065,,19.0,36.083333333333336,50.0,22.5,44.61363636363637,64.70000000000002
2066,,25.0,42.095238095238095,55.0,19.1,39.69318181818182,60.150000000000006
2067,,24.75,41.523809523809526,59.00000000000001,20.200000000000003,39.59090909090909,61.900000000000006
2068,,15.5,36.23809523809524,58.000000000000014,12.5,34.875,52.80000000000001
2069,,17.0,42.035714285714285,73.00000000000001,22.2,45.52272727272727,72.45000000000002
2070,,20.0,42.892857142857146,57.750000000000014,16.2,37.29545454545455,56.40000000000002
2071,,29.0,40.726190476190474,53.25000000000004,21.2,38.38636363636363,50.225
2072,,29.0,41.30952380952381,52.500000000000014,24.85,43.14772727272727,60.25000000000001
2073,,19.0,33.416666666666664,55.0,26.025000000000002,46.20454545454545,64.9
2074,,19.0,37.63095238095238,54.00000000000003,12.600000000000001,40.55681818181818,62.60000000000001
2075,,22.0,39.166666666666664,51.000000000000014,24.675,44.90909090909091,58.925000000000004
2076,,14.5,32.57142857142857,51.000000000000014,26.200000000000003,45.97727272727273,62.30000000000001
2077,,17.0,33.30952380952381,49.00000000000004,20.1,42.95454545454545,58.925000000000004
2078,,18.0,33.51190476190476,54.0,19.325000000000003,41.27272727272727,58.9
2079,,21.0,36.20238095238095,46.000000000000036,23.75,38.85227272727273,56.70000000000001
2080,,21.0,43.214285714285715,69.75,18.175,40.29545454545455,63.500000000000014
