year,ref,rcp45_moy,rcp45_min,rcp45_max,rcp85_moy,rcp85_min,rcp85_max
1981,0.0,196.23223911477902,-287.821129316792,734.8016612499581,165.5141128620393,-278.22902515495616,730.863549824485
1982,0.0,152.0966269115819,-460.4100757642576,794.6921129177083,109.71644101840094,-467.8902816521186,795.3626613455435
1983,0.0,166.94461099362474,-263.1288675170992,774.6718243583064,139.91211506546298,-250.3373371387923,779.9473927312723
1984,0.0,159.3087050407649,-375.3237884757392,732.778786697935,137.55311228619627,-326.32194802137974,713.5289089672094
1985,0.0,138.0834544629875,-491.1897852678967,730.7998570399347,104.58590630768748,-470.08053026956657,735.9394152967998
1986,0.0,172.92963608561894,-342.7818971287588,771.4573461068378,155.38256902991944,-401.82224718903524,762.6318203520152
1987,0.0,121.8721446197081,-454.70420195984224,608.3905882705274,100.2060173141681,-448.9763869445655,631.3139380465232
1988,0.0,129.54158698531015,-431.8340219802681,756.8790230063287,99.8671650176375,-437.10789330835195,769.5481056084369
1989,0.0,151.73197063414585,-260.4538397286865,602.5068939205715,120.6534362368238,-295.52988875496396,600.9268598794582
1990,0.0,138.24388501885775,-493.48991318397276,772.439161528691,109.30740893611518,-514.4653542734136,777.0339736410817
1991,0.0,162.34945069299005,-545.1340082147794,974.8882599904045,139.84582306544337,-418.68111544695375,994.7206077501069
1992,0.0,126.43021485477104,-405.64502409015165,797.5324617762815,111.35920835851586,-379.2427728456931,793.8278339431649
1993,0.0,139.00346767777916,-404.28847225566875,729.6347723168714,100.81798258082522,-366.4240225500643,734.4219091437568
1994,0.0,160.84955116436512,-513.3081612621316,880.5060449780719,134.01981302546113,-505.7172029844003,864.861173252214
1995,0.0,163.05156018969177,-475.99343013693294,879.5935430419324,135.78884595920428,-441.0829022334765,892.6882784353572
1996,0.0,163.87863621037272,-360.48768973051864,786.739807022217,121.61387433005615,-350.6948120210899,802.2293303739226
1997,0.0,142.995677519017,-452.1859940924306,707.438442004538,102.33361734282893,-413.1250502781634,706.960665863593
1998,0.0,170.52238176210437,-321.67476088138903,665.6600754978781,154.2068653571021,-246.64173756081743,705.6368808796003
1999,0.0,114.55167959617984,-493.07492308382143,695.6203756685487,102.18635648955768,-390.7843715378467,731.7875988744489
2000,0.0,176.9492914655361,-407.37033916940675,931.9478150432549,137.68381207051954,-368.3885010962614,969.1982512902828
2001,0.0,155.29788616637683,-440.8533109656014,914.7748927334463,130.17738939986418,-440.9746332760375,937.1754477014218
2002,0.0,148.85282714001687,-468.4443925901664,750.5041301517153,136.58004069026904,-503.4856090675118,748.2263418573931
2003,0.0,176.11817926365424,-479.44111401598013,881.0715430394501,145.34965450906247,-429.2254842312583,854.054274350099
2004,0.0,161.5702978744153,-387.04806644387156,821.93296791165,133.43815795068076,-347.6904485865405,802.5852876955466
2005,0.0,130.99305505112372,-394.72976178359886,751.6317978734409,105.78423478322603,-427.6524634684091,773.7442391977737
2006,0.0,128.13816556397646,-390.20120507184515,691.6476210284508,120.52961528842212,-309.1007166683397,716.2456157875874
2007,0.0,173.3909613042476,-292.856832177689,766.4408407547196,121.09746281741774,-451.8840105933853,743.8096224273058
2008,0.0,158.9281822489301,-360.8996825616432,861.5820727746327,115.10239058823846,-255.884482636945,865.7864205483288
2009,0.0,146.18310579309374,-450.67633719891717,737.1909835429881,144.15193616044692,-388.58931049392964,870.7579213003551
2010,0.0,171.5315238350942,-277.9264308710772,787.3622899975602,119.27754398201773,-348.8268197676971,839.5536359314865
