day,mean,min,max,var
1,1.1139890440644434e-05,-5.9038731877046e-08,0.0002939727730105077,pr
2,5.1281698141460074e-05,-6.635136766578021e-08,0.0011574572773075276,pr
3,5.063257800852421e-05,-7.190968257727996e-08,0.001176443793998068,pr
4,1.7793136849164258e-06,-5.693095520847366e-08,5.2181452403850426e-05,pr
5,1.583570724217082e-05,-5.69459428313211e-08,0.0004726420062019028,pr
6,3.1004861530300974e-05,-5.5643545803073766e-08,0.0005323302545983458,pr
7,1.495914199205282e-05,-8.496305161339703e-08,0.0004473075362443051,pr
8,6.398188059128865e-06,-6.530312850848787e-08,0.0001906184624900654,pr
9,8.009217503060387e-05,-4.6053482295198245e-08,0.0021383063304099177,pr
10,1.5240757160106885e-07,-8.322634511651702e-08,3.7187137409870983e-06,pr
11,5.0429730983211085e-08,-4.392988115915935e-08,2.592901426810832e-07,pr
12,1.4546946091221807e-06,-7.472602970652898e-08,4.195031293298072e-05,pr
13,5.378434987866705e-05,-6.071212111610534e-08,0.0016025765463154986,pr
14,1.3945784751170158e-06,-7.479834516578842e-08,4.13235142667982e-05,pr
15,1.6689436230356544e-05,-8.283438865474574e-08,0.0003430846950917253,pr
16,0.00023903283433174974,-5.982064963743863e-08,0.0071663680235297695,pr
17,5.035307262375529e-05,-6.553348318808785e-08,0.0014982613724789542,pr
18,3.608828460553689e-06,-7.895927951181422e-08,0.00010843371193406344,pr
19,5.420138165232625e-08,-5.368212139041762e-08,7.032083940645116e-07,pr
20,1.711655438601789e-06,-7.588112785334967e-08,5.0686516359035786e-05,pr
21,2.615158047059738e-07,-5.09749333339986e-08,4.732911558582985e-06,pr
22,7.821267922555091e-08,-6.978900637982428e-08,7.92886508335189e-07,pr
23,6.40056680487399e-06,-6.423797465757847e-08,0.0001491517688941138,pr
24,6.023697566880301e-08,-5.0905086178265395e-08,4.3136614996920526e-07,pr
25,7.124381370494883e-08,-4.675460901610896e-08,1.6281629709807797e-06,pr
26,1.759279028404208e-07,-4.0478650706171906e-08,4.126337458991204e-06,pr
27,1.57852406771623e-07,-6.942108858380568e-08,3.482804839285366e-06,pr
28,0.00012071382356690907,-8.120820374368126e-08,0.001845523136073221,pr
29,7.160739005057799e-08,-7.754564293602917e-08,9.631941500564119e-07,pr
30,8.278660229382438e-05,-6.905423748367829e-08,0.0024817521916353454,pr
31,0.0025117065487964382,-7.963347087920233e-08,0.0753495891146564,pr
32,0.0012758258324299823,-4.211523862434699e-08,0.03820554694109386,pr
33,6.835417253876381e-05,-7.36888240074457e-08,0.0017123252947795868,pr
34,1.973052661736605e-05,-6.56619367229594e-08,0.00045016317053043933,pr
35,7.346521936917557e-06,-7.412114348033764e-08,0.00021810335115508307,pr
36,1.3603509349247682e-06,-7.481315684508106e-08,3.902642978653247e-05,pr
37,0.00047915752472908296,-5.78355160152271e-08,0.012763524481313585,pr
38,0.0001305571752423609,-5.465765401024766e-08,0.0029295660281465612,pr
39,9.363934697626044e-06,-5.037713349278259e-08,0.0001586138121507407,pr
40,0.00040226108181587325,-7.853035384296228e-08,0.012066315332267033,pr
41,4.60425846489556e-05,-5.8062744476015675e-08,0.001378868069413031,pr
42,1.4679748362747766e-06,-6.37586250581979e-08,3.965052690331785e-05,pr
43,4.2252442437396407e-05,-7.127711078675312e-08,0.001249414839629932,pr
44,7.997096090698875e-05,-7.721170001442827e-08,0.0023146498815611615,pr
45,3.897834402615648e-05,-7.676142378293225e-08,0.0011689621465688265,pr
46,3.024996980033013e-07,-6.060733637845372e-08,6.6547338748248185e-06,pr
47,2.1212769163894627e-08,-8.084333731657067e-08,3.0453200503065196e-07,pr
48,0.006270735090665308,-6.828760338914082e-08,0.1857029323048965,pr
49,0.0007372251723464597,-9.131550437704066e-08,0.022092872076709444,pr
50,5.167671771422229e-08,-1.0170259840948314e-07,5.80312927922408e-07,pr
51,8.059605818024604e-08,-5.949182697560563e-08,1.5931569880365347e-06,pr
52,0.0016418036443203454,-9.684935181239986e-08,0.04700036663721978,pr
53,0.0010529931600028021,-8.356981543540457e-08,0.031444383236457714,pr
54,0.012595806413878073,-9.593690080774575e-08,0.3777106925963083,pr
55,0.0013249340998282744,-8.074631352465373e-08,0.03868538757422464,pr
56,1.3193478944597488e-06,-8.122025125987746e-08,3.762376328095404e-05,pr
57,0.0015842294241361567,-6.857394762964846e-08,0.04213711235799883,pr
58,0.00020739708198732826,-7.653172132240256e-08,0.00502725809409558,pr
59,0.00012358306188443695,-9.524664187174235e-08,0.003687052431294039,pr
60,0.0002094062207316995,-8.416116025299062e-08,0.006281890793939069,pr
61,7.354294349809273e-09,-1.0878220662167833e-07,3.749979036262999e-07,pr
62,4.394399191809841e-06,-9.830541640959081e-08,6.284629527884702e-05,pr
63,8.409262436320871e-06,-8.126059193216789e-08,0.00016948294735612837,pr
64,2.035036439204951e-06,-9.009875441139165e-08,2.2910416802011514e-05,pr
65,0.0008259884264988614,-1.061826864617983e-07,0.009287417239272556,pr
66,0.0025770530659163992,-1.0160028114682236e-07,0.038138155898443805,pr
67,0.0003659222821795759,-9.49954049987478e-08,0.004169063506581028,pr
68,0.0008035665439429746,-7.090824389579401e-08,0.02209714426928317,pr
69,0.0017425837175764544,-7.537901410836655e-08,0.029279293589470436,pr
70,0.00014591497076050684,-1.3163229180922555e-07,0.0031601273872601306,pr
71,0.00010113311878555867,-1.0048904819762145e-07,0.0030090753005319994,pr
72,0.002407149831515006,-9.513437221066332e-08,0.04995214043952295,pr
73,0.0023272941994088386,-1.1523384547842332e-07,0.05700457582845316,pr
74,0.009510664100419512,-1.0804097210268972e-07,0.2290292594672762,pr
75,0.003238502311073386,-1.2057483731107788e-07,0.06785846650426348,pr
76,0.002326306731251717,-1.56647982795363e-07,0.06965115565297247,pr
