day,mean,min,max,var
1,3.740830238296878e-08,-2.396038651277237e-08,2.531237167533349e-07,pr
2,2.9633460105192697e-08,-2.930685804617162e-08,2.476189681338762e-07,pr
3,3.182495733245869e-08,-5.567705843862138e-08,2.5373004364300185e-07,pr
4,5.175109746204005e-08,-4.1802175477790724e-08,2.545701364948424e-07,pr
5,3.040323481148214e-08,-4.8034887252725786e-08,2.479576102531539e-07,pr
6,5.940779573960619e-08,-3.85912707083372e-08,2.5822617523888547e-07,pr
7,2.5394867403897474e-08,-5.1469262196225505e-08,2.464531567995829e-07,pr
8,4.934807291635707e-08,-4.7601878851061395e-08,2.5885943929360884e-07,pr
9,2.5892590111941493e-08,-4.8529703016657875e-08,2.4826650935222105e-07,pr
10,3.1546732342954666e-08,-6.103153999624506e-08,2.369421333825983e-07,pr
11,3.739117900642224e-08,-5.309156419505294e-08,2.5481125645414454e-07,pr
12,2.206525509968449e-08,-7.627918597367656e-08,2.4636040333612017e-07,pr
13,5.033334398277405e-08,-3.3106102497391205e-08,2.470842084974516e-07,pr
14,5.1044638338914626e-08,-3.8511835994827535e-08,2.53508324929228e-07,pr
15,2.154514545765191e-08,-5.226267561334565e-08,2.4445795674562553e-07,pr
16,2.5859008754650084e-08,-7.311266695296054e-08,2.5401377030649395e-07,pr
17,7.482607449253737e-08,-5.727918687358803e-08,2.578798558004333e-07,pr
18,4.896917490450888e-08,-4.524738981192406e-08,2.410907499781589e-07,pr
19,3.6782654670971605e-08,-3.989185589748076e-08,2.572971544428787e-07,pr
20,3.7798763195886296e-08,-5.195281660190385e-08,2.532018468258294e-07,pr
21,4.06276494573868e-08,-5.3662972802722404e-08,2.573682019892162e-07,pr
22,4.4422970894397703e-08,-6.261083454466022e-08,2.5421956544944936e-07,pr
23,6.202422064974897e-08,-6.559782441126662e-08,2.545371714068183e-07,pr
24,1.740400763559444e-08,-6.861573500021294e-08,2.4925802688995066e-07,pr
25,2.3571601435160632e-08,-5.3251499892459683e-08,2.5582021975952076e-07,pr
26,1.7404262014750416e-08,-7.50979780275576e-08,2.528629300901246e-07,pr
27,4.1114394400001065e-08,-4.4081970398989167e-08,2.565831940142707e-07,pr
28,1.6946134596402944e-08,-4.5169073255283494e-08,2.514377921299699e-07,pr
29,3.1691160350155804e-08,-5.4576200212010966e-08,2.589351631503003e-07,pr
30,6.236015941470826e-08,-5.997070209738622e-08,2.550424499730719e-07,pr
31,2.8924532781204024e-08,-6.280538325893164e-08,2.568778895096247e-07,pr
32,5.7940973234675776e-08,-3.1891364374526094e-08,2.538855508281116e-07,pr
33,2.1255603187384603e-08,-4.688173067422001e-08,2.4436052241580047e-07,pr
34,3.946143432680224e-08,-5.507577949816896e-08,2.539185570007293e-07,pr
35,5.338978128812122e-08,-5.1040917833433877e-08,2.4593095349864956e-07,pr
36,3.930833136218774e-08,-6.343817420156466e-08,2.5442918090957534e-07,pr
37,1.7520667888934517e-08,-6.924073667019061e-08,2.528087214974776e-07,pr
38,3.8087405332833744e-08,-5.256802423480276e-08,2.4816579153624836e-07,pr
39,2.9328106810841284e-08,-5.98631462517289e-08,2.579059636679829e-07,pr
40,3.906813404997463e-08,-6.538681690926067e-08,2.4455432597777187e-07,pr
41,2.1126254338721178e-08,-6.240188667032421e-08,2.530112349750767e-07,pr
42,5.9564203083993566e-08,-5.739950711434202e-08,2.5782371483756914e-07,pr
43,3.850886929363471e-08,-5.793906260389047e-08,2.586065662391135e-07,pr
44,2.652854315041952e-08,-3.451884603816396e-08,2.568988060921352e-07,pr
45,4.5881910952727927e-08,-7.353369979563848e-08,2.4855903498691825e-07,pr
46,4.573555949754967e-08,-6.12273246826937e-08,2.4648759845446616e-07,pr
47,5.7537997947285495e-08,-4.235267428636061e-08,2.5720300192074364e-07,pr
48,4.6007233950947744e-08,-6.514804565705435e-08,2.520265821747372e-07,pr
49,3.690121207129815e-08,-5.6528729208157194e-08,2.4391270348370566e-07,pr
50,3.8401853669128564e-08,-7.674824893386381e-08,2.4784524990376474e-07,pr
51,2.958849733178616e-08,-6.23029775839608e-08,2.578517852747453e-07,pr
52,1.199052576569262e-08,-5.4356133825711804e-08,2.539635521520018e-07,pr
53,3.4810374527599636e-08,-4.755964340510768e-08,2.3476528890638903e-07,pr
54,3.622789557253585e-08,-5.331898030855818e-08,2.3786713873007376e-07,pr
55,0.008144324932385155,-5.364354137166885e-08,0.24432796512920787,pr
56,2.4539895199740338e-08,-4.136324284364954e-08,2.456225512744367e-07,pr
57,5.6519545859547895e-08,-5.147873187137858e-08,2.566556486517903e-07,pr
58,3.111720252620456e-08,-7.172455300533973e-08,2.5442739237692193e-07,pr
59,4.10427893573113e-08,-4.7160526871296056e-08,2.574017390478278e-07,pr
60,3.33238654145336e-08,-6.761585050341446e-08,2.555777002216359e-07,pr
61,3.193977551625467e-08,-5.2188800097689555e-08,2.5765237834796297e-07,pr
62,2.1909471574792696e-08,-7.487887845910529e-08,2.424481584825217e-07,pr
63,-9.976507727278079e-10,-7.665504734203078e-08,2.2978089853251184e-07,pr
64,7.165719888523056e-09,-5.486386449960432e-08,2.556549874618059e-07,pr
65,3.8454009654680627e-08,-4.87450877640746e-08,2.4999889846744235e-07,pr
66,0.01788200134719608,-5.3953599541963036e-08,0.5364596234002894,pr
67,5.4417931158231604e-08,-3.848529194553184e-08,2.5114463622098565e-07,pr
68,5.7715363078899145e-08,-6.207882663798103e-08,2.554094721703474e-07,pr
69,3.802879630797047e-08,-4.6692252231793147e-08,2.546873110007981e-07,pr
70,1.9806643203154856e-08,-8.298112894650105e-08,2.575990537324974e-07,pr
71,3.366016349262782e-08,-3.7476481514240686e-08,2.5488402748510325e-07,pr
72,1.762066757061861e-08,-6.427199511672345e-08,2.5196059699347153e-07,pr
73,3.489855491346868e-08,-4.751698322959905e-08,2.523743627970448e-07,pr
74,4.113205834448037e-08,-4.316701048445534e-08,2.513581868603653e-07,pr
75,4.832289208004693e-08,-3.682635291022789e-08,2.4707872652962694e-07,pr
76,4.2266672210621563e-08,-7.208599258471717e-08,2.4863581252846215e-07,pr
77,2.2176760303905112e-08,-5.439749764957026e-08,2.546123195731047e-07,pr
78,2.072588251465313e-08,-5.147521369035562e-08,2.4966563707322503e-07,pr
79,3.3089810500080675e-08,-6.237613951726663e-08,2.5541611496228584e-07,pr
80,6.84292822865867e-08,-4.462012267480822e-08,2.553693324661092e-07,pr
81,5.521604919432393e-08,-4.093846476200466e-08,2.5166270138065456e-07,pr
82,4.0396079339269275e-08,-5.203978220554043e-08,2.522245512735409e-07,pr
83,3.73730173845194e-08,-7.439773245940879e-08,2.566908123471166e-07,pr
84,2.408716132717506e-08,-5.66409128799449e-08,2.572827889564597e-07,pr
85,7.370944546419804e-08,-2.3672272424498287e-08,2.5170223004407377e-07,pr
86,3.2945973203224854e-08,-6.012580930113175e-08,2.533826717686236e-07,pr
87,4.498856965133743e-08,-5.08338245051621e-08,2.440686811985889e-07,pr
88,2.054361785926692e-08,-5.6984140570018386e-08,2.2707544163516597e-07,pr
89,3.617245794538135e-08,-6.848421521023345e-08,2.524701377122755e-07,pr
90,2.851323390332467e-08,-4.246865712553665e-08,2.533104842240866e-07,pr
91,2.7044477376052215e-08,-4.5836688789838565e-08,2.5690497242731527e-07,pr
92,3.967772708856804e-08,-3.850809646516383e-08,2.5027077238853637e-07,pr
93,5.111206989183029e-08,-6.31718073958439e-08,2.539691268825939e-07,pr
94,2.4273656626060377e-09,-7.508121903830669e-08,2.513816336090952e-07,pr
95,9.34343681546504e-09,-7.090956168228635e-08,2.3050860450082227e-07,pr
96,5.0778226427781244e-08,-4.1052395020241566e-08,2.3723847385912672e-07,pr
97,5.240842847179239e-08,-5.282491444022797e-08,2.548162983763232e-07,pr
98,2.703240857263014e-08,-3.189110020755622e-08,2.5152670829676e-07,pr
99,6.12293078213799e-08,-4.064201670862867e-08,2.581790253761074e-07,pr
100,3.730156449669961e-08,-2.7802961852219216e-08,2.2755139729302717e-07,pr
101,1.452929446547042e-08,-6.668133128129423e-08,2.436241889305211e-07,pr
102,0.05166070965532169,-4.352903240662016e-08,1.5498197628941828,pr
103,0.06942133698306936,-6.103445209105895e-08,2.0826394334122424,pr
104,1.7966029573900853e-08,-4.781239400533725e-08,2.314407529938489e-07,pr
105,3.2720604762777745e-08,-6.484295460904251e-08,2.546621759686964e-07,pr
106,2.375026463440547e-08,-4.7016207252909875e-08,2.494234150790245e-07,pr
107,3.752807045843317e-08,-6.069950035593314e-08,2.5884039991180913e-07,pr
108,1.8833046894412303e-08,-6.310460514635987e-08,2.5383451758867913e-07,pr
109,0.0020361099575450926,-5.148091348587473e-08,0.061082032733127296,pr
110,3.666952824565462e-08,-3.352737403358553e-08,2.4970913329088155e-07,pr
111,6.233841915870962e-09,-4.9868934446947205e-08,2.387697795928959e-07,pr
