day,mean,min,max,var
1,5.670482674780732e-08,-3.2766986747569885e-08,2.5057812075431907e-07,pr
2,2.6082266056191402e-08,-3.8751283162074786e-08,2.4186103303883774e-07,pr
3,8.204830464313907e-08,-6.167366562092584e-08,2.5852876444504624e-07,pr
4,4.042879107058654e-08,-4.8832800073356726e-08,2.5469210627544323e-07,pr
5,4.4621338995119924e-08,-6.118007532159014e-08,2.437540841277817e-07,pr
6,4.319116433866445e-08,-5.045399328722871e-08,2.560751729505761e-07,pr
7,7.064764219514601e-08,-2.902994236342558e-08,2.58975178159933e-07,pr
8,3.803301984903819e-08,-3.265492098568431e-08,2.497392529050308e-07,pr
9,1.5727218645648914e-08,-6.299231902182651e-08,2.437048558704542e-07,pr
10,4.68338429596031e-08,-4.288591753800875e-08,2.563361992634689e-07,pr
11,5.4864393838366116e-08,-5.723421125312912e-08,2.5400300856576653e-07,pr
12,4.5190688556710867e-08,-6.506523692898795e-08,2.589334323968153e-07,pr
13,7.857412305941958e-08,-5.2819938920407195e-08,2.579462822306039e-07,pr
14,2.4430079002419993e-08,-6.193285490641382e-08,2.499017406719899e-07,pr
15,4.679732497629994e-08,-3.5300637771427765e-08,2.4392206071870225e-07,pr
16,5.1285394926290044e-08,-4.983026426534572e-08,2.57691135479966e-07,pr
17,5.8429610638916524e-08,-3.507896991989034e-08,2.5371986747571453e-07,pr
18,2.9401972840720572e-08,-5.2734297511738316e-08,2.3841528629288868e-07,pr
19,7.042392934720851e-08,-5.800478629913409e-08,2.493216355284534e-07,pr
20,4.218283204059679e-08,-5.680493331206109e-08,2.589709329666495e-07,pr
21,3.326572830098437e-08,-4.4966269642771306e-08,2.4241425208401336e-07,pr
22,4.255227602242865e-08,-5.079040247170894e-08,2.4604028956751577e-07,pr
23,3.810763935081514e-08,-4.944647287086294e-08,2.425916703863478e-07,pr
24,3.395698249799432e-08,-3.974617175598021e-08,2.5348809791787037e-07,pr
25,3.702635075729771e-08,-6.995151480665334e-08,2.51932108667633e-07,pr
26,3.840131313460226e-08,-8.181501113389972e-08,2.574933156105799e-07,pr
27,6.379924720723325e-08,-5.575269900712354e-08,2.5811780096292113e-07,pr
28,3.597120342188684e-08,-5.6188011518518227e-08,2.2522148214987648e-07,pr
29,-4.34103160370938e-10,-6.874617600969754e-08,2.58991947134822e-07,pr
30,4.8246172410990804e-08,-4.728167226175116e-08,2.562167745090832e-07,pr
31,6.752858821211806e-08,-4.771081769318744e-08,2.588671424761406e-07,pr
32,4.713154026562229e-08,-5.737517466273386e-08,2.5647966037277657e-07,pr
33,3.7583888914739154e-08,-6.725270255500153e-08,2.492324916578787e-07,pr
34,3.211409809309895e-08,-3.2674433872656774e-08,2.4633379917992147e-07,pr
35,3.940059353700339e-08,-5.383788989581036e-08,2.5295857083086966e-07,pr
36,3.235966872189285e-08,-5.7501310851750914e-08,2.532332018941068e-07,pr
37,4.864940432959856e-08,-5.0606680673016733e-08,2.5671911014833356e-07,pr
38,6.343065249639416e-08,-5.0553508213877665e-08,2.549035637589989e-07,pr
39,4.61090813435311e-08,-4.503513071596377e-08,2.569739411561874e-07,pr
40,4.47780731800441e-08,-4.6578316130663385e-08,2.591390850924639e-07,pr
41,3.0241818931776954e-08,-7.851203449561395e-08,2.477221487544126e-07,pr
42,8.177231355952447e-08,-2.6120242834973914e-08,2.471038572812557e-07,pr
43,2.8714151969468595e-08,-6.84664036684064e-08,2.565210931417299e-07,pr
44,2.7505054539067287e-08,-6.525859090015909e-08,2.3796862704102874e-07,pr
45,2.4612965040412222e-08,-5.702039185616948e-08,2.57490288179089e-07,pr
46,2.402335778429786e-08,-8.149789887287147e-08,2.547810313099361e-07,pr
47,2.8840408324357456e-08,-5.53467208341958e-08,2.561982002650381e-07,pr
48,4.80794201745328e-08,-6.138209312278038e-08,2.4870030419023083e-07,pr
49,3.218374874025784e-08,-5.4679254059901506e-08,2.5469887652516866e-07,pr
50,2.3098556740297768e-08,-6.313275814041437e-08,2.545057379672197e-07,pr
51,3.4226622877325014e-08,-5.7885589001940696e-08,2.572524314780613e-07,pr
52,4.143913478767499e-08,-3.97848249456865e-08,2.5531069110982353e-07,pr
53,5.6291785427026664e-08,-5.058070779029576e-08,2.430117237083443e-07,pr
54,4.189856041339838e-08,-6.282845373690342e-08,2.5558173279270087e-07,pr
55,5.026637877188934e-08,-3.644678197281745e-08,2.470567434445641e-07,pr
56,3.6237505041301546e-08,-3.7936547648739214e-08,2.526442430081972e-07,pr
57,2.524627067425958e-08,-6.626928772420965e-08,2.559283944277263e-07,pr
58,3.5146100868097354e-08,-7.106176130753975e-08,2.510505451227311e-07,pr
59,3.087385542036672e-08,-6.835105452920944e-08,2.5529599274851363e-07,pr
60,1.308573243367595e-08,-4.932217165910711e-08,2.4648540683538576e-07,pr
61,3.2648428408795286e-08,-5.208100728124358e-08,2.5801302996348796e-07,pr
62,1.973212364139768e-08,-6.659688651116337e-08,2.538460970802943e-07,pr
63,6.716749406048682e-08,-6.123690698598563e-08,2.5767785791306835e-07,pr
64,4.323502820862912e-08,-3.1819943085486994e-08,2.5184664936593003e-07,pr
65,3.708695251251836e-08,-4.9392735190517644e-08,2.4569520094052303e-07,pr
66,2.2947078762918845e-08,-8.138944244400587e-08,2.393740958168809e-07,pr
67,4.54437194333374e-08,-4.943627638329151e-08,2.496635968449414e-07,pr
68,5.738256276870162e-08,-3.235357051182641e-08,2.4531776465827453e-07,pr
69,2.5164619178239017e-08,-4.5938885298847e-08,2.5015343586316704e-07,pr
70,2.10980907497925e-08,-6.470943491640424e-08,2.5590735761875213e-07,pr
71,6.522612825815349e-08,-4.972429606055395e-08,2.5082414330078665e-07,pr
72,5.951633706858795e-08,-7.362009576560695e-08,2.5535230845191603e-07,pr
73,4.938251847695403e-08,-6.169409496141663e-08,2.4896339278999306e-07,pr
74,2.3697624227204125e-08,-5.972584562651415e-08,2.578213297776116e-07,pr
75,5.358401693892112e-08,-4.066138867331941e-08,2.353848542776654e-07,pr
76,4.7695460820235504e-08,-5.320269036464727e-08,2.5601362970758005e-07,pr
77,2.2245504367009672e-08,-4.5058439526958946e-08,2.5539256046372956e-07,pr
78,2.9796842621124947e-08,-5.845714478854945e-08,2.548409270807242e-07,pr
79,3.3624812496768324e-08,-6.792117251003287e-08,2.5647934785242383e-07,pr
80,3.6149519202054434e-08,-3.4617014685879333e-08,2.4715548429312467e-07,pr
81,5.253053094336931e-08,-5.25393967393864e-08,2.5222569925241343e-07,pr
82,4.263747021833709e-08,-6.775889224879283e-08,2.527449685794235e-07,pr
83,4.115083558262055e-08,-6.939148428072543e-08,2.582983974229766e-07,pr
84,4.5320388705239e-08,-5.4853937544892377e-08,2.5758900844031903e-07,pr
85,7.728118371159668e-08,-5.0488677859601695e-08,2.54571891216326e-07,pr
86,3.336465581806696e-08,-4.390482087357707e-08,2.490320841209886e-07,pr
87,2.743469623180525e-08,-6.140411242363303e-08,2.564713594321055e-07,pr
88,7.254719847037787e-08,-7.264904808272261e-08,2.5761802298289425e-07,pr
