day,mean,min,max,var
1,-0.9747976232574642,-3.1438401753691707,1.2339787570613554,uas
2,-1.0850683698107944,-3.4776417273403655,0.9139365565016879,uas
3,-1.0900389502477035,-3.7620896475976133,0.9245939744572016,uas
4,-1.0704691961862984,-3.1999126185657385,1.418547077378066,uas
5,-0.9121038348351348,-2.880380919812473,0.7486704210065721,uas
6,-1.0011193409449473,-3.011133898517515,0.8766347295136392,uas
7,-1.045811620087702,-3.1251414130739192,1.1614058248344947,uas
8,-0.903293140565051,-3.241396516590475,1.6140277628709412,uas
9,-1.117505760792718,-2.686307536274586,0.9340231660382605,uas
10,-1.2401851406539661,-3.2133531045392845,0.9040616197808795,uas
11,-1.2405904173006699,-3.1189222636322116,0.49941359255305917,uas
12,-1.2474955189841657,-3.0554489525890913,0.7824409424905542,uas
13,-1.3027883255530848,-2.935837650954974,0.3395591965104668,uas
14,-1.328756266897732,-2.8345736665083994,0.5070667624976899,uas
15,-1.2249513726563694,-3.1160278937336807,1.1751060065555927,uas
16,-0.9722295385451237,-3.1036182854779395,0.6991010448245616,uas
17,-0.8105784194425977,-2.764874108830875,1.3905907775708122,uas
18,-0.6339318810303585,-2.656983722660239,1.413740446992948,uas
19,-0.6670410115455332,-2.814184962301593,2.196916565128472,uas
20,-0.8845791143763458,-2.8843564334733793,1.5645222225773645,uas
21,-0.9516625434141339,-3.1607275097686234,1.3150651313694062,uas
22,-0.7858574348190708,-3.2811596199366386,1.5946200919908853,uas
23,-0.6447924656704286,-3.0648055629730706,1.5899955547686202,uas
24,-0.7551804656775868,-3.0354054185230144,1.740117600267203,uas
25,-0.9264713168140791,-2.662351258714594,1.8354096631460313,uas
26,-0.8743867975230352,-2.5204258621822735,1.5661648781173008,uas
27,-0.9059369236219617,-2.9016361096407697,1.2944703866698357,uas
28,-1.062964506331149,-2.41691535965505,1.0618003026558427,uas
29,-0.955893230554862,-3.01546722159839,1.3503683662802015,uas
30,-0.8044864837925466,-3.2655484583775083,1.3381245632394436,uas
31,-0.8472245845649538,-2.7892711086536845,1.1286229780186132,uas
32,-0.9414952832076866,-2.7789529289006873,1.1461113412293575,uas
33,-0.9824214450602224,-3.016091917203679,1.9821577697481585,uas
34,-0.9743479224319697,-3.037782930294459,1.4417819423756641,uas
35,-0.8178113802490249,-2.4829790046561473,1.394947461259997,uas
36,-0.8752035662264498,-3.0309138021676643,1.9314118337164796,uas
37,-0.875880350126515,-2.9936934512947984,2.0282481729388016,uas
38,-0.8997761204770395,-2.827715227423145,1.7150028085196447,uas
39,-0.8318141377634876,-4.4551885499728545,2.3026211735826445,uas
40,-0.6722756753532165,-3.0928703613077193,2.0163508823562566,uas
41,-0.6326439997433864,-3.0112096257866137,1.99617347195118,uas
42,-0.7130518850497327,-2.5925060625229666,1.5151355741827546,uas
43,-0.5609707888502354,-2.246537353163471,0.9283616595325452,uas
44,-0.4865359889284171,-2.633878758178091,2.991546536897419,uas
45,-0.5669365619034867,-2.809431382230713,1.9169581856818088,uas
46,-0.3935034706094202,-2.5240905959801547,2.1704464760477618,uas
47,-0.4571014627557656,-2.115862407286981,1.4269902555395941,uas
48,-0.5271515182455228,-2.874494332454394,1.5225561938491556,uas
49,-0.31122787553464637,-2.665899770121195,1.6732849748809981,uas
50,-0.3706987376439954,-2.921852468174544,1.5107189496323539,uas
51,-0.22293221782045877,-2.7198558370396517,1.5651031529784614,uas
52,-0.37541313818173555,-2.9150578239125178,1.582863322044819,uas
53,-0.4577400958884015,-2.7648856815900977,2.176785101873678,uas
54,-0.5120717747901928,-2.8724309016816103,1.7066358336830427,uas
55,-0.5335705786035891,-3.187842733381865,1.924626464316451,uas
56,-0.3163150929621133,-2.857573446990182,1.3222735236044987,uas
57,-0.15488228802561962,-2.7364066149346056,1.5748357137232727,uas
58,0.01782069233337922,-2.069366409577166,1.746266570050314,uas
59,0.0885957467302131,-2.527549574391813,2.2643846565171453,uas
60,0.29338015889060753,-2.63730059158211,1.7857780891991046,uas
61,0.24390843178710356,-2.4469635296765873,1.8725709606337668,uas
62,0.18706809496144283,-1.9606299162131116,2.126537905179339,uas
63,0.04679447525584991,-2.2408201800310374,2.525428182334366,uas
64,-0.06587742068218111,-2.2748059376466254,2.8437822708023415,uas
65,-0.05036987550380909,-2.3546684880390303,1.8568506399266982,uas
66,-0.06980990699470112,-1.7802389664164209,1.9662508821527838,uas
67,0.051120052791779245,-1.852498586136262,2.2534171117552018,uas
68,0.04311550991986415,-2.3277952860597875,2.712785843417996,uas
69,0.19643167583634114,-2.201105783901694,2.2035445988461095,uas
70,0.2617121517882379,-2.1210225808906946,2.4130606086653845,uas
71,0.20316990881621572,-1.683622147313365,2.0277361281621067,uas
72,0.29898483267539244,-2.117478849213311,2.199065653512248,uas
73,0.4128177286819128,-2.4477699926963314,2.0834419879900397,uas
74,0.5248961333890185,-1.5866858276544844,2.22252782047411,uas
75,0.3546334097617666,-2.3046854198222033,1.6860795362377545,uas
76,0.43993599316991705,-2.7405999963994745,1.6883248442482697,uas
77,0.536578675660731,-2.2146869027770095,1.6919346093519902,uas
78,0.7831254127601771,-1.2500352370010583,1.79610073501979,uas
79,0.7672548110350861,-1.72128257101193,2.370546193482803,uas
80,0.7281481161132012,-1.3199434697692787,2.3464062795152083,uas
81,0.7956924624531804,-1.0489686893491097,2.2383830062806704,uas
82,0.9625137658660567,-1.1185056940518323,2.9144873208918964,uas
83,0.9643820319862307,-1.866312980322423,2.2407581239181136,uas
84,0.9322868061649846,-1.6086098412440992,2.0986486430401636,uas
85,0.7297623780865945,-2.025545881787783,2.2604602653015666,uas
86,0.5985430038928905,-1.1479298327906964,2.3417617859691706,uas
87,0.6703254722317752,-1.2029763676044114,3.0071904951843256,uas
88,1.0634152505460244,-0.43385333619219585,3.2860442043903526,uas
89,1.2453770749936122,-0.7579997075412019,2.5752115746886672,uas
90,1.292234307746456,-2.206963939554072,2.741908615136519,uas
91,1.3709529732321781,-1.5573181269779448,2.503496029276212,uas
92,1.2129919146024823,-1.397680572730824,2.207034351560427,uas
93,1.0672944373662479,-0.7468438803422376,2.348739195996072,uas
94,0.9256965149974425,-0.705596880642403,2.1236130701882265,uas
95,0.7563333674741776,-0.7469343294995964,2.0909242167829203,uas
96,0.8760658654632958,-1.1264684812276577,2.2578327342818634,uas
