year,1,2,3,4,5,6,7,8,9,10,11,12
2021,33.5365136133927,24.773703059525005,30.289922389693423,31.915605626998804,37.26473783311732,62.29154923451688,117.1782174415447,105.54014328851723,111.94973495742349,125.71568253211706,94.05052191505415,47.803511314390164
2022,32.425262962693274,25.859107243949943,27.572418918174158,30.88677835572717,30.91281388185438,52.31626945532423,106.82092760161552,111.73294773411236,116.45513674311441,133.65369917832595,108.23118840123166,66.47518424557701
2023,34.178579382782054,26.32256474329904,31.98129931976305,32.0117465052611,33.78278279307499,43.458599002309974,102.32289660989157,101.08509434549586,120.11304074400815,137.05122101198708,106.18428590522149,63.82313181615081
2024,39.35809757899634,24.806683362159827,29.958107979390537,33.12055872362749,31.902191261143805,46.16421597800791,116.90365579206912,102.36441231397396,108.65904929315721,111.4012529235929,86.14157654957573,41.876383518397745
2025,29.61171461826261,24.2909867476185,30.107122811218137,30.721919418988982,45.3663178150827,52.48023458824475,110.67991949717747,115.16631161954899,114.02242775498101,128.41740777522853,98.50706730081075,54.25790643905604
2026,32.08025265458345,24.18006730541277,29.95686339612223,32.96280857307941,33.49110842390739,49.79706425542593,110.45758906063216,104.67073175946997,102.21855601365412,128.2137457313135,96.39577713767663,52.00781641095617
2027,32.49244316399056,23.05069411053728,28.805442599491847,32.74952435059276,35.24008366276758,57.70469462211227,107.82933891820328,118.27794202053092,119.13904025426984,132.64361897677395,95.51051940707343,52.50509684493176
2028,32.68382871605233,22.55259473682475,28.699564669670114,32.08930075829506,31.808104745060067,57.780322274742105,108.50597817988283,108.1910906521546,114.60979117809359,127.50258448171091,98.66569368280369,51.59608169578018
2029,30.67153934537357,22.417395038299155,30.07378935663342,31.005219601969007,32.03147823735802,61.14845069394909,110.50615259007945,106.98168154385056,106.64049168758673,122.00154190546763,93.81289438753683,48.48906546384431
2030,29.55910867981197,25.808413694371335,29.92172697366319,32.56310014231299,32.50290633564492,44.90257798008702,115.74619750477727,104.34383334933159,117.47511633086505,129.39955144638586,96.98167266764759,53.473296535509796
2031,31.763625223203803,24.3957043104228,31.956893667992173,32.57291695523552,32.317171538890825,66.81577372138022,115.58276799188681,111.05362825137576,128.0333419553894,144.78903259188053,114.2909275846704,64.17780669279135
2032,33.37103056593298,27.11168954212906,31.461734220463175,33.98772528682855,30.165029076100936,70.92160411830909,103.20462432602791,122.1039535303368,118.65659147756148,136.9827879676685,101.3527289730622,54.79683270071669
