year,1,2,3,4,5,6,7,8,9,10,11,12
1991,324.9497678826766,298.2247842222858,343.5825994089784,352.8825159338903,305.5131684363122,212.91127900273227,155.48858159637683,125.8497901533101,127.29675435948617,150.34059191415832,213.97678019777382,270.5700644378898
1992,315.1218305111866,354.31924193808317,324.248152486782,331.729725778529,305.71700637389375,216.06131993258418,136.2649676714415,121.04305705565214,146.7760335870953,144.35527608285494,187.85500244994648,282.44169435288995
1993,328.17541173706155,296.0334495018367,392.04305730065425,339.72372938729916,346.0192117606467,224.07084888568687,134.1576881474401,140.9201275230193,128.129286066572,153.3586172068304,199.63787279716394,273.76494720917003
1994,354.84559239096507,283.83140681353706,369.9394037932951,309.6312521068227,306.6954742695441,228.6433053470836,157.41443543505036,124.98678522565658,127.02145555549943,144.1027196058616,191.8932461569429,270.1885196149886
1995,322.89645441624305,268.27510078532515,384.0535630191274,333.08534119900315,319.17360264304824,212.76067213301016,120.72503322566888,142.06002081509826,138.20970667163857,147.45092701654005,191.21377057006134,264.41510691558636
1996,291.565081952547,334.45398751578654,396.8877980505665,361.21433071986917,341.3809233592188,260.52502364220726,181.4889328847504,154.7401566691006,146.14617123834785,168.24681456548063,205.6281657596888,267.8084259887389
1997,334.3776696095804,318.9887143448538,305.9450292398391,361.78300106839754,314.93472572391624,253.527949367503,172.30573278967438,127.20247673817863,141.2836098233014,159.04096597029704,190.88517026201208,279.03993348394096
1998,348.5097959564513,340.6951905246283,324.90520720334365,341.2383010662343,339.31624110961866,262.91817934337485,168.13096033490305,146.8779923424712,126.81070373083632,169.39893082216196,229.61565886921915,276.47078389451565
1999,282.7996609122021,312.4135388990305,325.2011360064037,313.512543331073,321.678970495971,210.63572184733397,137.5911378665198,130.16563025082837,134.12365560428904,149.89320039136507,227.43445665700736,296.4777494324971
2000,328.1459913905118,312.9967131768655,337.76334197843374,310.28131188921907,345.6226752182211,264.4308183309682,177.8560821994486,117.5983328722799,126.0096675842366,147.02094919629639,185.29960237643277,284.90830187806256
2001,303.11803062265045,340.4639945176769,354.1311354608424,307.9830122196018,369.6013384607998,222.00284020193257,163.260701534712,128.332074871431,128.5650090602057,153.4842912203746,193.14093697694804,277.8218311645288
2002,317.30865732133736,331.1565555637057,346.34305969159834,332.97233627758266,327.9804761142765,233.63366169915184,160.62306237000888,146.55513226157154,131.4101644529628,142.09812753371108,186.58681027103486,304.5636159284127
2003,329.6580719607602,342.8790201807866,406.4298189062988,365.406357525201,341.78258200965814,231.7784997757281,159.025126247613,141.00706017365417,144.79309698164224,168.79215012337016,201.44133939765533,273.2378173081408
2004,359.3059334375992,285.7015400803082,364.86838084460237,347.7153394875821,338.7962482323014,259.2983039339702,175.0224014096408,149.82085638344708,145.28899795216446,157.9263587458699,198.98914821510348,302.7195500594067
2005,341.27711142064777,328.746576547219,325.2674428094508,317.12840543453643,326.47036952289693,259.8525307580219,161.9808714014117,149.1569041710757,145.9464438044091,161.4497650203133,190.6195670013643,256.94957973246085
2006,320.1396942621707,300.2000908229533,354.3740607249314,346.43437155502943,328.0414383626364,232.14357915333014,144.3120987037731,139.6994415704059,138.80272833113438,157.88255050940492,203.30762011731127,262.2596738869713
2007,292.0125577008407,316.34002079339507,355.6759107194338,334.10765343809607,335.9623359356778,232.48713177961628,150.65392613808822,109.1224629535814,132.5265438089458,154.5146789453165,196.92235924734678,295.27595779048016
