year,1,2,3,4,5,6,7,8,9,10,11,12
1991,316.23470376755716,321.2372592168523,328.2361825399365,336.5873767959884,364.6857221241646,257.39653629030613,178.39963342909093,142.66494974809552,125.40279071439916,148.74448752966762,194.4995911793129,275.97686273414354
1992,290.535296454815,289.9587758081966,380.60403178332245,358.7758696558753,326.35762035804373,213.09212067590582,155.40623542951138,128.65716353721507,152.03363488821105,169.29316942267823,200.30178068996892,270.3895416911293
1993,321.7828588533232,299.3314741624204,349.51472535593643,340.22617800316243,310.6216547249369,239.6937289299005,148.76149125685137,132.69331976921177,138.16769072377204,160.1228300517741,186.04654982693916,268.15966407397616
1994,342.36131410874543,301.87659296203447,394.4777524321995,341.7063148200405,329.9907088083262,222.49336810850713,158.4145509346859,134.38461298464497,135.08426534436606,161.2307771818204,214.0482454957788,279.2912117682955
1995,329.08751046780856,326.3213957399116,377.2011849457278,328.0170786539079,332.94630452245576,281.87082145906936,195.52508013271705,152.39218477409574,132.00401221451594,155.18417279144003,182.44284379056705,259.0635710353732
1996,265.32347228837165,311.653297849336,352.10214605975915,329.8136473211465,339.998057330682,240.18185565285623,160.38991535648512,146.27216135003383,121.39207176498637,160.16294266587025,198.5987435614971,252.308718338733
1997,276.35991685651595,291.90532744286327,326.23091827562644,332.1463366631839,351.158971353772,252.99154200071,180.08672575316172,149.67685052559744,151.7119476465932,172.67637769579198,214.93026437807563,265.2615847934357
1998,353.73235974029063,309.4257550741886,368.5982099105051,317.19584094058894,324.9394849577517,277.3830122511248,153.86642946683406,138.80127703972968,129.66044922026347,162.86656510797795,222.74225465055713,318.9803131085832
1999,327.45437178602805,265.13253867562946,354.90065486263103,335.1496431452158,331.0597166614459,267.87774395933644,174.17655114927197,119.14379427792251,112.8876140114775,142.55340844222238,191.3166451939787,275.82283584190805
2000,298.01717437123705,294.00735744651865,366.67932966950684,336.8608845032114,351.1002717382923,253.08983169904198,147.71989051316,127.90669815551945,107.79681752164718,142.04356882769576,185.02352770171396,282.28081647261706
2001,312.5750463833276,335.36611972876256,365.41239853237914,340.00742673612535,341.9642186229517,218.97725677856624,182.05214008773584,136.916570589639,139.37814540095366,172.80744368819546,191.4358482291342,252.70251586008422
2002,262.16111101684425,262.56684456055507,334.3639128952694,367.07072969509557,341.04043036611046,259.942053297196,145.701930922098,133.14320616709352,162.3158164128344,166.60771962418175,211.75356609978792,286.7062152578801
2003,277.49140900321635,370.108090894836,367.3064367801354,357.5407550622347,292.9781080293232,222.96473861225118,134.67803834694567,137.80939640337147,126.40691685377371,175.72013878012316,212.7470108005417,263.82593210141596
2004,349.3867433281287,319.70796606058695,378.9504407084257,326.4763604658477,328.8409709639225,265.76152243157486,170.65556283770184,143.0333719813959,146.82075355120477,171.26940700615108,242.43305252015784,302.23002930489287
2005,307.4713038187264,335.50676735533193,324.4865259364017,344.520806098256,354.35702408031653,253.12810858828325,189.2618841262138,140.73179565078556,111.26394025977075,163.22715916482366,206.2569378657001,280.76119316774464
2006,342.734980482399,304.33187624754163,380.14407667503605,370.98193779754644,353.660343207198,268.5288804736512,168.55352376103548,136.43113850770078,136.86249513109072,140.60741139763775,249.6902401985154,287.4738282233637
2007,307.47886284211813,285.8859670606028,358.92130374206806,371.541903478292,381.2218868255269,291.0697590383383,196.5169939061245,167.13379642909405,149.93543895335154,163.5830664202249,199.02059910255795,290.32355453677997
2008,306.2378922512518,340.7839624403559,363.7331827516305,343.8927059200947,340.8003762867573,202.45851890886865,127.97601570664537,124.97359928058955,135.06769552510985,158.44170891323319,227.58031487227683,274.2100727629849
2009,351.9583369333943,330.15445775679746,352.9621970657789,311.49391757010574,350.32267309727615,255.11581442299024,190.71491259506882,128.86322665576773,138.1341537630721,168.2244059368133,215.45310545423737,272.8677381440752
2010,302.3110097837437,302.76717819875273,356.7725934689327,345.95993125094475,367.32396085517104,288.69696103900617,172.57422403933197,147.22575334702256,138.16604878863797,161.22657242876897,206.30365732932145,310.4461574801775
2011,299.45718104172573,318.4623005216312,368.5017525238831,372.8113587518809,351.2231043829547,268.35186270731197,199.57533428382595,141.90787584461864,144.18291994374815,175.8251147312641,223.69290759852578,315.4154071849954
2012,340.16835139618655,311.7918101007568,372.0031114103901,316.24838015693035,322.29559723768637,189.3079282371488,145.37806386250924,159.0684815911058,127.18259448806148,144.89880860192395,230.70910584606227,276.43173575875085
2013,345.95466677997064,323.0483563324459,368.74816926936023,347.43311799851665,323.3221005240906,249.79968747124286,167.53502104231617,146.21204756282958,152.8184751390012,161.06081571946234,183.1509757318683,259.79208858140674
2014,327.00313612102946,284.0767737255217,352.85597917164176,347.38109903477744,370.2945776847641,283.55140586708194,175.44560633504082,125.72348433626718,142.20701331404345,173.74403383481234,179.61637039267285,258.4662637854834
