year,1,2,3,4,5,6,7,8,9,10,11,12
2051,346.94105719370896,351.14789129473394,335.4463635668467,361.39492521409994,338.28907324879765,259.6397004434579,140.52434233553802,143.8176027855214,150.1985689943929,176.57789780601368,203.14190427846165,227.1312497707717
2052,330.6477434238954,313.14590131236974,329.9596057989469,388.62909298620957,320.7221246792426,262.1033725115774,173.5833124423165,162.8118957115803,168.22202441671251,174.61000006246078,215.84757918901707,320.219865358117
2053,342.77093665855847,290.9189017523535,391.9613175972892,352.2509288479176,364.9705868522991,286.77846875633173,182.6709144803048,134.65999643673385,133.16012886711448,202.24184298701186,229.66595973194615,329.9517788803805
2054,371.06829011774954,300.5470771028078,389.22559054327576,358.7455286900799,363.94228107387073,321.3449260056642,183.94492879921637,172.54059177969162,148.0001794387436,196.2075891627762,240.5281155985848,294.3979324591517
2055,302.69906716418586,339.44990279232815,390.97261814586733,433.5394569975958,344.15618750008923,268.1352637522534,195.12689001189847,166.33762719124738,150.30012361521608,178.70301411453468,207.7146315239618,305.81040309407473
2056,358.3218497030043,291.8184632758313,400.08244547079534,348.7616460727296,359.459175137003,268.64775969198917,182.76121254035635,130.12219638778907,149.03956957736585,180.5268769931912,212.79145635937087,326.6635247034101
2057,369.6445781520798,356.9987124593122,389.4217856096223,355.14000732345016,343.74304961396456,284.5107185510426,188.66779932417006,154.6449051098023,144.8300083448805,201.65773789004567,238.93068719908092,273.0970767881534
2058,353.59283668621157,342.3945678085589,335.8742443380829,351.06833058198464,367.98520724421115,301.26060873825355,186.01913077389966,172.3748137183722,163.08227209459972,189.36292861830216,250.29398253988805,299.8619442357483
2059,334.3909099036265,354.1682566598249,374.66384571671927,362.77137292101946,357.07138531448965,294.9474174204906,213.33647988315687,169.01674184310934,138.49386116808242,160.08001081027197,235.1054519846535,268.3193651635366
2060,306.2486268646393,296.8505611462113,373.92866782260893,406.08899479039866,330.73169395713325,253.132529103187,162.5232838819777,145.750129998712,142.57905544564855,195.7877073099697,230.55834919331278,279.5499974404562
2061,325.14354617411055,326.1271047982512,328.3924868532481,336.4878999400171,336.452048394698,314.9859924989358,163.08469776344504,122.19071927594523,148.0736665308275,186.05375288120516,207.4318092702349,296.05207870484963
2062,363.6758691129204,328.49303698109804,371.29013214598325,377.6037798993873,363.6109967949323,328.60767761165397,165.42348653717565,107.61781854491193,128.0665673283136,166.22481834431483,222.75228494712832,330.66664432472913
2063,375.97570036071306,351.21244930125886,362.8274324419928,346.0400633506129,377.2547021994818,285.6777854436575,182.7201270041814,148.07693328075644,147.06690168628595,194.10575862635034,217.6263375330898,260.75667574844346
2064,319.24795149497436,365.58840678183674,417.34443869033436,367.79967332999615,375.5558134833232,310.73129624014246,221.65021298014108,123.17939319114677,135.87454462827728,186.91081590282818,222.12533738269124,321.3592219065772
