year,1,2,3,4,5,6,7,8,9,10,11,12
1991,8.240874599147849e-07,1.51678764480599e-06,1.5393030198336033e-06,8.978676183152414e-07,0.11195980912909984,54.64530585471411,242.7479505994638,519.8358816703869,226.3415514945914,51.37899444848248,0.07933681034847274,1.4382503552573566e-06
1992,9.370482788475724e-07,8.420585833507981e-07,1.0982939899115892e-06,1.1702470704064025e-06,5.457368265033215,52.018328395872224,385.270311330662,507.8436184722221,385.04967891982017,119.56498489919099,2.403055325729419,8.166345491239237e-07
1993,1.0543419475040443e-06,1.1420602108152047e-06,2.590156102642435e-06,9.935851222721895e-07,0.7645860196984502,57.716901807479076,218.48530999569118,285.8363957119232,200.92102739339944,50.45402205681937,0.9728845004149828,1.6475985713340962e-06
1994,1.990729734027491e-06,1.77249135331127e-06,9.777307702231652e-07,1.5094480279472219e-06,1.9214924111142472e-06,45.05076360442762,234.99615025343928,459.7424050511556,301.5804760489247,80.92827112669933,1.3761628555711616e-06,2.0016861013465658e-06
1995,1.2030229214065553e-06,1.5278243158453997e-06,1.8097310062381669e-06,9.244961830033636e-07,4.795558481811974,133.81628697228183,406.99181525056434,487.96826622706,278.1563669804454,115.20212264118382,2.286068031633045,1.7434729443667426e-06
1996,3.0440787486193763e-07,8.295164138797869e-07,1.0934157428893036e-06,7.919220837994715e-07,1.4186462820629551e-06,23.201633174595656,88.90026538393543,303.2497638372836,220.7115738635358,30.884905118241676,1.992951644148811e-06,1.1191080768342352e-06
1997,1.822701299606898e-06,5.707709970885992e-07,8.906140171174098e-07,9.772274995293524e-07,3.893204956384482,13.982480151846385,213.03489755507482,274.8681175820803,226.98621677945627,127.48240072168089,0.9268802794109902,1.1338222555018801e-06
1998,8.601209244708009e-07,1.2170846798132194e-06,1.3444148386631318e-06,0.4260855293376171,0.17439501741733643,11.307880067824335,281.63288918073454,347.5154813375635,266.4514406466034,33.430149863812865,9.340908822529794,1.3676398055097128e-06
1999,1.1571917975366887e-06,1.1167291190891088e-06,1.6085378881046574e-06,1.3199501769141116e-06,8.446277070195372,112.07928204167598,312.73544070170647,390.66616501822676,360.9600266774703,69.73894752108839,2.8236652566416716,9.133985706481873e-07
2000,2.1565219116474097e-06,2.338134562187607e-07,1.6605456226949674e-06,1.1871640208509892e-06,2.8965315621277564e-06,23.301774095801683,136.44625438824573,250.46628012070136,439.29068737834365,98.0229530918247,1.5288647492169252e-06,1.2590285210076425e-06
2001,9.34510630532848e-07,2.0128653477634185e-06,9.725700118088074e-07,1.4505866566093396e-06,1.0110149809602623e-06,135.76961303315593,169.52663708736407,345.22385030966166,245.8269285610143,119.25753337795624,0.09170804408245628,7.309181309225892e-07
2002,7.349213256457269e-07,1.1176566023366332e-06,1.1849645483193478e-06,1.1184554043283464e-06,2.177639867992268e-06,66.78810090531393,201.07779110060906,348.9794885262999,313.5997947048116,46.2031942515208,1.9398931822860086e-06,1.249908306535506e-06
2003,1.3001481158903176e-06,1.1356095422028452e-06,8.342846313647036e-07,6.913804917482242e-07,2.5345868333971056,49.82184941637073,244.59762014586406,328.36896320352247,168.76571485173065,33.987464882643096,0.8887346820688314,2.0257118603220345e-06
2004,1.0615391692901514e-06,1.948306596417643e-06,1.6514623636528758e-06,2.4848661533908367e-06,9.174201477425354,9.434806610736297,186.02912580221468,260.3941180505116,320.29636950863284,60.27690221681101,8.458959124558199,1.5040844013675917e-06
2005,8.271117536412524e-07,1.2058429421267092e-06,2.34166391271498e-06,1.3857402022813651e-06,1.5316513022198748e-06,21.672328382184375,169.12337623668995,367.3902328641547,281.6250912305065,81.63507214098061,2.977669986708858e-06,2.0319992358270634e-06
2006,1.4410310365119511e-06,1.2784656907289142e-06,1.065929005022343e-06,1.2741066124842094e-06,2.062204211414756e-06,76.68743707203367,260.5140408953108,309.46593927126156,165.18407583395813,41.96080889649309,2.385456772737078e-06,3.2681705770121615e-07
2007,8.02599086550502e-07,3.4508520638978567e-07,5.320321036549893e-07,1.512348257129847e-06,1.7894294716246246e-06,43.15735921423264,168.70144308438813,288.24285665854717,298.6278030731001,31.645144353846543,1.1238450006517595,8.708444959767035e-07
2008,1.1364376889379996e-06,1.1315978322545616e-06,9.191561628521946e-07,1.7748005302866192e-06,6.655548065080825e-07,158.41403554909613,229.85065438393787,352.82636747134825,188.34605066252567,65.83147088109087,3.456367720977609,1.4575400569813095e-06
2009,2.2447341837421652e-07,-9.905913869959199e-09,3.861251309186547e-07,9.5993130058172e-07,1.3007075927739913e-06,48.30899325994602,227.2196546431472,424.12058151698085,268.60461424497106,88.09320836035594,0.09162579746055492,5.429032054818508e-07
2010,2.3817032380494097e-07,2.202740893164133e-06,8.421192398499898e-07,1.8013024669864633e-06,1.291461496669467,8.382487586734749,246.09848363276572,417.31560642796455,194.37786766294207,70.64670201603656,2.572238461490986e-06,6.458693797291091e-07
2011,9.962283094008649e-07,1.1062879591559084e-06,1.1739662310063838e-06,6.305031817662043e-07,1.1452873406433847e-06,8.76943526044393,163.13551943627138,362.47659607550514,225.70278145038256,91.4524802560505,1.3080697004251004e-06,1.07537822520776e-06
2012,8.818620772599165e-07,1.9309427444843377e-06,4.241165164288731e-07,-1.0033095413764475e-07,0.1128134675203255,87.88115114917188,235.06813959390115,326.1341729280478,255.90835293170153,80.59887231684537,1.6257749788752525e-06,2.009901116671198e-06
2013,1.3329984494894622e-06,2.456321375314953e-07,4.275832273932341e-07,1.148816543821846e-06,2.1267149712493962e-06,22.272472406841885,172.7798520899442,260.5120246864528,221.44664498509192,50.68565689232336,7.588585128085455,1.0722316739248786e-06
2014,1.3189237052555984e-06,5.002828394883037e-07,2.8286483501413105e-07,1.2748612583633703e-06,3.024691774400742e-06,9.528977218668837,236.2644881062142,391.31844147815224,242.22941929722973,132.06848161548047,5.54683889494972,1.709006777795944e-06
2015,1.1569718094339094e-06,1.6373457201558796e-07,1.4550899290019074e-06,2.0052601029185204e-06,30.995520833835073,49.53729952779471,152.20925747840516,302.93094126536045,196.10244792186927,56.18276633234881,0.2853083627574472,1.5708568164854546e-06
2016,8.538820118717971e-07,1.1013461241905688e-06,5.527657929099051e-07,1.3359068148012726e-06,1.5421334287220585e-06,3.5471031312029013,207.63945778434888,260.41550554457524,193.9664987466059,37.50427764093689,2.916352048631212e-06,1.2986761193603706e-06
2017,1.6880949839911284e-06,-3.100857902541178e-07,6.556393455825514e-07,8.102506469418478e-07,0.5501350462459407,4.868767514928295,253.12321571124474,338.3425786179407,220.8421693901105,65.34818814804373,1.8472055414628664e-06,1.2038985574742552e-06
2018,6.963543151725334e-07,1.4754786750254867e-06,3.4175176375104367e-07,1.5329233201553006e-06,2.1953300375227646e-06,42.58285096734051,312.10986658061813,340.8125704006825,166.64766852186034,49.82558540123833,2.7657339506925394e-06,9.045766330735466e-07
2019,5.34346327320809e-07,2.0153333874196863e-06,9.184083869278568e-07,1.7441921334091746e-06,7.637006664211107e-07,141.10879682123604,188.1708583859627,483.1153728128119,386.45709792468347,72.05334562355439,0.859292519085528,7.44326782028584e-07
2020,1.8174057423649922e-06,1.4697927279128566e-06,6.325398084393614e-07,1.0355030231148561e-06,2.1656828810192098e-06,160.44186438877472,233.7744071660472,677.784201643988,223.23146420237484,72.0919330349596,1.2691282745127181,2.1404178510140895e-06
