year,1,2,3,4,5,6,7,8,9,10,11,12
2051,0.001626498963862568,0.008449923274261644,0.0103816602253098,0.0008495476906228012,0.042493098764705514,21.8410751833487,73.26910102040577,184.12353211438727,295.0089897152193,71.91913858914803,4.497242209265035,0.24580706972162783
2052,1.1097377873517435e-05,0.01569429325031292,0.006713194640354514,0.4514821667377703,27.75072440194818,86.07606100007887,331.3133274630475,562.5618453076884,252.4378613133468,166.1228734581043,4.039923274109892,1.877151585968278
2053,3.1244167525704824e-07,0.26359484974533537,0.009946475782090331,0.6126400154387551,0.11158748418682936,73.78076933828505,64.90745022346627,259.7485141222771,365.77432282151165,117.58388921807236,3.055936034015528,1.684279716740781
2054,0.005348039930449132,0.07823016634198894,0.017370668865089565,-5.815902258685388e-07,0.02581189976787734,93.38240744956347,223.99515515143133,332.981304192508,345.19674089709764,117.99700187254462,18.7613311286643,0.06045030856746022
2055,0.08247903610615695,0.14020619687655053,0.6883375863379053,-3.9253512165068476e-07,20.42967715725041,86.15744424337264,234.62684528884432,493.46256573326747,140.69989932499072,119.6437237748923,18.9634401619079,0.122451226717558
2056,0.00038306390918027013,0.0019708751883309858,0.021246986111798684,0.008298685745088309,2.331600905862157,33.74366710124141,174.24131768059482,308.8644017700187,253.301470863696,163.60571093166993,1.8215669709541915,0.003998114135359105
2057,-5.927138091275122e-08,-2.3832139459844202e-07,0.0315591414528804,0.1659507663431846,5.224455052491885,42.12756605816523,153.31525812221935,242.4256704628356,234.03485372650385,104.48245973292524,37.208380559651815,0.013201782408238353
2058,0.0010832516178365175,0.04018237304843196,0.04040740053525751,4.9208962007277265e-05,3.3732720324686203,54.049939496761574,162.393160160928,638.5829747405567,261.0438621078795,70.9984227045371,18.454094032576176,0.11069277699372887
2059,0.1666406119125151,3.4067682856864726e-05,0.04268032659133266,2.7355987948048885e-05,0.6611074791706321,36.26417423728594,237.2399883230673,379.8348014790331,489.15369588287683,103.01230787319835,8.719166691202693,0.0490075406185131
2060,0.04859542329341272,0.03566300269368278,0.003763894620086053,4.108250025789822,11.181437562480522,97.11739538466739,259.55307743926505,447.32043707374453,254.1624392478453,71.77986802944865,4.1966405485533365,1.7424717210308478e-07
2061,0.246908142710504,0.013121229679893046,0.007219469054250583,0.0013159265695876995,2.1347491021229104,137.391367813816,181.78462531246046,1213.7096414900252,524.0345326301139,112.72649942413649,2.575285944463396,0.5464520082877569
2062,0.018609264927497208,0.02596952298108801,1.3117481085495134e-05,0.0013537237465186202,0.1361944572839764,4.159172446168462,104.70179240888476,291.33110257255476,305.3846280230335,113.25570923694063,15.713527289652063,3.9463827562391858
2063,0.018625519011413367,0.08733806453148953,3.347744242928746e-05,0.02686472034094218,0.012744251237869958,30.971832005821355,257.85460784837994,184.60805851257342,331.59841774117325,109.37627284089801,0.040718113499163995,0.02070244862725006
2064,0.19689035029218088,0.21874700734929806,0.01704987856091442,0.025889742073970167,32.87128833310303,150.26384700859123,217.28321157437682,272.94841883941984,272.619820001038,101.35455168756073,1.2427356703843637,0.03032581809112861
2065,0.014514207879578132,-4.715280878276432e-07,6.34079980147915e-05,2.3775537084208347e-05,0.004786137316077709,67.9107711643761,81.8540197170633,260.2810215941365,387.191233606736,101.8164655381315,8.917839434760022,5.742670387968044e-07
2066,0.07077182095633135,1.889179511143234e-05,2.1932578858220196e-05,-5.713203473075468e-07,0.00634868780390054,66.79591496183313,107.16790182195916,122.71477933289987,83.36694483215527,84.85280481180375,3.455465415126007,0.0027889322042495552
2067,0.1212248277419723,0.09311030237348639,-8.43695219240289e-07,3.7506781754686616e-05,9.999896347947185,14.221858287071669,157.6392763499616,346.2222596985592,165.19702129060835,98.22055318319374,1.1475327696119262,4.87529120579826e-07
2068,0.0027325216984519806,0.07548862963308499,0.007982504810585295,0.3855618435524329,0.19854782785231243,132.3660263273047,373.60854575929335,475.6444249328182,249.63669374906962,189.416691557791,17.336114603964543,2.0269373692246337
2069,0.1246084518291333,-1.970597285300935e-07,0.027350762293924726,0.015548045283858624,0.002567358196484638,13.853891385337397,221.82748552090928,347.11333407585596,358.7569470962339,71.72815427692873,27.840849706623512,0.1110646222851208
2070,0.07504016538697389,1.569335388335894,0.00606373124932384,0.010042742213828773,0.9464640966098647,52.64422132532758,262.31833231098466,398.3606664030798,170.3695397761466,99.53723396720972,9.105868323909142,11.490687615645859
2071,1.1018728931376602e-06,4.445042132536619e-05,0.058153780144263124,0.007301406143502703,3.5771516075075036,227.66473762148948,252.03135337223188,452.17650263568606,356.82724047919913,91.30161593946508,35.931514290471284,0.6893941151225986
2072,-8.548991995446529e-08,0.08291952183541744,0.02094761991749937,0.9690327741415257,13.203922384662517,154.22472853231275,423.34380618311656,454.94056332349487,340.480204017685,132.44811392757373,42.57190870342822,0.09046861026811104
2073,0.6302095861331327,1.5102462380784336,-5.455293166918125e-07,4.612561163548916e-06,10.310071585824767,124.13261024091027,188.99861154988017,321.85323742002765,250.07787326664698,95.5806893666046,26.49474119566343,0.0891446772898682
2074,0.42282029632163465,6.234146541318652e-08,0.04899664171992238,0.0009744224201299778,0.041541618823229515,38.94198663412133,155.1546230513576,471.54220757553486,195.41816743729387,167.97891037042308,3.787964833770734,0.171550119405611
2075,5.815180010513802e-07,0.008165568748928409,0.009610941567900216,0.14380280392217884,0.9385471736498201,87.06743450455923,255.52880507505668,448.15002243024094,234.74433780807334,90.33627521353577,2.149397566632758,0.30643534852611387
2076,-3.1666959665634757e-07,0.05005320125882738,3.568624902119035e-05,0.15085957757878465,0.0882583308869869,24.868996438734833,320.0635292971839,222.08706889761757,274.32744897790695,28.95711234954829,8.657170886845682,1.6190926592163007e-06
2077,0.47450600990142794,-4.924073391851821e-07,5.3991073151393436e-05,0.04011672317497879,0.03055558885878673,44.577618386260546,41.33249235701087,164.5265853527253,299.70981318248784,46.140328580291936,14.150025109446004,99.46045369469262
2078,0.2036777409481951,0.36948004370072357,0.16241699645723431,0.00260547787527525,1.687018228007952,37.208864820320464,278.2245616087082,455.3775286593883,198.92717627280047,165.51387341305553,17.649339064947448,-3.5522613892371373e-07
2079,0.15918370978172156,0.014861079987660827,2.7376781290140348e-05,0.023497587559698777,0.7807552349048682,21.837612981969972,290.15273282739815,246.08633228359415,227.5721387071606,85.22163152519714,0.3638154569424551,0.07046676789623856
2080,0.004776901379237291,-4.5054297416163067e-07,-8.723867183675702e-07,6.237376098240184e-05,0.407143266736221,94.47893381882268,206.6665199613496,381.69039311079496,182.26415957185463,21.9558325665399,1.0384732128651113,0.10041495961091836
