year,1,2,3,4,5,6,7,8,9,10,11,12
2051,3.587084907060247,3.864445738834245,3.5855770869159262,3.9742264519563753,3.909814757894076,3.9603105088129578,3.9360222740463677,3.5863635381951546,2.9224431874101686,2.624673956605381,3.154946411732847,3.1214210244043703
2052,4.009101559667197,3.6778808963670597,3.874825306927865,4.0227751294577425,4.189293362227953,4.673190515478462,4.17761044186961,3.740432326349037,3.594955010946117,2.9686650904923892,2.8813255486274993,3.2599664491107707
2053,4.510207799993511,4.157882888183917,4.168248231500765,4.186082632552604,4.387997587210993,4.788106703962452,4.004716528428,3.703485974298652,3.4484028169949843,3.5971910680809804,2.8473224546903824,3.9429682422072383
2054,3.5938295876895614,3.50248248073893,4.125971986124714,3.9113203319340912,4.382166333873976,4.583996830866123,3.9198252172385004,3.711815330488074,2.8704078983932555,2.8622086445764796,2.7044050783261286,3.862733858231332
2055,3.702766204511379,3.83177108976838,4.403902445995331,3.957651182928896,3.8632794588700916,4.521063196205779,3.982905858261085,3.730202225642492,2.6240673721181156,2.9905329786102204,2.947012107999329,3.4115000666898023
2056,3.908748840687274,4.071841712514983,4.211142675199199,3.9196318103875294,3.976217110448107,4.385531289458424,3.9533303555472554,3.4367812588053703,3.1124473887299713,3.0477896200544987,2.9673261577079155,3.8335939219232573
2057,3.063780706095094,3.9717301727724297,4.163524333139239,4.3882315499841065,4.390591740426665,4.5903902162599355,4.244239880518357,3.717061281451214,3.1495310574398045,2.8231242894803583,2.9035215294075694,3.469132297655846
2058,4.148342504233053,3.475831568835884,3.7740978585243568,4.312676486043432,4.444309474333734,4.589609468732479,4.184037310619914,3.6757905816648324,3.091379554618322,2.5196089765638607,2.906923148329024,3.549997332358198
2059,3.9134181377078083,3.769688536538151,4.525860999573135,3.8532474785278614,4.195259456631181,4.3071258189427,4.088729428213416,3.8911965344694237,3.176909866309531,3.471525007705626,3.3130751702954115,3.67495404233758
2060,4.2201540287919626,4.1157596564455075,4.268251813758106,3.743845943164446,4.269735071156432,3.6607920829554823,3.697320556298323,3.9158792027326643,3.0352527953895065,3.3327053691699353,3.3802295874163986,3.9219643622452045
2061,3.7909893891142272,3.9714804543908193,3.8310204105710186,3.832302669985196,4.123033902393522,4.45198353355586,3.5775866666431138,3.6671781976984668,3.2445845413363177,3.083225097740284,3.393649852462652,3.9805995251397963
2062,3.83812350637776,4.203589549077168,3.5100956280602,4.26944019514797,4.024245946925157,3.490038255630268,3.445148232317398,3.7748948663755013,2.9850434119845652,3.072450712819964,3.045862449342388,3.561216930881951
2063,4.1642409103917295,3.8614898325363427,4.268307748072766,4.302404687727307,4.5085721728185195,3.960191029204861,3.8957126041564205,3.57961515835992,3.6290786401360453,3.00938022231625,2.8882154120120114,3.839301840699591
2064,3.9308036861193782,3.8910157467690003,3.7903299046026064,4.303940873234897,4.484355774832095,4.511503447838979,4.157994454998057,3.8754958677797138,2.8296439038163888,2.8305589678777587,3.1745170660990474,3.484006122861749
2065,3.8587732952518907,4.021845132363856,4.220500165507243,4.498214368083123,4.514909011924443,4.902661920298619,3.8421813223726184,3.591849424164618,3.1239166543337658,2.6386994145329994,2.742564739104806,3.2641010770648116
2066,3.6812517812181245,3.3185790410551665,3.7426872007120977,3.8451018095904894,4.581834914410169,4.644353415610274,4.583647789777716,3.7692359073999984,3.1114124419331333,2.7043023471705676,2.6732439218805144,3.3100588042070065
2067,3.9638441310960735,4.198861528534587,4.549420021206966,3.9372265925788685,4.383200313758595,4.7061180201654205,4.375771022235092,4.027980414900682,3.6103316690142773,3.0661826692711713,2.9213601115266754,3.7956434458895982
2068,3.7557984397692246,4.066180968299099,4.508341763224491,3.7452223770102946,4.307194937830153,4.640781393518045,4.064310593613149,3.6602125417176348,3.433524163424413,2.862999682429989,3.218699251833889,3.295062136376983
2069,3.904496497596314,4.490999177912674,4.080894635403463,4.2721229308990765,4.406543711913134,4.589311052821092,4.078116118448797,4.079552905454205,3.1928021044166743,3.0087755724059684,2.7810899084656224,3.5881094561962747
2070,4.411882036935721,3.6858725980861893,4.011083242584692,4.155736342370645,4.545468764686546,4.5325813208856705,4.200807417242196,3.525737979013291,3.2210608385550707,3.220737241763733,3.292674241323363,3.4770339434403135
2071,4.045586032506185,4.112127968098709,3.9499619631942324,3.8911955315586906,3.99869521531445,4.082782403936622,4.021358357415962,3.589339611725618,3.0920631424876066,2.7374289422970945,3.068922661033623,3.3962001730903255
2072,3.4690295064034884,3.5155722960525426,3.878528044091218,3.992074404388879,4.3613029274653705,4.70662495653238,4.598791542238323,3.9889941503749053,3.128654074029369,3.317464639992724,2.4953851808517884,3.4959202373961915
2073,3.30637340000818,3.947016214995608,3.931579174067097,3.8616110351662956,4.295251037924735,4.774393664678159,4.747873261361501,3.8728181788931604,3.127035744358082,3.233542392598693,3.1777201158670803,3.054607773655079
2074,3.3507595852178516,4.017979300342486,3.9398550572714326,4.238119859775154,4.355960162856121,4.782593225877876,4.195048913968273,3.7155621973980586,3.0835363386126544,3.2383411361168486,2.8361840177534074,3.9217012126997974
2075,3.7184306060938948,4.006374271456658,3.9136848149922945,4.021010082747049,4.004527203178664,4.6377211481311225,4.507671117662243,3.795175417456975,3.2498395492170045,2.728035071075082,2.9250240394377722,3.2462191141908177
2076,3.7041438980141,4.197786456701583,4.651247674104815,3.915361424357171,4.517559091678043,4.769161350011441,4.376808489200836,3.821900808897985,3.3311132258667215,3.192876145006945,2.913522438085397,3.832574174946749
2077,3.7683054561805718,4.093492861721311,3.982003794882506,4.23616306184011,3.854391566708185,4.03887430044687,3.584583318764641,3.860436375063418,3.426916775143547,2.7173596558818383,2.85606021258396,3.3963070624676384
