year,1,2,3,4,5,6,7,8,9,10,11,12
2051,36.23920008760747,38.51765972816571,39.14357557506656,38.979805612742574,39.10054277784034,38.00886540274914,33.18731343801692,30.309863954789254,30.4977102133013,32.47059807005369,34.63421243776257,34.082118500615024
2052,35.328119488045935,37.687516820211805,39.30466351666149,38.71477030606042,39.51022630324822,37.20694372144858,31.527526838563368,29.816844743141367,30.979090280180444,31.43716249972045,34.11392029723699,34.57920374288555
2053,35.067360120389495,35.88445681143262,38.597083931412136,38.54268631001956,37.02662143982056,35.96368067396839,31.250400890392832,29.828289013208934,30.45799116354342,31.5026698335171,34.37707434232587,33.58086293661967
2054,35.18261775695426,36.978662377403296,38.554685396559265,38.95104797688586,39.11466655458318,36.629083519083984,31.798210413062524,29.359418684718204,30.726474159151774,31.290154064903515,33.90862238543444,35.16247158664356
2055,35.9349829745997,38.49673058179992,40.32667751959548,39.204729688117226,39.095500040978884,37.885714418176256,31.487674871516592,29.298592450109318,30.90418587522383,32.79512983533413,35.331907831182704,35.09600229544457
2056,34.1457656929326,37.87216027115362,39.25600203639174,38.689809797890845,38.03687387328889,36.289014399421426,31.250419278985035,29.095529845126364,30.24339464465045,32.07437451590932,34.446158189960556,35.12933859542408
2057,35.39715440549456,37.648576096707636,39.6741780783038,39.41443671875565,38.1693047797309,36.29315225623739,32.63408014505513,29.444933843499424,29.8138862591987,30.75459441268357,34.00140804618732,34.02480533779497
2058,34.6973682978267,37.28234375234195,38.93655238277884,39.047461902916865,38.71219480364183,34.62294694259365,31.259463872567196,29.9324727066504,30.5880876560595,31.945018570713845,34.7599096743663,34.697148158469346
2059,34.93240025624562,36.999244404168955,39.92540790385607,38.879060219087734,38.83610030949985,36.43606552349345,32.571123806335464,31.136012967977393,31.026432457191046,33.46276950385926,35.644202423755786,35.68581201273759
2060,36.05458885571925,37.59402580807903,39.98573128789434,39.2157955834275,38.89020916929391,37.65790721463691,33.82463356073938,31.058000534104636,30.779769525755984,31.12229792351839,34.459661598940485,35.47403153925167
2061,36.511339696917815,36.9877644590636,40.29259502193302,39.44997754677116,39.4336121798706,37.276196358530065,32.31161874568933,31.091474556031905,30.665551082971646,31.898953219363985,34.38320769428606,35.61510290072296
2062,35.45558266309978,37.51835411962794,39.16162961946339,40.180036020002476,39.212530703238805,37.377514594682935,32.576657505582986,29.344467206682317,30.338993939187148,32.511037621274205,34.48846243897992,34.76700644450036
2063,34.359709875815874,38.095564859787665,39.59902335234093,38.93411645911591,38.79250959730552,38.29735602245669,32.67702335285759,29.150633542224043,29.980222719256126,30.802153721235747,33.49745114982059,34.81045197100147
2064,34.00961551862139,37.5668219515754,38.98727412856702,39.42560983736232,38.643579513599505,37.99221570473476,33.30744540300949,31.177776095684443,30.722679242797298,31.290538299633607,33.47159812709989,35.01122508913254
