year,1,2,3,4,5,6,7,8,9,10,11,12
2021,21.444898649307017,21.6345845227201,22.226090349321147,23.620995221307506,24.16254854119172,25.865137986162164,25.351557599606412,24.746937970047398,25.051607102141126,25.58860866776162,23.641624803114652,19.317081132882354
2022,20.292015231315563,20.441588094410758,22.252347111477565,24.717671983864037,24.521246899629404,24.97978518636909,24.60015640489419,24.331689843373876,24.767946291822916,24.651992028157693,22.997337105514752,20.974322933795158
2023,21.069058683786317,21.708181913713137,23.27687814078593,24.09838237044912,25.240385786437784,25.570233333292606,24.229424031271755,24.214307807409348,24.116595824800164,24.315743487005737,22.526529561490477,19.984653495571113
2024,20.31414439554003,19.86288042678756,22.002519197708217,23.389031238561977,24.427878208104246,25.398236092923,24.277110543034713,24.461448346044445,24.436690736834734,24.782267701513543,22.043518911657788,22.963982203500663
2025,20.037063078220253,20.775854473910556,22.558844050465538,23.524434453062693,25.153732277407023,26.09563158990235,24.907446346837347,24.115930156775185,24.318074665726986,24.880295152325562,22.85620260173946,20.094613557817308
2026,21.731665578414937,21.57007366189433,22.58571412227661,23.56585440263813,24.4871242312765,24.63142463060638,25.464323262557848,24.709799645686847,25.329463183422156,25.593983954623983,23.40218277063453,20.505389321187657
2027,19.736777068797796,20.88009354835186,21.962846937839775,23.68646954501104,23.754552029727922,25.330013134282794,24.92386210067694,24.11378821918927,24.149515726670092,24.79898230612369,22.93822266341331,20.240897931742158
2028,19.37725734700072,19.885973827070956,21.176460360092857,23.282908802903368,25.409916338082052,25.991847961767142,24.842391279293842,24.247877423465706,24.202950362220985,24.676644348703412,23.563735426589183,20.092078677782506
2029,19.371083219163133,20.074786160709987,20.81596486213543,23.149981040266184,24.70872658784517,25.457808947892847,24.750291570441494,24.169695667007627,24.352854991060894,24.932433364084503,23.698750178449952,21.320937882456175
2030,18.619010163192414,20.307326919804023,20.87349925302552,23.48766443868185,23.342261224522638,25.12765547244555,24.48932608789346,24.45337023215062,24.195667861830508,24.677710060568785,22.388624176403333,19.836553792716586
2031,18.32425260049876,19.205148354800254,21.527121428277965,23.14156810627689,24.534006691181137,25.630459320539146,24.162312493730333,24.079127305755815,24.030053117772358,24.31820657369398,21.842503020974462,18.97896146639659
2032,18.723051435531403,20.400237385294012,22.589534067814593,23.249816756726297,24.961303856807056,25.104944485313176,24.63986263668194,24.229125620372894,24.194898202943143,25.101449047396606,23.426429759168343,19.414502435521438
2033,19.259289181002096,20.909892353723478,21.852125490997643,22.639413952318105,23.41850509555278,23.726953722992175,25.702334562117517,24.819547896749462,25.301314288057267,25.347516855974355,22.671544919650866,20.301667290985115
2034,21.582903914048096,21.522138667561048,22.83266623589934,23.000478458879922,23.33864250472346,26.158085918482946,25.756114175802328,25.111208450046984,24.677278355195188,25.198790551674207,22.96187687954735,20.844331355754438
2035,19.082944849495647,19.943744877982937,22.268344951038056,23.745641615915044,24.931015053474983,25.866658742071092,24.8625878289207,24.06014273149791,24.005001661755077,24.872811855660235,22.94271083846553,20.523533280880166
2036,18.908168519659775,20.735498805794503,21.541924063009102,23.226378600278558,24.159933140471864,25.444381533327597,24.384433324737344,24.026823287088597,23.53649644841011,24.892751817525088,22.70226240991322,19.156911827897243
2037,19.58448496961295,20.219379831441397,22.993765315915102,23.32274991001829,24.26644445204342,25.943750432571804,24.726274821233442,24.343548402965077,24.58540594844358,24.887752116078435,21.617908388091394,20.282777451335296
2038,18.17934974472283,22.35166857053274,22.02742260265587,23.38903298950706,24.318457646261955,25.76219214852487,25.695126583065004,25.060458269917326,24.769920040276226,24.750703271882713,23.960757120615497,21.98083592274
2039,21.555674962933182,21.60955978706732,23.2475812779286,24.588016173949516,24.43446784556387,24.66204490497976,25.14442368278666,24.473693076857202,24.637907510004556,24.958482735452662,23.755069431227174,21.065341834668832
2040,19.986381924552887,21.075503693955728,22.948902691620123,22.770735795660194,25.05313535004327,26.19779741552854,25.363082485105664,24.71979935275444,24.74997152235593,25.619023024260496,22.33802170982418,20.172260853180575
2041,20.263865612648523,20.67285810890582,22.406331803240388,23.861163412550507,25.22710529932672,26.27300970244516,25.490329277657587,24.29309356548239,24.24447706931177,24.49128393118443,23.75174970308003,19.95705931000075
2042,19.21424224083614,21.263606773527023,23.141490674357126,23.547642516594525,24.483008184521932,25.347391702027767,25.543165907411286,24.9395933663816,25.185462583226446,25.54777438075714,23.244348873690445,20.702647073793415
2043,20.747628456676743,22.339229345846576,24.714183887227822,25.381867351420034,25.54691046018933,25.697955272428793,26.39911230317427,25.22167619197732,25.46926376823961,25.560953533933255,22.52353587535835,19.601425046741596
2044,20.000287276330557,21.173491092951714,21.978062713912017,24.472710047425792,25.837775001517773,26.704532271040975,25.018955834814406,24.784908382083838,24.773167015708815,25.257068705188637,22.841194749957076,21.343887352167634
2045,19.441885680278766,20.329715704476484,22.72853488121762,23.185792186849834,25.316336286341887,26.385134140257616,24.999755503500772,24.32986995348749,24.351781038657077,24.906507485640333,23.79969348647857,19.88597956213362
2046,19.92448322985922,20.923912806793705,21.488377167427416,24.893371284042075,25.31474996800077,26.41359184056616,25.402231583948748,24.680170500830773,24.98279491693793,25.68668780357761,24.97905637632504,20.70686875147352
2047,18.92727281381618,20.381878843329282,22.039978117776776,23.15478934454903,25.067165886766908,25.99335767410219,25.41412145929549,24.6961228122481,24.97530881916722,25.33810064355429,23.292084220142026,20.078436050943736
2048,21.4342059581295,22.384552025152257,24.131771186038208,25.408364602095318,26.775658300556163,26.757940982362605,25.30532127010016,24.6950025260948,24.59616113330748,25.599083107734348,23.87138075651637,21.290744125263355
2049,19.660518857610015,21.50322667539076,22.264060025133368,23.084009273340637,24.708263087185777,25.680355386834425,25.363550313518697,24.491166132604167,24.773158701731276,25.923418360945536,24.40539454877754,22.637181467200147
2050,20.57319194436397,20.828095738535662,22.31428654826994,24.281389548423803,25.481718675318607,26.942763009856876,25.943799686798037,25.286078461501212,25.292007450263018,25.92776694521888,24.913857645797677,21.667331255979086
