year,1,2,3,4,5,6,7,8,9,10,11,12
2051,21.802332088973557,21.985246702399056,22.57663351723736,24.8987932821815,26.46429604266637,26.801456266232883,26.568977746517774,25.867207116716354,26.287079869603858,26.81367260053674,25.357251462594924,22.6758563424878
2052,21.688001688437613,22.7705605880679,23.633390382177637,24.32818063047063,25.645804452864134,26.202691360571446,26.463855878663175,26.014886335189587,25.844103682068212,26.38622120049834,23.922491494112023,22.1885704985315
2053,22.93361465415978,21.68531153697214,24.429525027361013,24.25801090105877,26.078962368226218,26.203164752375354,25.937113566748277,25.440074830476746,25.858380349107204,26.047082129148755,24.007462945847692,23.45679087955222
2054,21.036534516787473,21.226562055636926,23.848271899169067,25.23545807760831,25.943075219164204,26.840339409648436,26.208994919174497,25.562595672952312,25.882340741305775,26.49450836577956,24.12521483914095,22.641452607085633
2055,21.087129410608572,22.07392084727126,24.330918099715113,25.33896347157066,26.2435737976459,27.044964761530537,26.397453036294234,25.50735078232696,26.50198885569666,26.95415270601135,24.327041035367433,23.10774890086013
2056,21.356979730433885,22.097425207862067,24.19939173536894,25.835575517135336,26.352189972846244,28.047665506975623,26.766884340904337,26.5277891414978,26.714694840302663,26.97165929796063,24.476301026060288,22.565023396333505
2057,21.10326804738116,21.479216258655462,23.65877799894609,25.235025042709445,26.817210612408676,27.46882155293891,26.76970832325716,25.949654293008344,26.243916656657827,26.26824152311593,24.107896877567292,22.9638512381655
2058,21.22196774229938,21.41729727474627,22.849525670325153,24.666258212234272,25.728775465947383,27.041533203999226,26.757287060328366,26.104806382077854,26.26062826622329,26.350033550786694,25.118153047595726,23.78839107734032
2059,21.4494075098684,22.10663193383339,24.710160007666115,23.955501531618662,25.434709778628147,27.425636278051616,26.5972961950935,26.20965377600641,26.43934409611226,26.572693626498666,25.74546016143599,23.66322741220007
2060,22.21168468490672,22.63886920544366,24.654136817525263,25.989354412691007,26.750844912519504,27.79526392043346,27.30297750782616,26.737356155516775,27.128435116215353,26.67763139687925,26.079995287617997,23.82613150584279
2061,21.559532779202932,22.43726124683826,24.171178620337194,24.474699832845562,25.65611963636579,27.180120339084844,27.02910038871408,26.385888278729816,26.11165963819779,26.616354205761045,26.54763669960086,25.55360432748093
2062,21.181180457994998,23.155688109894133,22.673527449675426,25.401949490883553,27.085525475126225,27.85540794229502,26.536227365241782,26.301932141316836,26.854806808217447,26.543079407847348,23.896172871204836,22.082407722879456
2063,22.2871639749927,22.43977343407346,24.217137218110114,27.04640763228274,26.55631270145945,27.8608417687799,27.27917387100554,26.669248780947342,26.593802126271996,26.579674361742736,24.34170734607203,22.580384656177575
2064,21.34665785241326,22.305051585931146,23.524379426714322,25.69233269295646,26.684748480149675,27.55821545425469,27.305806984750657,26.51107816038507,26.97317660367813,26.981155082938127,25.24985807163091,23.333788810498366
2065,22.518971473445426,23.526425856440532,24.186619887916805,25.729361439565448,26.113227818337162,27.358682316484206,27.214011050281762,26.653776921636922,26.927817983317247,27.03008127605442,24.90821372674077,22.271485348235718
2066,22.10282070452734,21.378006168934256,24.24062320129365,25.38220235107361,26.803375697725127,27.679377380915493,27.622103517633295,26.567153175192466,26.789951627804054,27.199168319381442,25.194123954239842,22.405367135532245
2067,22.281708185884415,23.73634925466714,26.33815267066305,26.40396396261133,26.286534051077993,27.813277853226648,27.517943974535815,27.090853671933623,26.957045116550958,26.86816774893754,25.599599345749603,22.810727016264334
2068,21.474638252196268,23.63391226962401,25.67096090847782,25.18524596327655,26.961357774598927,27.964117183293784,27.242784329211574,27.274264364979746,27.345826569380936,27.487754114088133,26.14884751974415,22.923530920461037
2069,22.236628105169252,24.659128005396326,25.284832869020097,26.848144556134606,27.227177635484534,28.61623411373698,27.678667502693088,27.491502995712445,27.2891684591916,27.39518390462274,25.161446063426133,23.374213762515293
2070,22.91086069364267,22.722954845634327,24.96134201082961,26.73924937350081,27.503204584107362,28.6442888990048,28.074225410734552,27.547607911212943,27.763621399690937,27.76608048726264,26.07314585338992,23.870273363378637
2071,22.0593016353463,22.646115188016243,24.53214506983193,26.862399940410317,27.765657830905045,28.191169278763944,27.647510265839728,27.254655018739594,27.347279494247015,27.504999164591826,26.28956477764497,23.248940884952727
2072,22.29435412743335,22.185385128829832,24.561189426579812,26.996610949068806,27.463010044611107,28.463299215670194,28.351605344402063,27.368074333836972,28.08278930353804,28.02016839615182,23.669641883298812,24.632301029923646
2073,22.785751304456653,24.010347483750525,25.484656754845254,26.405956913975533,27.475178061022284,28.309730523241385,27.779910847399385,27.050800371724986,27.662351288809173,28.093527788338136,26.529412917534824,23.57056132635411
2074,22.90971823617638,23.354379513459957,23.378848223826314,26.460121582997726,27.75055791173119,28.289968179635927,28.48560793984954,27.747612134217498,27.994235956002477,28.021110441094365,25.281373193084235,23.938900921405313
2075,23.100855597860544,23.915995212226736,25.3949328818245,26.017997843282487,27.820652160166567,28.45656246451922,28.54701541380151,28.147211910989157,28.378998481335067,28.02686592325826,25.809699325202306,24.17845745494011
2076,23.125630435158016,24.31381041778018,26.604018450109507,26.652475620723905,27.811901710826366,28.480338691334655,28.14218249447456,27.88945529409209,28.18216227888208,27.857360273427247,24.989535044982212,23.80131295354185
2077,22.871667091518447,23.609117943584067,24.863503618285787,26.74431888266189,27.65423850046496,28.609566808824376,28.149682684792555,27.55968318474757,27.91122157977411,28.261670100086395,25.522053742562736,22.39778492631244
2078,22.319669764496584,21.192819655469098,25.615725731802033,27.287141510143822,27.245739840318492,28.374574541670118,28.254546348961775,27.785222402191177,27.877227980446072,28.339746379515347,26.383770383157348,22.879361155912093
2079,22.61274907441232,22.892273577050986,25.578455434809918,27.45942512556027,28.80835416721381,29.340541578038533,29.21441413165632,28.41399072689973,28.588139985443046,28.530657132929008,26.99131605919685,24.337255342336494
2080,23.729489874723658,23.555725069327853,25.63712513881545,26.997962969999005,28.212764404296895,28.431336274168693,28.60334329007125,28.15449615655044,28.214817904226887,28.13238532423403,26.593908558884568,23.28614595965438
