year,1,2,3,4,5,6,7,8,9,10,11,12
2051,21.34027359177156,21.564850447876022,22.13571785509554,22.922805892908247,24.99782817279704,26.90131233269881,25.56573793951686,25.10853525932755,25.35579545360708,25.013723097247848,23.787168785374174,21.225420074125985
2052,20.646055108819503,20.993858213492395,22.86086032665585,23.342781518202308,25.781884678630203,26.410062481035744,25.55659325914032,25.10995053276772,25.66147680581879,25.354145809453893,24.430201876222377,21.316291548861777
2053,19.70188498499227,20.62925414110592,22.37570673053745,23.450853240293593,23.084289487913708,26.07505429048142,25.713810938811342,25.216198307079686,25.190875090956276,25.810731857915975,24.469646384871144,21.8985084956448
2054,19.905132688600357,19.558421098784095,21.837318583093815,25.3772171613157,25.09341653579173,26.584519437332826,25.943677588067168,25.032657980292004,25.092634924734927,25.37963497095076,24.703362408893234,21.57949162861757
2055,20.619401925357792,21.525215438320846,21.7831969378387,23.171134425698355,24.678511624672954,26.50353395976699,26.09133753119399,25.472717801741393,25.887110247832883,25.922643148874226,24.460007149821067,20.276263997204797
2056,20.50400615129252,21.171917880346765,22.609995323183092,24.603525457944368,25.611578418890343,27.130333197584953,25.924269148341764,25.17053207975932,25.475662563864248,25.488250874910587,24.097740922436625,22.71483345610745
2057,21.28401341726756,22.5282236047561,23.224446698681792,24.358409445994745,26.115880679699263,27.135143558839353,26.232133110915953,25.286690480005706,25.53945033488826,26.221126610690348,23.58105180939693,20.299638839454666
2058,20.652480904231858,21.675105203500554,22.8491888307719,24.729647164708798,27.218326622650615,27.22563985906334,25.755753693098026,25.202890433807106,25.3428752101617,25.832500215262478,23.201161702479332,22.599862729362915
2059,22.563993477233947,21.272197746261746,21.903595665057782,24.2846034477426,25.38757762232785,26.417921040759992,25.66428692974434,25.419968929896857,25.704671106833796,25.6397270621512,23.969151084141036,20.128272650257216
2060,20.4277443585229,21.39622174421682,21.475891263746387,23.303224669057112,25.801164466373738,26.740058650112836,26.278883444945684,25.799402724118586,25.751480739572337,26.023563295620033,24.97142690425722,21.258058127331115
2061,19.644748826252354,19.658491285947044,23.502859237783387,23.896513420785617,25.17029907938482,26.055826943163723,25.570652729191714,25.50848121541478,25.536803238710256,26.002225682797476,24.45017887777771,20.791362703657406
2062,20.558382562375673,20.024708736874032,22.87666232974789,25.441476266850962,26.729674201229436,26.402690264153254,26.137545906477808,25.770025928904662,25.736301957126468,26.369678563561305,23.43861786785947,20.03807692814599
