day,mean,min,max,var
1,9.423115586760977e-06,-4.212594716985824e-08,0.0002617740122806739,pr
2,3.921127918922739e-06,-4.2715038601191654e-08,9.97220065202498e-05,pr
3,8.906284274128603e-07,-3.634066701113303e-08,2.4443229985077304e-05,pr
4,6.263696242323952e-07,-5.977432932531661e-08,1.778043197816243e-05,pr
5,3.370439000811649e-08,-3.394428248221837e-08,3.8339971119420445e-07,pr
6,0.0009080418102306221,-3.1515242724913936e-08,0.027213783240099786,pr
7,4.269064327506166e-08,-4.9741152804482364e-08,6.779922302000767e-07,pr
8,6.155835094711191e-07,-4.2174024056121464e-08,1.7173973890791182e-05,pr
9,2.0075474579334674e-08,-4.9302190748447915e-08,2.4847120556972096e-07,pr
10,1.63995827473335e-05,-2.18489724801969e-08,0.000491069759196787,pr
11,8.016862476760134e-08,-4.0325177991859334e-08,7.598612435776673e-07,pr
12,8.869584836978197e-06,-3.960384333642271e-08,0.00026341705789701114,pr
13,7.288576468172818e-08,-4.371479851905199e-08,1.1547793492163255e-06,pr
14,1.0987966945949829e-06,-2.7811358317855352e-08,3.181820818845626e-05,pr
15,5.7039898376664084e-08,-5.014197040616119e-08,4.4629283863476483e-07,pr
16,5.3724289752273434e-08,-3.915390727801773e-08,2.6479967492455184e-07,pr
17,1.6484305811400504e-06,-3.453399392907968e-08,4.469271360817668e-05,pr
18,1.1962418835674336e-07,-4.210404100594401e-08,2.6090430914331105e-06,pr
19,1.0152849004452385e-07,-4.417604321233496e-08,1.1289451681894741e-06,pr
20,1.149949553059027e-07,-3.540185765859032e-08,2.065092309094029e-06,pr
21,5.692057752763328e-08,-3.098111796431303e-08,3.767864987724177e-07,pr
22,3.293257930635967e-06,-1.6943550457972277e-08,6.24553824617602e-05,pr
23,6.127980146860858e-05,-2.552583757464669e-08,0.001462144177500561,pr
24,6.104704925011192e-08,-5.264212833283008e-08,1.3398885651118162e-06,pr
25,4.8676921699426535e-06,-3.067779030304553e-08,5.3039333250133026e-05,pr
26,2.3019572930082294e-05,-3.4473468741111183e-08,0.000594545441308527,pr
27,5.347674962968711e-05,-6.158072468183056e-08,0.0014158186023455472,pr
28,1.872010102100814e-05,-6.305122276710367e-08,0.0005589006266563991,pr
29,9.689929138964377e-06,-2.8495009017299878e-08,0.0002885978167553098,pr
30,1.1236715656514271e-05,-1.8131344845476487e-08,0.00033586728204540407,pr
31,6.286568331368544e-06,-4.3443285987507726e-08,0.00011172063891809104,pr
32,1.5407349021211936e-05,-3.552360456448947e-08,0.00022494224011783024,pr
33,3.293071097602584e-05,-4.279295871866809e-08,0.000986442852034236,pr
34,1.143110029678801e-05,-4.9016869209089556e-08,0.00034188054103798804,pr
35,2.1343795254506085e-07,-3.328481381749866e-08,3.781097465599958e-06,pr
36,6.810810262102528e-06,-4.744248615541577e-08,0.00019536214863786003,pr
37,6.1209501938410686e-06,-3.2096871585606917e-08,0.00014295221133368708,pr
38,2.592521739045456e-05,-4.0731427380554324e-08,0.0007725481910006062,pr
39,2.1164331393652853e-06,-2.8564251459608734e-08,4.4062930027947774e-05,pr
40,0.0016835559116902884,-5.102107114857148e-08,0.05000970588758659,pr
41,6.234151004448652e-05,-4.829085452009602e-08,0.000896676156043454,pr
42,4.872773272174641e-05,-4.950283299074504e-08,0.0014511846281692513,pr
43,0.00012315730596686023,-4.1925301534792105e-08,0.0021854584765383213,pr
44,0.00048660372893634114,-3.4006400877273825e-08,0.005665603303537685,pr
45,0.0005940331223411292,-4.028157184394081e-08,0.016332836582196898,pr
46,9.005029487358958e-05,-4.1725857256174676e-08,0.0018274989450533057,pr
47,0.00045265938090222085,-4.373157014254839e-08,0.011663766372179776,pr
48,0.0016924035867243157,-6.272805207900719e-08,0.04697203601407043,pr
49,9.42362755128972e-05,-7.336408012996817e-08,0.0015557844140895033,pr
50,0.004289589176181643,-2.7856393012544867e-08,0.126667062269814,pr
51,0.0005209681806046668,-5.324834415986236e-08,0.013354481462609983,pr
52,0.0015294556736212789,-3.034159985667453e-08,0.04564534055562566,pr
53,6.036407106786501e-07,-4.612549062130893e-08,9.879450501046252e-06,pr
54,0.0070541551150874555,-3.402427634651714e-08,0.19450853365088688,pr
55,0.0019388227697529096,-5.525611828630572e-08,0.054982166185699705,pr
56,0.001382632484083741,-5.3518465880844394e-08,0.03980682719930262,pr
57,5.4978476526417014e-05,-6.030613763011245e-08,0.0008291160921726809,pr
58,0.010498816206047056,-5.018390032430724e-08,0.31282086755124494,pr
59,0.00042313060182324767,-6.142810363856459e-08,0.007509631783459074,pr
60,0.00043009945619601914,-5.458713890140784e-08,0.009644368052559874,pr
61,6.266993729046529e-05,-5.531740540438171e-08,0.0018463937123702689,pr
62,0.0025610958512304605,-3.407566107053345e-08,0.07571086165556212,pr
63,0.0022302749076519987,-5.6007744003980174e-08,0.06587610255596768,pr
64,0.002319117960339001,-6.428731334986935e-08,0.04869051748093819,pr
65,0.0016940040162815352,-8.588457983464557e-08,0.028292730045038433,pr
66,0.0039021483245338007,-5.822778130831646e-08,0.11561085540708305,pr
67,0.0001844570405812639,-8.1245049625355e-08,0.0025465154236948635,pr
68,0.0010397506861450788,-7.17548392338835e-08,0.025318787233947475,pr
69,0.00017594077264728318,-5.107269905548128e-08,0.0031682466234101516,pr
70,0.0001282835874888084,-9.305674918923148e-08,0.002977571725865948,pr
71,0.0008427934134819715,-1.0327347618714926e-07,0.01737956787180063,pr
72,0.009768357965122022,-8.796840986047173e-08,0.1599880295728923,pr
73,0.0008369015582113374,-7.535485926542809e-08,0.00867445506076216,pr
74,8.031449218945256e-05,-6.898708596933225e-08,0.0012445060919615168,pr
75,4.0000767466133614e-07,-9.12358453359613e-08,6.262129591668056e-06,pr
76,7.269386815924166e-05,-6.209446142461148e-08,0.0021401325832976935,pr
77,0.0014302130035251618,-9.332975148487692e-08,0.03395833033966527,pr
78,6.504862477294413e-05,-1.0383409745527866e-07,0.001898941959680296,pr
79,0.00643597952483236,-7.361867648146329e-08,0.1812829052607256,pr
80,0.0003691788545686683,-8.564414299998597e-08,0.00895636968395283,pr
81,0.009163244756922916,-7.217781747332955e-08,0.22995599880796386,pr
82,0.001112640076813784,-9.120152337545581e-08,0.03028723244097467,pr
83,0.00019850868716246836,-8.454645638131874e-08,0.0031069478264211707,pr
84,0.00020710636414474098,-9.07821946372986e-08,0.004664079177625525,pr
85,0.00018416202927640436,-5.197886705900789e-08,0.005488988655988338,pr
86,0.0027100844223524813,-8.138185517572405e-08,0.06254051111396702,pr
87,0.003916172876500674,-1.0388421649290373e-07,0.11409821795918001,pr
88,0.01595774264915268,-8.827808285495745e-08,0.471444444087999,pr
89,0.0001367965387053377,-9.517832724385665e-08,0.00407518039398478,pr
90,0.0010842308886504094,-6.807994607144686e-08,0.026903052433571183,pr
91,0.0005438267034161462,-1.1566415920152647e-07,0.010200211541879807,pr
92,0.0004203089058071697,-8.040867788483416e-08,0.011998600460880051,pr
93,0.0015636017835665044,-6.057475394193275e-08,0.045109541531000455,pr
94,0.012838028636808994,-1.0264643784928127e-07,0.38043851037185067,pr
95,0.0002591498008431737,-9.389667563650154e-08,0.007627375023292878,pr
96,0.007518228482817285,-6.521108347423535e-08,0.2253524026657789,pr
97,0.008963754825251852,-9.242632130900752e-08,0.22148520122200588,pr
98,0.003530376942672239,-7.974820895114608e-08,0.061663228720390664,pr
99,0.0029882555438376767,-9.178081495661812e-08,0.08027403665487323,pr
100,0.008999962363458437,-3.945091540429399e-08,0.23317061927127564,pr
101,0.007951308604523444,-7.256136544022646e-08,0.2201294143179925,pr
102,0.005185674802547092,-9.827287213938995e-08,0.09092968606164134,pr
103,0.0007236750865112266,-9.219405733357492e-08,0.008519497968134835,pr
104,0.002776610709670249,-7.574124263639983e-08,0.06170009715216614,pr
105,0.0032236116796021145,-1.1120372712016197e-07,0.04591594847654737,pr
106,0.0009662828861447786,-1.1420473012136821e-07,0.011256738751368381,pr
107,0.00014609627032295387,-7.751984282292139e-08,0.004294474382891001,pr
108,0.005694400633058503,-1.7588065393492418e-07,0.1624726159391294,pr
109,0.004080418997196438,-7.542931212745464e-08,0.09454648891604286,pr
110,0.03747847784364713,-1.372386541263559e-07,1.1175636910485776,pr
111,0.008097900953671152,-8.815072869450935e-08,0.2118120117932926,pr
112,0.004909271241503547,-1.3936259101773203e-07,0.10412394396105581,pr
113,0.02476148327412182,-1.042625023273623e-07,0.38402050136087523,pr
114,0.011908477492832794,-7.986223734083316e-08,0.20146170874400704,pr
115,0.011328822564341316,-1.1794490986786018e-07,0.3339545458752555,pr
116,0.04482565155819763,-1.1054999088955699e-07,1.3344481937452226,pr
117,0.00039732205845473934,-9.580793623031117e-08,0.006762984494825604,pr
118,5.122280414259885e-05,-7.439474141064215e-08,0.0014602517498776843,pr
119,0.0003581701287507413,-5.8716629407231875e-08,0.005976774780242532,pr
120,0.020568943447375573,-7.113079009363535e-08,0.31508355255849785,pr
121,0.0074688164225644995,-1.0989531956655452e-07,0.11687113375668992,pr
122,0.013044045804668189,-1.294625090237823e-07,0.21718507014012403,pr
123,0.0009409641790893721,-1.1309530664308824e-07,0.01621303821017711,pr
124,0.007190969069482436,-1.0002746943925168e-07,0.19414991552511981,pr
125,0.007466785488823098,-9.313578107516136e-08,0.15212308664095556,pr
126,0.00839205945985075,-1.2965990074341633e-07,0.16728897638663326,pr
