day,mean,min,max,var
1,3.866792795569414e-08,-3.0592518769628496e-08,2.551335484212235e-07,pr
2,3.5602162335493255e-08,-2.021813675473456e-08,2.4370649890295804e-07,pr
3,2.158502476822664e-08,-2.8194064435251504e-08,2.3697217961957705e-07,pr
4,7.135698039183775e-08,-4.1206629614357044e-08,2.5900313899630755e-07,pr
5,2.049797841873396e-08,-1.5256268738761865e-08,2.4564763488916566e-07,pr
6,3.868915786352711e-08,-2.9045364295404596e-08,2.5806101949417513e-07,pr
7,4.429597207950876e-08,-2.4269937445760268e-08,2.509080658308712e-07,pr
8,4.109817604350572e-08,-4.302457569245366e-08,2.560841487147209e-07,pr
9,6.063956366080261e-08,-1.6605695755278638e-08,2.570924925182783e-07,pr
10,5.476784291923129e-08,-4.420876535828701e-08,2.5839415015126864e-07,pr
11,4.7241939426251514e-08,-1.591895563947187e-08,2.5533769532465387e-07,pr
12,3.6980174373813136e-08,-3.0472820099421465e-08,2.5714422667755273e-07,pr
13,5.454097430316074e-08,-2.9110573445664315e-08,2.514639529813886e-07,pr
14,4.426134040110691e-08,-3.688385232270648e-08,2.574641093619642e-07,pr
15,6.896990586384577e-08,-3.732181723342486e-08,2.5465409309610064e-07,pr
16,5.3218789296192477e-08,-2.1078830151574258e-08,2.5236354719742614e-07,pr
17,3.474914273140786e-08,-2.998843905498332e-08,2.461765804225605e-07,pr
18,2.5763447116141403e-08,-3.238555213571082e-08,2.298754961006686e-07,pr
19,1.8689446620524362e-08,-3.4048930028350305e-08,2.2567338758504935e-07,pr
20,4.5696897114244574e-08,-2.8787183257677366e-08,2.547719396979925e-07,pr
21,4.578287837843155e-08,-2.3357806291063385e-08,2.53974539572301e-07,pr
22,1.9676504580528048e-08,-3.8308967403200384e-08,2.523615373395665e-07,pr
23,5.821805619614708e-08,-1.7424433007169168e-08,2.404553182777321e-07,pr
24,2.772630110187269e-08,-2.668077690140784e-08,2.5002210901316044e-07,pr
25,3.705699355930669e-08,-3.8198900914375837e-08,2.590595984918783e-07,pr
26,5.25570256718451e-08,-2.288823633146728e-08,2.587211331813145e-07,pr
27,5.4552009524176536e-08,-4.158831445258969e-08,2.4700305230928676e-07,pr
28,5.208131627972781e-08,-3.5617946057961284e-08,2.495421301362247e-07,pr
29,4.6704200139718134e-08,-4.2694900229134754e-08,2.5418648589909597e-07,pr
30,3.996510514493477e-08,-3.3579373586612994e-08,2.50668519197768e-07,pr
31,5.114645289713887e-08,-3.76717953945667e-08,2.531449899121434e-07,pr
32,7.318577797107977e-08,-2.2974254916893557e-08,2.537116614778261e-07,pr
33,5.9118919576166924e-08,-3.2196904378513265e-08,2.556224970263071e-07,pr
34,4.421200849543571e-08,-3.823171209917343e-08,2.3067438053410133e-07,pr
35,4.781065892904065e-08,-3.781635140094574e-08,2.468680875183595e-07,pr
36,7.713154491199014e-08,-6.253548584651563e-09,2.53305786529801e-07,pr
37,6.598144966718238e-08,-2.7093723338861485e-08,2.455287316814111e-07,pr
38,5.938272905591608e-08,-2.821160579452395e-08,2.573845934695258e-07,pr
39,3.786038296983773e-08,-3.0976735701530215e-08,2.57096366921682e-07,pr
40,5.6330918094112114e-08,-3.784369619178848e-08,2.591422658778209e-07,pr
41,3.425954903491485e-08,-3.3880988928113906e-08,2.4921680674390696e-07,pr
