day,mean,min,max,var
1,32.472970717967215,29.104951010730318,35.51765461395361,tasmax
2,32.51244410985733,27.882574845290918,35.57391701190913,tasmax
3,32.46966812595712,27.739337181391335,36.0103590168014,tasmax
4,32.39821385539832,28.491260437515976,35.84227848232784,tasmax
5,32.38806087288774,27.994959016541017,35.26624023700252,tasmax
6,32.54537271957585,28.864020220349985,34.58466022811888,tasmax
7,32.59897793304925,27.777445585545763,35.097542450593735,tasmax
8,32.675752769421635,27.658967057163423,36.068279380452154,tasmax
9,33.01500002853527,27.16129948549556,36.58165349243298,tasmax
10,33.07623065682891,26.374171363452646,36.922011261443984,tasmax
11,33.00358509757199,27.778476428347503,36.43023095068931,tasmax
12,33.12498777444918,28.465011526628558,36.931162466103956,tasmax
13,32.86074777052246,28.382194846823253,36.8813778489871,tasmax
14,32.875876599769484,28.31672234666418,36.504713008754436,tasmax
15,33.169286940647766,28.6608447429024,36.59545458053189,tasmax
16,33.36753435778347,28.922892795917818,35.71621965956814,tasmax
17,33.259654887019614,27.806360788696253,35.68292174681443,tasmax
18,33.18123321197759,28.269166730347422,35.70765788680001,tasmax
19,33.125219380832455,28.374847923601465,35.969040083311114,tasmax
20,33.07152323797406,28.710174521101422,35.82155419504355,tasmax
21,32.97820755408569,26.572987605235625,36.10932151755857,tasmax
22,33.12205644740954,26.640593621989225,36.40532922086375,tasmax
23,33.251594009582476,28.436414536802843,36.244075442162696,tasmax
24,33.73381259919346,30.213642291438163,36.999658046048836,tasmax
25,33.84361321369906,28.441380849579105,37.338542328713814,tasmax
26,33.625123605966905,27.234230532392232,37.024624925408816,tasmax
27,33.34044304033505,28.03492639363087,37.03954199634556,tasmax
28,33.36216111101344,28.73671602211776,37.65643759785296,tasmax
29,33.23579425084823,27.07374001049888,37.90289141640581,tasmax
30,33.207827977082076,26.987299377005286,37.89530862510773,tasmax
31,33.16418460125846,28.325612643073356,37.65101464535313,tasmax
32,33.729845027884714,27.68224480085206,37.928068373202535,tasmax
33,34.04606834640616,25.09197066388748,37.63056265129238,tasmax
34,34.57000183189326,26.19387078249231,37.750963002616515,tasmax
35,35.317222523685295,31.32522548635366,37.34914939106143,tasmax
36,35.501196084654445,30.634116151203372,37.97548723207905,tasmax
37,35.62792687212792,31.891804651706593,37.286332063602984,tasmax
38,35.70428963736097,31.801481369306643,37.53177468912588,tasmax
39,35.77141260101398,31.682923791561507,38.101056084398564,tasmax
40,35.727661347613726,32.481387255580714,37.85602426622408,tasmax
41,35.79123812625396,32.74668170053471,37.884784255864744,tasmax
42,35.715497050365556,31.936538574309623,39.27359530625465,tasmax
43,35.81783141306631,32.96479891729318,37.64364563706995,tasmax
44,35.51785091946631,30.2067781706791,38.03797655699435,tasmax
45,35.598256830370836,29.430015392458117,38.40459564365709,tasmax
46,35.73718536114061,31.58468403750996,38.55100220923268,tasmax
47,35.5197920125807,32.17475622999268,37.55588454416424,tasmax
48,35.493304948833064,32.283681676372154,37.58904198802249,tasmax
49,35.66811294872067,33.10000578181568,38.00867200683703,tasmax
50,35.770234007970096,31.86600231889021,38.856110925592034,tasmax
51,35.86481059983914,31.5052995134117,39.82782060061079,tasmax
52,36.02533686957273,32.70553364706733,38.84608584872247,tasmax
53,35.800700855189156,31.982112292236664,37.37363584414513,tasmax
54,35.726913620504156,30.316759205590117,38.13036358964794,tasmax
55,35.90427589766127,29.853340752416287,38.44415307026455,tasmax
56,36.10424818416483,31.112703959633535,38.79667455938811,tasmax
57,36.224607309548105,30.40071095930233,38.28045446742421,tasmax
58,36.25246875933559,31.845515348085712,38.83393515212758,tasmax
59,36.297897316909236,32.62679573215543,38.13019431763249,tasmax
60,37.04745047195948,35.127986245866154,39.25091545207674,tasmax
61,37.31104017756595,34.22032090044222,39.570464719307026,tasmax
62,37.131868367246064,33.0920838659881,39.60059238191097,tasmax
63,36.749349809033376,33.167714205779745,39.129438412516464,tasmax
64,36.843114040229146,33.42794312235078,39.73677998754769,tasmax
