year,1,2,3,4,5,6,7,8,9,10,11,12
2021,45.375663251777105,23.599550736463414,22.757173405529514,25.18083474533186,49.120933587702694,89.28842100139379,127.39146727836084,116.31350782285509,120.97115318649955,130.82454558592164,89.09927521797489,58.952984318925786
2022,51.86107830570787,21.012169035770448,24.329341763697926,26.49816176474947,49.84753871102156,90.51313830728391,124.93103786149173,108.81378842331053,116.19646584023053,136.04329311125818,114.45484613537205,74.30881316808616
2023,42.21255517616336,22.37649319082623,24.539790066384615,23.042070699427565,32.40513141184941,62.343213039920656,90.97141062116728,95.94794919663484,118.0619455249769,123.08826650548157,88.24580263179978,50.01782104167182
2024,30.929388234974244,16.797275990542825,24.261576618318884,21.24200889541694,16.243485672051936,54.450651256624504,93.02503245699639,104.66468798602261,109.21884531113913,125.8385126369827,86.34956142004044,54.49288816000309
2025,32.38264803500485,24.274442901364043,23.304091614683614,24.576342733575924,19.11832280067253,70.98050885556931,117.50828481396326,105.17696566197048,128.31568228071117,127.551250755,106.8881094253003,68.51544459128036
2026,41.72887683485997,26.330766709007122,30.156804368957502,23.69618970760028,22.84363493984752,68.35387304608443,112.03789831952517,110.86886476920213,107.19716070286637,131.52893238432068,96.59674000830812,63.75703068560641
2027,45.98795868503742,23.412582249482817,31.078980869870318,20.314688157879495,14.710673620145586,44.720798568922596,101.84483958434615,101.69068192709986,117.02270122416466,138.9415329318396,103.89706702832251,70.01201544753734
2028,42.625872541534044,35.36694865893876,25.649523514896046,18.206740313091334,22.39811530802401,71.27754793356792,101.34544536729192,111.86260106965551,127.06019590522334,138.27059294399967,97.41986409591135,64.40784490196056
2029,44.05141908733262,30.758998869841374,21.85012779074928,27.893280934604523,53.61662673381502,88.37682664077518,120.54575015203758,119.45066389642662,118.19990178380331,131.60751346057492,101.68944771237666,68.53939872707983
2030,50.62364766535592,22.964764823251244,25.965048590709056,21.72337810290372,29.729041607982953,35.11705366621125,104.14954795588719,109.53744811619558,120.6447211550472,137.33024439804092,119.35557845811155,78.97313231318452
2031,52.454059612463396,22.267975527215732,28.72457727260234,39.40225278081435,61.418898787719385,101.28696809249982,120.07328417980358,117.37288579254874,112.05045599129606,134.84135310822896,105.62244001982445,70.50571306348945
2032,44.78877857969749,21.272102510139685,23.918931249692168,26.7487462341506,22.850838097350238,78.14558696892807,95.35507639679618,121.06876309481132,114.98241284827346,135.87259644269298,101.22215363657013,63.80684247341919
2033,37.29906376374867,21.37072810165895,22.006683661046445,22.39505272798156,55.09262230591606,81.62216193747543,126.33142129765154,119.69416392392176,124.37102630956731,139.63720180966897,111.93728907244626,74.88103022254235
2034,52.21482706468629,23.755865191050653,25.72243187377666,35.0730033304238,71.7347444980068,94.15543419024819,120.07690206931095,118.36826505466867,121.75842219818011,140.17730826862868,104.80694744760278,69.80582189748401
2035,49.43362618145078,28.835853374053098,23.703085407579483,37.09008113566571,74.92673095077546,107.13306850483865,125.87233874464464,119.48659704525566,125.51972534717935,138.4755069944159,109.29776280558698,74.89308384938677
2036,54.15331035499379,24.82619968741854,28.186453200851304,30.69070761106886,39.06533837885789,87.75924634090038,120.09569572255778,110.48179830101921,126.95230616110811,141.27294688310639,111.12565335865824,73.42824312752222
2037,45.160651648977534,35.98463903890346,27.32076574022578,29.763418218451246,58.52668455125489,106.53390626728365,130.71358670953822,112.12813234171766,123.85995684386074,127.0749803743643,87.55061583881766,56.36031493134744
2038,40.35486229120873,26.673121920307374,24.71151886710988,30.910933008471893,64.38078590168936,117.42177323925111,121.4542359480946,110.75547369867078,121.15096797272776,119.16474351969069,108.22992579697407,74.47211016807437
2039,49.51907285992305,27.586282150121065,26.825844653891707,47.89988224049607,88.34443191684925,91.66115534269834,133.16783970674405,109.11637800115936,125.98379481014484,140.53279802049926,105.40338477793814,69.76170071105156
2040,50.996560310501046,29.338531309569355,29.489941209134944,29.03447939915665,50.452038854927565,84.3256956755638,127.46051394911794,122.216462271332,123.2128059899735,144.43157676024302,115.4501293272011,91.01394851172218
2041,56.026315372194134,28.802697625743676,28.34114998443307,28.245129762513265,34.554084377115494,83.61531752233886,132.65760489037157,121.7505484489291,126.3137449876692,133.0538299442313,96.7768368606588,68.90229535561473
2042,42.1367675155153,27.40136988836028,29.51468559490636,28.186633094833937,24.066618023397943,47.09192453180126,117.0025405339571,113.69676091963362,121.82202460302689,136.43650428279386,109.5587659170389,74.35268183208285
2043,48.0759243118597,26.486751645647804,27.3897797040717,28.85799416900956,26.083967249769415,68.43111998631328,118.13410255217272,113.50996676840634,120.49967009043857,138.99025781396236,108.35495997634872,75.28146399813754
2044,48.380061580994784,34.224854975148816,29.011150228159856,27.27362540243647,50.71854493474101,94.40545005148016,116.1648951820687,117.54835626150096,121.53524535650084,140.95587752579902,104.36245113688159,68.15540642824737
2045,38.67178065621473,19.471924937302656,22.925408021041584,45.503650285367705,75.40072883252093,111.28117825330635,128.25060150533363,119.9045655484744,112.94005492670567,137.06862790161577,121.73142551556585,78.37390642346074
2046,52.01697213337149,27.93523136654241,22.70161609101489,22.12442574867258,16.26257379050576,50.44096266978353,54.206377439560406,88.09858398899728,123.20422548977487,138.3885663542072,114.80307549325059,71.43042137144107
2047,42.7354780196212,27.912895879413067,20.975724713830246,21.01578298229826,45.026508853712286,72.65047116248809,114.88710019754593,106.17612199425214,113.0993077846086,132.63772235604398,102.3079573754839,56.50321487203456
2048,26.93797838120312,20.418665348464213,22.335868840847194,33.59357758782261,29.692470101694333,61.142494893987326,101.48605102235342,112.05151110827076,115.71889208753623,125.24868867834772,107.17619892277415,67.3781203147161
2049,42.15431011454752,21.363126212807966,26.862818828234964,28.618883593573017,20.090039199030258,81.86622115341795,123.87856893214848,127.93581802847986,111.39169091603134,134.65909002224438,94.40753505817071,59.519037033765976
2050,32.030299684151295,29.988724024397225,30.380870415907786,32.50739643965881,37.50956372654459,70.18676382924461,111.92602232451624,106.06611185643304,122.98574008738997,138.7213130523976,132.2884932873419,87.49227563845986
