year,1,2,3,4,5,6,7,8,9,10,11,12
2051,61.525633202400265,52.648416273141436,55.450318600108126,50.89664075578733,61.568198003733976,88.47609515300354,125.19494003567841,116.68382841126989,115.44572948861367,137.1092994818532,109.54465071454638,85.10518386853857
2052,67.61456140923488,55.36677299558476,57.82083917845858,52.84455855382902,61.15241599826965,49.57948164547062,54.7536406376916,103.50802171317319,114.8051750514717,129.98292797859287,132.59169671571775,97.40140514868881
2053,77.17971992803518,59.27069427459946,68.62606456174028,66.61521649270576,54.94658546849749,77.11214155065095,115.4258400775711,106.66684398751161,122.52151913781948,120.04908951257688,128.44475491665227,96.27851429539558
2054,77.50248797032356,65.36061423555596,65.57624175197013,52.61335438793377,45.123173335721496,90.30759964402164,119.29189131206996,125.05399539062621,131.6629530092343,124.05431478186202,130.5329918843676,98.36826505012826
2055,77.27124259686943,63.19035494679871,65.18252020540126,52.239161505092234,46.49600379049759,86.27373164280489,105.27028919801339,113.22387942573206,130.19741583259471,139.38885076183635,110.17275246825061,74.00661970413711
2056,52.69003177535295,39.58210888517705,38.97660160107621,37.77856578548744,40.53573139146347,63.25621190607196,122.07805547664228,118.65732989498818,123.89555417737216,131.3034019149376,122.01194242279752,79.32539083048164
2057,58.264678233730216,44.27533274888541,42.746652210213,45.55417492129147,63.91703758611698,87.64174926844036,117.05055258019675,124.98749166921668,122.1351195847428,135.93293285746051,113.3901584607579,80.5939138546712
2058,63.60937222024111,52.881102347689804,54.60260382060408,43.124653302637206,46.48735994459588,40.68588676469748,53.298054478648204,118.13841429782367,123.692892436032,97.20593450589682,39.65602564589896,20.207551520111245
2059,15.885813430888934,14.325857477288356,15.038886056845088,14.33860782520668,10.82842185559702,24.639668832020913,100.29557362256425,127.65792857163812,127.42772533875844,113.61551076044054,131.40716519728056,110.47297630130383
2060,84.16635195536034,68.2053989446348,67.44666713773942,52.61006733733535,52.969855767924365,85.06879916241473,125.14401634706796,122.9042991430968,117.06018465730332,139.77604325976563,122.14476494920089,91.6906522513544
2061,70.25895053299807,60.91808888010467,59.8918967714274,49.86625623475795,65.8181025312171,103.07981367036587,106.0367709423626,110.95035566853588,124.3068144362701,121.73816196913005,122.77527566385116,85.20245157034591
2062,62.70719289534915,48.254966779835556,47.364567505540066,62.039793180203525,61.98191528939698,71.58085529566412,110.55469090565715,120.0274911193131,113.07737544133897,129.08387662673533,127.50699369820887,102.42537817404677
2063,90.13785417044832,77.09294387569535,74.5004293567932,59.101412572136944,66.75249580232482,93.18380110071496,114.59357795054164,119.54527381588399,124.64554327908084,140.72756488048512,128.42237600312546,101.6316589721975
2064,87.69364553655622,73.3715573882618,75.07568870295617,59.5925150146646,65.25549118787866,80.10508039767693,118.14254311725614,126.42915105271797,124.2562021861561,133.4971402046289,132.6598007224485,110.63100587346278
2065,81.31357483635948,73.3210311593515,72.71429000971638,56.81154736542442,46.06209983123934,58.976571058060905,78.8251230979068,129.8520654615113,116.2874373635576,145.60895776882242,121.19101406320699,92.5142824353264
2066,74.05389904382051,58.95895588709421,59.013946407721185,55.44339533518952,56.587914396320684,81.73211466775606,102.73425000034923,128.25417203440918,116.8718542059638,144.58709631610654,114.544306368289,87.76812423919668
2067,65.44382817225423,52.80413346602085,56.508431323995225,47.560149427944374,80.15638221098416,91.96348797532997,115.46002062389276,121.71683339455379,120.65192463740054,127.89782363151727,138.48558503280995,114.09896906148798
2068,97.9807179069918,83.32314110034073,74.68266849773453,63.78760333136402,78.4490280920663,85.98387611492188,132.24894123182816,126.35814010104812,123.63445434749752,142.0296362111252,121.66750284130455,97.92730485440539
2069,80.2607279633161,67.76472312293699,75.51034948487172,59.05636304080522,65.96467133620165,105.58717326513462,112.7623661738088,128.14461631306278,119.26937767625878,139.59454451328514,124.30490782237047,97.36488311611025
2070,82.06593535079557,71.08045638066655,70.74226962028513,57.745320807280045,57.5277530576343,80.27206070728927,122.5668496615489,125.41600539726997,120.71582644306321,130.50572112123953,136.39852142205268,116.31637571858602
2071,85.10018961653752,70.2203676392068,72.38645446582566,56.33546222045272,60.30817563419072,54.344063402395086,126.20983665516665,128.52418032530164,122.50409999763217,142.76879262495146,116.46926891865539,93.03139736975051
2072,76.00839215300113,62.954051976057194,65.92045359365389,58.82302044083972,54.862902723683135,61.46850544977617,130.55435586739824,123.2633447445917,123.0655803528183,134.45230682092478,117.32798205713033,79.14958230862644
2073,58.43578934553795,43.65463105000593,45.90622289678803,43.81203085367359,63.65156183306436,98.89803245090893,112.79349665115588,119.10183554811013,115.6524681451937,129.77580341725434,136.00001192925498,106.17712144601914
2074,85.8265818420829,72.3024011609009,71.93364340953349,59.842227012828886,83.50657107785239,92.60082600531241,120.74759759753074,124.5215973868067,124.63458717940837,128.13936680158412,154.40045436617177,119.33432426880775
2075,93.00675866543403,87.6679164854288,73.96811558866527,58.89841348200861,48.793990299022525,43.23656352543003,87.40665036171778,124.088993137618,129.4440493535195,148.60020741333284,120.48020114153269,86.29071048718407
2076,64.72045805775878,53.54052588142356,56.06904766221097,47.13642888201036,39.55494071442117,80.75656223875927,95.85276221678014,121.71356409553461,116.91298749847468,119.62527195388014,69.63330120200605,43.94887261525314
2077,36.29815937661894,30.35629446833726,31.711185280489943,30.95249352830959,39.700782494283715,116.22103444388448,111.8507518725673,127.84355357295766,129.20654251980343,130.47489753902883,86.94123088188007,52.74015330983513
2078,39.63600766769116,30.948649516805144,46.54848055036487,24.215401894323428,40.55502287663237,92.21818013857825,119.79472286798631,126.2023897686093,132.25616307276778,139.8371774089369,111.19890090949211,76.86452663675713
2079,61.797498510022464,48.653942567388775,53.77125421765845,44.11373186228405,59.08369619079919,97.18429591502927,126.64720644169675,125.95622376652464,122.25182326302797,122.56267809501529,137.5495290061408,110.50001474019474
2080,89.8238498609687,71.39749497224506,74.04672648856473,58.63836332457076,76.51620016016561,106.39473916457271,111.13408713766042,92.54041790854758,114.52602539996286,131.75267191221383,85.49677063038705,53.146276235529896
