year,1,2,3,4,5,6,7,8,9,10,11,12
2051,41.74017243074097,29.226872293275253,30.039031642121834,27.48990122824364,21.62324169019163,44.84518792499213,74.46180636488238,105.4712541143918,120.18693784201196,128.05846694807047,100.0449562482039,63.336791912308676
2052,39.97155707407636,27.733927927689475,29.911641769574693,24.90383622647648,26.110307483860336,66.43722069729948,110.56188876663552,114.09017717008146,123.04451754536389,134.71261523617724,95.81973695049325,59.92491964997284
2053,42.1828106375037,31.442186032069667,26.261314322198064,25.737990525298652,26.472200577128554,76.41621403735904,85.32920236160186,113.43254549262981,107.73169336894452,124.71892102438245,92.78816192157151,59.334962125812716
2054,43.552345213108666,25.26196439540631,26.907849581601422,28.88923355685123,30.475909903898,31.539368828336496,87.67895643226278,109.90711931372225,119.89955669154496,126.30885256314484,94.70484951107818,61.121783673682366
2055,44.35096001469084,24.33754738205787,22.351278274612913,28.220815777265724,33.51109114523821,30.522359846388586,81.62546078571164,100.33160903946991,124.69733144087382,124.1493519773803,83.36952112022325,60.58558161855706
2056,41.76593616435741,32.26717422482714,27.42250602443393,30.285564278893986,23.59785062900393,64.91519783983476,105.05696182975733,115.10074161275352,124.86225432588553,126.35969822151095,94.65370026531018,63.12278282894518
2057,46.39519005786923,30.54033471067156,29.193553899647608,26.95834752464854,27.567531877879073,54.5507525921609,89.15543267386329,110.79545738915625,115.99012153955077,113.72934514069995,85.6526910990832,49.7682344235279
2058,39.762482081213165,24.97651991523681,25.247027989740662,26.781083475779848,25.31132926160501,41.07384268108496,99.04321503247247,116.5732166590261,124.50913845002002,134.59208098562004,97.05046752966422,67.04416650602764
2059,43.31334296682965,35.13971841275639,29.88337354716156,27.25981556554169,26.203375684764797,25.333421778335847,76.62981081162415,110.68966287445788,124.60308945587114,136.03377856870594,96.40517113082146,63.3510302204643
2060,39.49440120661516,26.194711280498595,30.426822726330258,29.27333338298981,26.727042990901694,39.59647788474842,81.78838462490825,109.2432404308554,121.41129356073446,126.81930036273022,94.11964825191833,56.98880783930346
2061,39.01031075339422,29.158394284567155,26.487302728303874,30.690973207221624,25.900377417117,35.640883861083545,98.53151434511453,126.32085792944297,126.02981111752972,122.15966871409697,86.271519211876,55.78862511522486
2062,39.430334113241415,30.354864602827718,25.28364178150968,25.271036045383944,25.414071833312757,22.76027503951586,30.46799034416752,101.70986302143726,111.39540216428365,113.48483226085244,73.6189192246737,48.7159311766244
2063,35.96980753128826,22.52854465195778,26.486108760708987,28.33101698084728,26.67387522774142,35.286351144181594,75.87577841784672,92.73583442232588,121.47420888337463,116.82653201416608,79.38167043838868,52.90419936545262
2064,39.596999757015304,25.22308599256707,29.84406529223005,25.183813340404956,27.804419299175144,43.92433993910642,64.66180838240196,99.76046428747318,121.71479041200932,124.63142145847934,92.35987816390333,63.47910441504468
2065,49.07050757776589,29.92915608698033,26.423038344624544,27.9921845808491,25.35926648020898,41.65642345366463,112.85927217135753,121.08266278084386,127.52652402588532,123.23690487574935,91.20565330705553,64.08265078879566
2066,43.67366767172501,27.109521180577715,26.181860050531583,26.44118473339221,27.142808618501654,28.95096772055085,91.51794019312626,116.4230369722518,115.76157906239472,132.85784295774346,96.9194177844301,67.52630164106928
2067,42.332255418563506,28.678537943729786,32.782170958435934,30.42986423748952,45.33012234709552,74.5881610718541,112.94129889729369,114.04258728231521,126.4841581358722,131.15311580595784,96.83186834023934,62.269291523513736
2068,51.06718900683248,24.096223508088,25.322986404773733,25.511482635693607,26.33809776073714,59.45484486636992,85.17692909731704,111.5147574977567,127.2817000420252,136.91884373310643,95.31649771818145,67.50835454853504
2069,42.12623937556284,28.983111263714473,28.68128164974996,24.696827802037127,33.483426534384954,67.7740325614556,73.74360105281026,102.20020874416093,120.43476717795332,132.6612212363971,98.75504047405163,64.7079144311858
2070,46.31544826196552,30.912084918020312,25.09034652707622,29.015287497719903,25.344510928076037,33.080903864675285,96.40715709618672,115.97243395459921,126.64238929554779,132.10255565582608,94.6806445280677,55.123681289572446
2071,47.65780628565847,29.73755642370413,29.718013398246487,27.40542191226551,25.472087873943163,34.669839086407116,72.4432484580173,100.24304567835516,115.56664288747095,109.25420217086564,82.18134442115101,50.986657519388764
2072,37.60328686857257,23.85802329265245,29.64248007073899,24.580711002045472,24.945786636154537,27.82613386421551,74.77563471686223,82.82042696641638,119.48028170551434,114.03334335913132,76.98386547346766,51.173875487007955
2073,36.6002393977633,27.40064560293355,27.937534133395754,28.89439967100258,25.49120890457772,33.355620961085094,83.23737661725261,104.13984989040726,117.94833134413636,120.94607742147639,87.18119968404368,59.12583839756216
2074,41.946211429471475,23.847406461849218,26.482932624397137,27.601403416427022,28.804678912450473,47.772259695822605,102.32140914377783,113.48417852269266,124.35228110731651,126.36335486963951,92.03629676655363,65.9992254813988
2075,43.76713386351342,29.27894017079374,31.149830726428632,26.760019721189096,27.585522933829907,31.893683697439492,98.38283206212726,115.52266538582708,120.14148738437765,109.86788914127065,79.970769563983,56.79326802106708
2076,38.55114715090546,34.98592190584792,23.818863914319163,25.868472340899313,28.656364126666443,33.525767334819434,102.96387924190303,114.76252402777322,122.8933233582485,129.92828885904274,95.47645559995671,62.05471081423441
2077,40.36701066128057,26.27572875888061,26.94825117244204,26.124677882803596,28.75366000904873,27.250332533768063,87.11964370452368,111.51458452438813,130.3510686496062,135.4115124910752,97.17247048468069,70.53473935740169
2078,47.05677384403363,25.254339034682967,28.627134639967906,27.230775920922586,28.52642560950134,22.769308282260905,64.31269911783345,111.87065373614936,124.93831568981795,120.2920338726345,91.3524058070905,54.65707391985364
2079,38.53420344759883,27.009781957604222,31.304347290039686,30.453774792027023,25.960776026519124,32.49105483563225,59.57309335322163,109.24222205636484,119.07357609696602,110.53545500898618,73.07456242257663,48.421819292425006
2080,46.00744056010389,26.747058351377103,24.740072271810146,30.092288542446042,24.554346866649453,26.925024172029904,94.37948315506475,120.40613867910311,125.13940760234549,135.79160744375875,97.7718654881031,64.58689691627555
