year,1,2,3,4,5,6,7,8,9,10,11,12
2051,40.210351680081224,26.537717422625736,34.268207133860415,31.570935752276235,34.12643102254201,73.08433054440647,120.8969980225657,117.4494004818975,135.6429299138884,144.56631002942993,117.48324222488802,64.98983712995256
2052,33.76656222004069,25.137400188509652,31.549306407056683,32.09091776886431,32.01829540955712,64.29596783049546,122.6700095572739,127.48072312515193,124.9208353107859,149.08314548539764,124.43663304608775,73.59802845010864
2053,37.13325499358006,29.59988107211966,32.26703667144829,41.8177835642343,30.978308331860138,57.66147631579178,86.31326197972291,116.12795238504427,125.96159406130442,142.25709627115327,115.45061184600362,55.96440711174516
2054,32.36229680160005,29.552975726138904,34.2999227139887,35.281348300747204,42.97809168208566,69.78735562512794,125.00812543289945,117.601411929136,112.11452320854524,119.63057871881577,97.99958582391402,44.490078413168
2055,30.45521045110476,26.16173181132661,30.036293882682664,28.82732190442593,31.109647325397894,74.31856743731943,116.15780240200205,116.560509883455,120.61073228418245,129.26746175354774,108.39086170373871,49.02975517812983
2056,31.163330836315172,24.62822568645381,29.879730581153026,34.26331168911734,30.902955558778114,30.481852391330953,95.86478344799795,125.9167984440941,127.1182394780098,145.49089232554343,115.91609365832319,60.730772877191896
2057,35.060434010992864,27.356949941600256,32.70854679636051,32.01474138327883,47.924459875202636,63.73363943937307,103.33570562015659,112.24985270028387,122.16756251076701,124.3625786766791,95.85339476374969,49.13605639170164
2058,30.593961941199893,25.811289175916226,31.55923360532918,46.31194450762305,46.34815638901319,84.04456016667395,130.15763254747066,128.45292683924504,108.82940444499606,138.3204210582994,119.14289265015536,66.68639062691331
2059,33.78860776084412,33.4178779376624,36.99339506271935,44.17119625487288,53.90006867200352,89.78542297566659,129.3678499177803,117.62611638370319,117.9758134094649,144.8658766490016,123.77273698002908,72.09061712138664
2060,33.26156657365637,29.429981585362547,30.442445560221973,33.948352961612954,49.76571020099612,73.81123108184417,114.00938654731434,126.14150786285359,105.88423549696923,144.61070450386578,114.05856545864026,61.347442884034024
2061,30.945351026030167,25.249766593918874,31.19492328997914,38.424643116276116,44.48233566932981,67.54354796230986,112.90343190555416,104.64219431380236,119.84072658538302,139.73234068665272,118.49389939771358,69.05414976580741
2062,36.96445213176592,27.137542409995223,32.09289892887506,31.235364537931186,38.33264489075621,86.67827749283897,100.7700210552861,121.2206132490661,112.73854362136444,135.973394817555,117.99574410807855,60.31992396151156
2063,35.76034522212744,27.642299884857366,32.716394438584196,31.368254521419136,31.468090631582108,57.51551547769415,89.39231718134398,110.11454404095366,117.92738504868939,141.066435861836,116.31053983133191,59.23355959584528
2064,33.538470416094285,28.099874853876436,30.66399867749602,33.418865235328695,43.547118994851104,80.17613399480814,125.3586230826853,96.67008386670466,129.3355758600631,142.53312096614349,119.82773716915409,62.52227388799432
2065,32.53061526033359,27.803593277888506,32.96087081282084,32.14303216271038,30.075981389502825,28.79503366772801,74.46639837776046,120.23914710466077,135.35224098425735,140.44407145350908,110.26185332260236,55.83230431935147
2066,33.227929687796546,25.79150334549567,30.985806446759508,35.26386203739637,60.75745224326905,92.43548088843006,125.49275958954384,120.02594375978731,136.36827732185625,143.17684252051154,116.90979748417004,64.36361840241624
2067,34.10715843251445,26.310821152918844,32.49221249471799,32.906991479543834,32.01573605577978,69.12912818725182,117.08392115721894,124.60261477534992,127.51795518256452,132.86306722689238,104.11056368829952,48.577786751075536
2068,30.569889395297146,41.524035787635256,33.189400000398365,32.072593928916234,58.37416840075784,96.83323912326897,132.1016832883163,118.97497159635172,118.90717877570033,153.57364314746115,136.2664576799038,85.43487809634534
2069,42.61826597227214,24.53413805643836,32.861565627078626,34.838811322601714,42.69441125401108,101.35690913035063,124.5975732152832,110.6657996453489,118.60177255312188,142.282854623558,123.81523141950295,84.53846002616946
2070,39.94673376238371,26.358491478582337,35.48026987786612,33.87359695994642,55.015840866145155,110.62351067126271,130.0689912643513,123.80965046581888,120.49002692886671,148.12470935485936,131.7295164742169,78.48516850293645
2071,38.596531958472646,28.65468817607275,33.39330147769507,34.657564915143055,38.83912993067652,68.93310767519026,123.59703185077643,118.77160814274136,130.4449828970674,145.1657932167193,114.21633406579237,64.05389880485225
2072,33.69537908846538,29.045637546340693,31.519149812511007,34.64295978836626,29.60614867441605,55.79514608693599,107.83085468871617,116.24115123984858,123.56338721695269,145.9996505421352,114.4190680341472,56.618679474916554
2073,33.53644800746144,26.785313927166058,32.61993657610324,33.88452663749299,50.540392771736585,66.63071750237002,131.8656576086381,130.17475437281402,127.36489158174261,135.91383659077334,113.76445781176568,64.24344282746958
2074,35.179165919237015,27.891322629619086,31.770643701504433,35.225133878759124,48.35129147459734,70.94125729570072,122.37949270493323,118.23749966235059,124.09964141350231,142.5046050868858,149.4536524693843,97.13637150021854
2075,44.24964131104341,33.50854908016581,37.103095239665976,39.22470559840299,38.8159670070675,74.11916951945271,127.35320806900799,119.58992020178279,115.86381083648673,140.42720996720226,114.29030561195081,55.421743287666054
2076,35.43817949813546,25.756696676221676,30.405996647693012,40.96004641630255,42.82045085103766,86.93619157867846,120.00554586911417,120.90045591647234,124.72362747653192,144.61863891691328,112.77123637833284,54.842796247695674
2077,31.758497305668197,29.888115984968746,33.72439344384563,33.687221033673296,46.10799134393778,92.79303276850831,119.99016754994365,120.63142924556084,117.7748929144322,135.56855809811017,113.65446074047247,59.85577321258228
2078,33.4357119478785,25.35884405515487,29.914881411490377,38.86548594335922,40.76922114458074,77.24924977567483,131.59529214005437,122.23798100052876,132.81604348976998,141.49414400539757,112.9997689704667,57.39354228857176
2079,32.20290433352146,28.982907499038312,33.22558086866061,30.99566954240749,40.9386677660146,60.80740674690993,105.3645184066057,123.0353900724969,122.57661486418505,150.64014360800468,120.04821721529468,66.56561208042224
2080,37.94321574714174,25.61029752598754,34.56928044658093,31.24502823870673,36.05330652353604,56.06962821008192,94.98907016801675,122.93579339198388,125.7632023188631,135.65291134053626,99.33160720951506,44.87595567850605
