year,1,2,3,4,5,6,7,8,9,10,11,12
2021,32.75767653795946,23.85436416755529,31.333689850772547,29.013896373188956,33.67073761257275,50.538626067214594,106.81229124774848,95.29086381160649,120.18959113898454,128.9120937860518,100.29564620495049,52.97001966725498
2022,32.342074556264016,24.323199663803955,27.937117459430183,29.660984697930132,30.91510680613209,58.8694558064098,100.43791962276258,100.28927626419221,112.01641388061027,128.90106785993993,103.69342587934443,61.19647736347871
2023,33.909983755425635,24.168612514355807,30.772419993055642,29.892447473329195,35.99153508599278,65.13580850931646,111.74892822290032,115.61316473158526,111.03017726656043,129.63068322575506,103.23877620143429,57.79149129637075
2024,35.31543849838664,25.253421515750524,28.18617736631043,31.40946138094479,40.04971778690366,77.59968450644305,113.83808258646116,116.55458117195778,121.58586129248823,124.8540654227376,95.54573097653217,45.01012569950874
2025,31.97877041215398,24.853155054651513,26.743387386457236,30.461139419837913,39.45656598119958,54.29808522341621,111.61721532273533,110.26313255808293,119.46698407665866,124.20653825920235,92.9094754106004,51.018801717319235
2026,31.520546690801833,25.2875909937562,27.577755184225175,29.63457552071091,32.29270904122834,44.49337482779104,107.1056021864154,97.83271837651134,117.43537735395762,131.2881103039027,102.97389091275035,50.34817049018589
2027,29.255960073959876,33.497993798257994,29.690564906914357,32.541404226803195,34.48474076905763,75.66077194298356,110.06731525512406,108.94450417554148,121.83105076739247,142.19592952825553,109.37933507414401,64.67578964947036
2028,35.484765757211605,25.89976848774374,28.019403157405293,29.834760859323385,29.47888477729091,77.487213565206,104.09004453861506,109.16292454947056,111.98213800670662,129.66282852238237,101.38148570224213,54.56211003214725
2029,31.0436504814143,25.775581058111072,28.642773273754358,30.950648158861558,30.682294964039215,57.074011881514664,108.24388275421312,112.07014373469143,120.72298175288132,120.35485642651207,105.0444059548198,59.151671772325244
2030,36.85507189226311,26.08878680772807,29.219960153577954,28.58641750949784,35.883482803412846,81.47657039619716,103.18027497757797,116.67060230428056,101.1638837401589,136.01074496003488,111.978643095238,65.05317184263576
