year,1,2,3,4,5,6,7,8,9,10,11,12
2021,351.5063762402116,302.0284168325625,376.78677048408304,329.5807381618213,334.07036971297316,216.1045405777064,182.9922547398655,143.24739304686557,153.16702483129103,161.3645191161923,214.74966702908995,265.30537879715644
2022,328.594479066945,266.76319867369494,371.3741786497526,334.24627049315654,347.6266415571404,261.7195907347131,175.0370866703465,150.38766664109997,143.75543610727283,169.3904557457881,198.70271209620012,267.22957470886723
2023,318.99931862986807,305.04409178264433,372.72380977331807,325.56265651269416,334.362210482988,248.76198930592932,194.46067091846328,136.5981762321622,149.4554953167948,165.6804568439096,208.37244632706702,288.6027351087586
2024,322.0666664693181,302.3281167353999,386.08049788205307,338.332285960308,350.6400008931765,255.27465440384697,143.95739195645552,124.63511378196961,123.83400107673283,166.37525090438274,203.6367853583072,303.6986490009259
2025,343.96143654173414,276.1967039530256,359.77051505587593,338.9080149102617,334.5521708484449,237.31759648482497,156.70803250785502,138.44816837672485,120.71905671422408,167.55071223003674,195.67284519956166,236.09734745763276
2026,329.58391942132897,295.5937855204442,414.3083870498693,345.56171270606256,347.5228786360977,299.45648803552893,179.40987293978705,150.62282048112925,157.93320215712612,164.43261285150496,242.83614122870856,258.77206134154585
2027,313.8477778830069,323.42292062844786,410.5691474012168,343.8770684377942,325.16243539274546,262.1912736800499,176.79701821768225,151.40457200618238,140.04442730291584,162.0518829841724,209.50464610991358,313.739184493679
2028,382.52215306029024,344.361840206548,366.6375325850557,323.3387559375766,336.07972703937526,208.52367035880735,161.34384365206762,160.81991460849588,141.83993074617234,164.67912017497423,205.2508392466313,287.5897537605652
2029,332.9575553342798,324.1776123006246,361.0503892891902,344.98956758302245,355.73289143066177,293.14324478811005,186.0102014020465,149.9645197113378,161.85610505776842,171.99461692878967,232.0935750682514,324.21424788808883
2030,350.48906731913047,319.8224977706601,381.8079871598805,352.8700412893191,338.28857694927353,251.29737591087894,174.73223190406344,148.9495332422272,146.87718875112427,167.19523968872255,204.49171651428654,244.07983526331475
2031,314.2481040250191,312.1773980798254,414.2798867311021,360.3771718460204,359.08847608301215,287.5541598517597,174.34445152794683,149.77194604807494,140.8387430896376,168.57233583506925,197.11406045687946,267.3694443289514
2032,285.50996615058574,320.3432923757521,350.86821922470074,342.894517152081,333.04940536817213,275.9524778220145,182.81363534886682,137.9242017808105,162.8055967053443,181.65543486332373,200.8617231257034,263.2266150738559
2033,348.7290902444441,342.6023679230305,329.5237981319197,336.8704494146931,343.71921690491695,279.86567364243706,153.4244196302191,147.9544058719674,123.40238653449046,167.9383074723948,184.11168706809144,341.0485554994151
2034,323.00988419945855,296.9013611124192,385.62125675039283,339.1190392392232,347.4972270821147,242.93244780273957,173.11719172463432,122.02512104482386,145.96783542536818,168.10806181399772,205.76950879156408,282.6904529592107
2035,314.267332323009,278.6562045500917,353.96278936578295,349.82252885343735,348.40343678668484,278.9680277285974,185.81857844256257,141.8660703689506,154.43997233317,170.15961850985386,206.18085412110057,264.5556411817097
2036,328.14139497751165,310.75055688134023,357.7444877594091,360.4757941408324,356.6119258289014,234.98295500857196,211.42160028222614,139.698436457388,150.85802543724975,173.39794018756209,209.98679888000962,282.59090118819506
2037,343.0938748148727,302.189282028676,397.89267938008544,357.77776344619923,345.40350645784997,250.32284560279425,157.05303268824494,139.15034467471585,146.46146305680554,161.997183379779,220.4245248209819,285.52465612865706
2038,309.54924856643237,271.66645917226583,351.8224160418956,355.0724973851345,345.2328423263389,277.69799611020574,149.2519089317841,152.34119212294678,149.43103982402837,169.283282356186,232.53370408717922,300.7386339641372
2039,317.8792160943496,263.19080648991564,371.2864853896435,342.5600154610683,352.4778602659539,252.55942281483073,155.41126640284668,128.8467896891279,148.52296655931227,159.1297365313598,184.96624617170946,311.73517066562516
2040,342.78946505608593,325.8590828874084,345.98685150329305,327.64723491299634,332.20248732790816,235.63329797750416,165.21389468219937,135.5732144072201,145.1764666316432,170.24173300921555,202.93916960095817,282.1335934566345
2041,319.7546302324681,344.32791992395204,372.49606366638636,335.93312119766176,346.9440428007762,284.233247252254,164.53306297122722,147.56927331789913,134.0799570482344,167.6621601721487,204.95850141472494,290.2440694304632
2042,365.0753511571953,305.73395424717125,361.1671105433623,356.1680101269728,345.6897460636907,237.19948295898718,184.18822013343325,131.29590983293863,132.09329275672889,158.4682832954545,195.43565217979963,243.4265900479089
2043,339.22930638699154,321.0693556995209,341.34586438114724,345.7949856652361,325.45413628463064,226.0794196581529,181.2838154952617,155.22770638829746,149.78299072616494,173.6079562993659,202.8690059543884,293.4633274791562
2044,318.35673994371774,326.4861084683736,374.3841466076645,360.81119742275916,334.2424287515325,248.16846451500777,165.16343824559732,132.28913759162424,150.25912503551888,158.51768527603872,202.0797253444872,315.32240050826204
2045,298.4583417006278,286.98656171822284,358.34464459606966,342.08545579413806,363.5675767329845,291.30563402058897,185.0962635876046,169.0663216207311,162.67017953473515,189.39303520241302,211.4441492465536,331.8544467886442
2046,298.2722632438807,279.0927937035494,362.6775047317816,350.52511365880673,351.2524985336803,252.0433835103523,173.51094682542694,153.3163765488031,144.770150641177,155.08793848096892,189.35561635946232,295.94701819970584
2047,343.85016836205534,323.297524651281,357.7373919528879,380.79575882132985,328.2129920776481,225.87535859384778,172.34266210163935,139.559481703239,139.88252259249626,162.84131567609973,231.50406512173583,285.3418611940151
2048,323.51147866457296,331.6408215275142,362.40395868720384,338.83759039824116,345.8832803610226,275.09440440634575,210.48392780864077,155.078605620233,145.24177053137035,165.6030989405949,215.42668640675365,332.9103628842119
2049,367.6282434845088,330.73858894954316,402.3895160157574,336.55591066120013,350.15141924484186,239.86893353282807,177.91043561462183,138.53435944825728,150.94709216683546,187.24261053412596,202.09444125583857,291.8622551308038
2050,357.52627795276356,288.9602925258532,374.7051036868019,363.6047992552368,356.57413097951576,279.31843661897204,158.33734190627672,153.55122387438885,137.31971038721207,168.04207990857307,207.6511696668733,278.0633358075625
