year,1,2,3,4,5,6,7,8,9,10,11,12
2021,1.5822704225600175e-06,1.3156196937032488e-06,2.2757420603270498e-06,1.167312174465175e-06,5.773419055115826,2.3270436428520997,86.46160121957368,428.0549155600123,189.18921931903338,99.83593915723317,0.11305864181318749,1.2324215463047358e-06
2022,2.156365283075828e-06,1.849931773043785e-06,6.169324626275842e-07,1.3441244382553668e-06,9.433090727426043e-07,22.69935625733799,162.25973401013536,417.95251547265576,214.03489742433064,82.01810205613573,0.8373173791257669,1.8649549300730965e-06
2023,1.8036531359171784e-06,2.2227895300640205e-06,1.1264248429755023e-06,2.027942540845222e-06,8.838653357229216,35.48556667363163,92.31998447971785,535.9444686185556,119.97083841557856,23.501640210611086,3.365660105964846,6.407926963011875e-07
2024,2.0066305854140956e-06,5.646075390302672e-07,8.160118480568765e-07,1.0178908299520656e-06,2.4924188776456133,39.56092653060101,141.56033778238196,343.01152914850155,326.7639178289271,42.70302837918623,1.2457432670202073,1.7926916078321116e-06
2025,1.4051252950471089e-06,1.1670142241928435e-06,1.329923147933474e-06,1.2408480879297407e-06,1.9963235667987084e-06,41.906010688179464,96.69516145776933,209.89527387933043,86.7611322466575,45.026607131208756,1.4626892992193593e-06,1.3173222637511307e-06
2026,1.7262109144655205e-06,1.2634703314407363e-06,2.1113784491522964e-06,2.0914954010826466e-06,5.3996001677806325,88.29724161955083,149.3336390112148,357.72708152173755,276.1826350740872,93.90157738689474,3.2096515606622963e-06,1.7916726672603294e-06
2027,1.719857689991293e-06,8.368630000840539e-07,1.966595704258398e-06,9.424488391446209e-07,0.3440670274747996,33.154354403218804,66.55381389607089,327.87808892654505,187.6245373086973,26.624410633625715,2.752456346576779,1.5139045589676731e-06
2028,1.9600225184456656e-06,1.2059308450085065e-06,6.169942371716976e-07,6.401483967050916e-07,0.43661427480027326,22.48589091699588,172.47449527664014,119.16023352555315,284.0392843151498,26.957012451398928,9.145356321457742,1.7262679879986164e-06
2029,8.041378918018407e-07,1.2113837327782105e-06,8.961763709438199e-07,1.8289870918512277e-06,4.922972024980153,12.029621772843068,148.07986162637033,201.51316053291424,104.2444878936671,41.433330353653226,0.006994851061139932,2.0076223227777574e-06
2030,4.571196647964577e-07,9.076519079968743e-07,1.3637810304816507e-06,1.346892326274787e-06,14.200244375381912,124.10234484681513,235.1001090076461,121.99649851070613,139.13987439574885,54.599256107915124,1.9927732749847927e-06,1.5521362817929418e-06
2031,1.0586123121852197e-06,1.3488617244232107e-06,3.607469902540582e-07,0.703564874250692,6.768288626890591,104.36866943437906,146.10757560741214,485.49433895965024,368.68632633544416,132.97917530767847,16.174798751027698,1.332982703527214e-06
2032,1.046138427456364e-06,7.870144361892504e-07,1.4487133677096399e-06,7.821729971026952e-07,27.21393126032334,90.78613864349123,258.83241517977024,378.2059828954098,290.08404834130425,192.21153809851546,0.5995047289632378,1.205805749413642e-06
2033,8.744128285899221e-07,1.0094487452841187e-06,0.0005573074311972746,8.642993590443885e-07,2.6686980385434524e-06,31.696781491542026,307.95949798754,385.96914302782903,293.32902472830034,185.42630988555206,0.07123388788703322,2.1987279363407676e-06
2034,3.238698571289497e-07,6.987900726661791e-07,1.3740232795945915e-06,2.5304215246125205e-06,1.4979593829799355e-06,0.43032451550147566,40.740584590454326,308.0027402114858,178.83304564495893,63.40438690660743,0.04591229486104787,1.0628383672423515e-06
2035,2.5591870362061356e-06,5.163511309949789e-07,1.4777463856084518e-06,0.011987782376238374,1.896297413242372e-06,67.5529860308974,125.40092195493654,292.4893655723386,203.30678084055444,70.40031711849747,0.17147099760090756,1.2267567416674253e-06
2036,1.2830595389653105e-06,1.3346337020487124e-06,2.0628753986335198e-06,1.5636621420557325e-06,1.894292359880653e-06,130.6141892971431,189.61509513938114,138.97381447505154,68.38187635086805,98.24898339282926,0.03221317422214058,1.3496475722803784e-06
2037,6.399207497771017e-07,1.3142981066390624e-06,2.0236664306001696e-06,2.2323386890650405e-06,1.3892259581626154,2.3831268575860602,34.238308795467006,265.62586168376527,160.22417861491175,108.19526676968263,0.21996058182655115,1.2641068273663314e-06
2038,6.129829922489807e-07,8.296196712383163e-07,1.6663190244382023e-06,1.909016815198827e-06,0.010407936291469964,6.308889412662603,128.90935283611654,257.4173224675212,197.98762973769468,112.77053269235492,3.137270617302232e-06,2.7955615070386054e-06
2039,1.610522134910391e-06,2.0845063466322708e-06,1.3333738079084072e-06,1.37438304665693e-06,15.804552150609013,40.296318910799606,159.55168484576686,556.0722803890089,101.07041096674365,62.48867411179758,0.1655564602564823,1.1535111808660537e-06
2040,1.2983235061811603e-06,1.833551008236841e-06,2.038271463092273e-06,0.005328316271448443,1.6504684442725062,133.64640367958,113.34595739407683,327.54081712882873,319.2485370290593,99.69584727807907,2.0445860186982586e-06,2.3172538155728125e-06
2041,5.845455529108263e-07,1.468371704897867e-06,2.311049702673854e-06,8.91477487304559e-07,1.94734211965665e-06,15.638930835985963,66.78796089539924,317.69685315417655,208.8810456634417,63.182625390249946,2.102648082263987e-06,2.236471935975746e-06
2042,2.1999801946608865e-06,2.0151819382146785e-06,2.0105303969173843e-06,1.041950863219202e-06,0.3932905351626235,24.748426477286948,253.5297204450943,248.95449717089434,327.1751348949468,230.76608055394726,2.138486450171776e-06,1.05608823226858e-06
2043,2.255132717332519e-06,8.839626081393319e-07,6.928171886821473e-07,1.3105162329833292e-06,3.9310834225794844,4.036726219317413,150.18805171566052,130.15712514087488,120.50913468665566,61.32051264864457,14.320550609289414,2.173170146925309e-06
2044,1.3317959337352897e-06,1.3306439650680235e-06,2.9565220076494535e-06,0.006063021898432382,0.0390467616825181,57.595536537796775,104.72358729608871,166.31052301959096,171.98288004156555,130.30209243301883,0.817894405932415,1.967999412620962e-07
2045,1.245679137603978e-06,3.6531997450506923e-07,1.8156075968573048e-06,0.7496509480151407,1.5858325376153827e-06,12.117502073034197,274.1607535681342,353.28957191657565,278.35863403466226,81.74089851320248,2.9891202144222335,1.4374279654167376e-06
2046,1.2133751961004504e-06,1.2611000289353162e-06,1.9068790007716762e-06,8.89055800607033e-07,2.5906651720756298e-06,52.74957718910801,214.58530343834622,244.48671805104533,265.9157454126777,122.7083971230832,0.023541340413135093,1.672500336812563e-06
2047,3.877635479625179e-07,6.274945599439935e-07,1.327490613926585e-06,2.5616588760393153e-06,0.0030298771534435936,28.69995509608653,190.65368325687396,431.4295199338507,327.77218361119697,100.42843735356699,1.4416380477534,9.89669987040376e-07
2048,1.3427085119809594e-06,6.308969181805591e-07,1.5232452864936947e-06,1.1517594321891348e-06,1.002818087927426e-06,2.3148682028766377e-06,8.589758313219313,63.71565299088985,183.8235698546814,132.5889688031629,0.05613541818342343,1.37092591864897e-06
2049,1.1473192453389003e-06,9.780987399555698e-07,1.5586623085680572e-06,1.5290231698012442e-06,38.70796784412485,44.74769559661529,257.1821587080896,269.648912331564,126.98114068289014,16.442310242207714,0.07514299226384917,1.6540007937361347e-06
2050,1.1009545263571444e-06,1.977110576600067e-06,1.7619207279473836e-06,1.798135498454094e-06,0.7008123324693208,48.75396027081342,20.6024005220165,418.26693394322876,240.10928154639748,84.31192704245063,3.363121165383153,1.2833940307067553e-07
