year,1,2,3,4,5,6,7,8,9,10,11,12
2021,33.785889953681,35.22535186608228,37.674729265332275,39.120383301652765,38.75408884484084,35.51992467898087,30.711156800928983,30.09677592232989,30.34092403907184,32.52719832721291,33.93424877654719,33.17724175396194
2022,33.24092390411861,36.29830722298052,38.066332894642144,37.7905162150299,37.556739701525245,35.530193261570794,31.925857730033744,29.954295135146772,30.685113437249143,30.775285750764652,32.5793653176137,31.957900444112756
2023,33.447105263702575,35.406169294885125,37.81695383682784,38.126064050453756,38.238518872766754,37.40258880251204,32.926929959377205,30.397849714062,31.319343088004427,33.041344555332046,34.36769699718885,33.55513565646874
2024,33.49763324635187,34.55351703381725,37.99949411141954,38.3659402094049,38.51586878825484,36.873346879144414,32.10442862282533,29.170801689040672,29.461053981734064,30.442970481753534,32.26662360895992,32.747033652557285
2025,33.5665250273013,36.09470408797641,37.9295954625004,38.891728264189034,38.010061377000596,34.47698336065236,30.693011709760103,29.323771131949254,29.23883811889015,31.329468675306053,33.40990107927576,33.54226065820583
2026,33.26408957427452,35.61009682859974,36.91494921336225,37.85149528716688,38.26624886126355,35.99521625838949,32.234858071875074,30.22672565196181,29.926910121561136,31.959435793213952,34.06960524001641,31.878803796015507
2027,33.51199031312076,35.456448436544925,37.74198467063658,37.05929117844031,37.05265579791834,32.82050163584329,29.91947524668624,29.18635592901824,29.924007084156223,29.959476917581426,32.97711133175729,32.1485398723879
2028,33.01899133512812,36.07251563885178,37.56315901098006,37.90579559238912,38.7329269067334,35.262613928247724,30.535196052864436,30.517916975436535,30.345573259689495,31.05443434334168,33.81754301113683,33.662128310637826
2029,34.505419743160175,36.04479825580326,38.64112515350713,38.60391125225966,38.19671949211968,33.88841214833761,30.746136099307808,28.992825259406178,29.84733174927976,31.09039199719705,33.32471758641203,31.918994770842325
2030,33.68167248161845,35.55330042333768,36.01198863290242,38.85264812919512,37.30817379984646,37.062370153690956,34.37649549325788,30.164796169538658,31.39979166389259,32.30838889309926,33.89738625365193,33.408979983722205
2031,34.20825963246456,37.20702230327608,38.90639758019789,39.24383839430674,37.73745029122787,34.930905571503196,30.32366412814217,29.20513843589866,29.709202283618023,32.26667505810471,34.20127383613281,33.61379076576371
2032,34.63189256102209,36.489333765721575,37.5958987410418,37.72870724483141,37.20535699227042,34.246134739417144,30.984911965096718,29.31221758598076,29.448252573984497,31.90072286239993,33.82652343123578,32.94918258314468
2033,34.00854422002869,35.39827237017297,37.62786776494553,38.36255141241736,37.926348438391976,34.72174023957237,31.94226312171091,29.74662314063307,30.871559925881783,32.752980676895994,34.08705352871325,33.020452555285964
2034,34.204766848156375,35.97243168196051,38.93234753051366,38.84071042437774,38.211832573175286,36.53405692469217,32.468486891538916,29.3217342292923,30.14995964567219,31.317782133141904,34.13529869912967,31.856648892004973
2035,33.29798726499323,35.464055300545475,37.6350812143093,37.33692157523664,38.253287681344176,35.673015667163874,31.513492157194364,28.633262154744124,29.934332411810445,30.797330512812167,33.368433575321575,32.560652184278396
