year,1,2,3,4,5,6,7,8,9,10,11,12
2051,34.50676768489186,36.67399946308962,37.8030652351027,38.548493358236875,35.650660383611935,36.35222265433444,30.698790100106738,29.504598401080436,30.51079698937321,32.55659479582151,34.887527631893995,34.07440185691214
2052,33.88306595508767,34.37022088506745,38.876489248928976,39.09753881164364,36.50623990512054,34.67210656798128,31.762192815997174,30.103888620424183,31.66453639982639,33.09909712194053,34.60261305948893,33.60869057572596
2053,34.263113785929335,35.2576749821283,37.12554988174108,38.81589879515541,39.15098691756693,38.304562034582645,32.91213045997453,30.43840033041098,30.80849543331318,31.925152606904284,33.70554458134952,33.647926271267316
2054,33.741272952373194,36.43034752328679,39.12491892588429,38.95556292806225,39.978816332916644,37.112560502624156,32.96410287243697,31.210114401740118,30.7334988222413,31.996818964858626,35.26570485054746,34.590885256108244
2055,32.77590756177896,37.969604926795704,37.86392449354577,38.062376805664876,37.18760514133305,38.76376563652863,32.418537804878106,31.0211447242562,31.659492086687894,33.003290466521555,35.00961864547923,35.1068515814607
2056,35.89555389266736,37.52791232865162,39.123892232952514,39.14713404063242,39.326231143568684,36.76430130356079,32.06552157022005,29.508910712107692,30.678301726585847,31.27556923527748,34.483044777628976,34.33970378810762
2057,35.13579005983936,37.32228918595718,38.41996680729848,38.132272687638064,36.592415741505995,35.25406888559006,30.97265860603157,29.163100656142248,29.71831855202816,32.681681191404174,35.603439807185325,33.88055080387219
2058,33.8157919415674,37.69689633775568,37.166315284367634,39.41281926449742,38.967190853820476,36.332272161443925,31.019056561402998,30.473051862537087,30.953488020696902,32.15232683630563,33.70424854416556,33.9494978930688
2059,34.94257483795354,37.20391408829946,38.22976535709706,39.29853344299791,38.930236614181275,37.578205951753716,33.441041612153626,31.337570216567947,31.449596517077055,32.356521422652136,34.89747918425732,35.19075729109106
2060,35.56946462662633,37.784991482466054,39.78093634178628,40.10962630049986,40.39773919913472,37.85914776290938,33.884465351540875,30.96118370404905,31.58830699394205,33.61541814025909,35.42324775425475,34.82009761634405
2061,35.95956678541545,37.65073004039097,39.229473496706234,39.3023558022527,38.577431368181884,38.50555585006889,31.680839967995116,29.971297791236662,30.57278061733673,32.38062777502971,34.52757543780956,34.84419934361853
2062,34.35558382467757,35.67422507280549,36.74876327544658,38.09155372024013,36.32315784038016,35.29183348697434,30.99428624443518,29.73738476475199,30.395759699950737,32.91255284949825,35.19826684631933,34.904643884821056
2063,34.34917595016263,35.73629285370499,39.271238408544235,38.96631853151371,38.26340001654762,34.973757506996584,30.671502779991656,29.409026240835356,30.215880984065624,32.15093680910282,35.26831897187794,34.66299867877678
