year,1,2,3,4,5,6,7,8,9,10,11,12
2051,32.78145432134694,36.93317508122694,37.7141716559458,38.47750233021701,38.68148071210123,37.6297804469889,33.43412711236384,30.494444410331784,30.923915239282444,31.617360393761366,34.471767262726075,33.46709769166764
2052,35.4225659232677,37.67149232629881,37.02226795758295,39.71360708508227,39.175471854653885,35.85691623386976,32.11986178281134,30.40380922785475,30.54241571400861,31.018259295010168,33.731136550221784,35.76466548659938
2053,34.81750045023348,35.988054638325444,37.82795334090671,39.53030121828615,38.415739715312625,36.750091530303216,31.96139981621763,30.860416653081902,29.686968144788366,30.07829421558926,33.546399409793246,34.18867714057804
2054,34.92034042125559,36.9536235708873,38.01252857494392,37.22131957266306,37.56696921850376,36.33617945946572,30.890017293051425,29.515476583290884,29.59821433051434,30.408802952744768,33.22626521383841,33.61647089991854
2055,34.89091472323162,35.491858596763194,38.47812559649228,38.144098732226894,38.726002192162454,37.28628885430842,31.541198946983037,29.39439686821087,30.690509343099862,32.01000037105136,34.50947180080546,34.222899424338614
2056,33.50699655336301,36.91441956417575,38.72026162555458,39.012919615008016,38.25581161695764,36.570267395557,31.847226044631835,29.447534878941692,30.04290672249189,31.49395801397601,33.65131308549704,34.77608233807284
2057,34.62483407793026,36.20826441832541,38.88699476623214,37.0023203854478,38.11907633069877,35.74866402145115,30.112293490855276,29.76262709595341,30.075188720621604,30.95165596746418,34.644146959864536,34.11903019946825
2058,35.119605493841085,37.45411832888489,38.98047856521498,39.27222423001298,38.40053530738226,35.34114867009866,30.83880696839342,29.684197591952135,29.934518177143186,31.852521201541087,33.86060366707059,32.48730328468688
2059,34.54495652075177,36.365492598953,38.41437621730431,38.01411705794736,38.30040355387287,35.4622653398827,32.19552610123539,29.775352504194384,30.653130943341992,31.906277156429077,34.32423304184373,33.684643647322396
2060,34.40729482039915,37.84057055063824,37.36141487816262,39.28794720961363,38.58954368120251,37.34730494798423,32.34502251753838,29.643487687769966,30.006641684929832,30.07415441403085,33.266204677709524,35.116482892573636
2061,35.388811761129155,36.0849747732009,38.84344101029705,38.98152407177408,39.041232806969454,36.057700274606496,31.67688648810962,30.052757855228247,30.328851047306088,31.477663067245956,33.81373260345798,34.51315603257371
2062,35.10138257212893,37.111694118838784,37.741449756206144,38.983277297656095,37.203610191128696,36.07980825415066,32.65686168672027,29.684684047232945,31.01137134537123,31.76366765074293,34.739810863669085,34.053732873337225
2063,35.340952767395265,37.17135985760087,39.3512050527274,40.02978636112348,38.85683950261637,37.35297690636343,32.09222513711201,28.972737784527645,29.936807432149063,31.401110743943644,34.33462067157885,33.04384392168111
2064,32.93117542996388,37.27315800454083,38.560146100436945,39.20440910210423,37.59860655200898,36.7085019919401,32.66760527113779,29.97253230502056,30.573788458825216,30.37334312648546,32.48258848454881,33.0850932092496
2065,33.26952480277064,36.46015265492979,39.29755803139279,39.07520453720938,37.96426939779923,37.031108430282714,32.70924934757061,30.1743474740433,30.927522290730437,31.396700483671147,34.464260222852786,34.54298108469365
2066,35.16375578374196,37.44908793813765,38.40720244200101,38.94167967959686,38.19522798476583,35.41580051873148,31.323772849563234,29.99940439468062,31.165672949190306,32.86782282913027,35.084135397220734,34.93323818699823
2067,33.82881848190439,37.55380093877647,38.92039168259385,39.13177065275612,38.35604962668807,36.91917357681536,32.29907793574604,29.880422555823635,30.218771889482646,32.1633080443265,34.3762512391633,34.788636765741295
2068,35.078490584626294,37.119772311958165,38.43634111812541,38.49728290055017,38.25625229976551,36.79859496114149,31.70723390670008,29.85448870757506,30.81718990680703,31.67066805589347,34.315861410348234,33.21965484266798
2069,34.773576076411416,37.96729155351984,37.552826620599475,37.89563554983045,38.162048253915586,37.65360553273194,31.6454978942667,30.970621877627096,30.237328281225587,31.294109727107173,33.978948668126414,33.726533985335884
2070,34.77448521114184,37.18593189148141,38.69156767202335,39.14405577893555,38.56826076463972,37.365247149070015,31.66186954008226,29.939587862638927,30.693541122136732,32.59920664374954,34.84518316856843,33.57250957765147
2071,34.22305017740791,36.929785895057286,37.04333270449875,40.30257301577171,39.17711569106876,37.9021222643745,34.2457463358444,30.40047033644795,30.873326880841027,32.244184935718266,34.99905127322366,35.82985831976591
2072,34.940746577772266,35.902898119737216,37.855540233312475,38.72195709931589,38.397750209615396,37.97374613106463,32.6277986420467,30.385274279866945,31.66739212715033,33.031232605477705,35.12802181359825,33.293375123792984
2073,34.770067725326975,35.425227031173726,38.291953423815784,39.2912731207357,38.02257590041505,38.04898672551112,32.212209956144704,31.179646703851375,30.633293176944832,32.37227510722493,33.215994563409865,33.78946510540277
2074,35.05613112089922,35.15283842201175,38.63501644045854,38.95012797571215,39.13039694419545,38.33583326125841,35.65393322102867,29.838810425850667,30.519481460512107,31.95830080331431,35.20790987173094,34.21649073996865
2075,35.79241596324984,37.83804694974367,38.144889921629556,38.54772932267205,38.26388119592045,35.639680087341546,30.573589754336187,29.571543823777002,30.17652497856454,32.627459792802476,33.592600919677224,34.03995484886725
2076,34.03054143280664,36.26476512874752,39.07151833567176,37.76052869524231,38.21739595750784,36.89503120139572,31.277791139400126,29.263726936196825,30.06047674753548,31.581644607708025,34.26966881939335,33.90172224680661
2077,34.20212718070514,36.07226597659446,38.128924225231835,39.612360806191234,38.02643235018707,36.07998756330286,31.469005867202693,29.697116065292775,30.49843598068849,32.09296698312064,34.39831763809913,34.28840759687323
2078,33.05729854080887,37.155111601355486,39.02633722276119,39.444428397878596,38.171210103761496,37.5233059908563,32.313356377125544,29.816355560860213,31.09569586015554,32.735182721725366,35.02413279258596,34.43722254443595
2079,35.150759012710125,35.863054561082826,38.02804871392362,38.907530588142215,39.85492998097394,37.488258910513444,33.786612963681236,31.13826225462817,30.94211344482261,31.894837357973675,33.945288272936345,34.6378720981095
2080,35.26437782525417,38.16314552435681,37.858680605708614,39.26496996897081,38.811583015389296,36.52942364349388,34.47585153313582,30.330793193863432,30.73554674157093,30.143905639493884,33.22482373748912,34.8104000999732
