day,mean,min,max,var
1,2.7247654432106962e-08,-4.787306580595596e-08,2.5219105980126216e-07,pr
2,3.864690880766478e-08,-2.4638575326639605e-08,2.5210741449583974e-07,pr
3,5.3628016131398594e-08,-2.8050828445549775e-08,2.4612434367763304e-07,pr
4,3.092788259040544e-08,-2.0126902389075665e-08,2.5163631629468236e-07,pr
5,4.13415302654712e-08,-3.596870577118833e-08,2.516713525016141e-07,pr
6,0.00010478867437717216,-3.24023848173779e-08,0.003142075382081721,pr
7,3.0637599171552436e-08,-1.880373762481751e-08,2.5604871013268385e-07,pr
8,5.340415273691875e-08,-3.873430031025937e-08,2.5819282953616773e-07,pr
9,3.877998073819655e-08,-2.7017849690832418e-08,2.4821091375252715e-07,pr
10,4.535299331950486e-08,-3.489193821092362e-08,2.509163660493573e-07,pr
11,2.7824978805698976e-08,-2.891133655022971e-08,2.429621001763944e-07,pr
12,2.2084982685361618e-08,-8.851531720344914e-09,2.3712978463748998e-07,pr
13,1.9961418211343945e-08,-3.255589525382079e-08,2.404357008941186e-07,pr
14,2.5807488470783196e-08,-2.5747623848269042e-08,2.2532901787630577e-07,pr
15,3.30303650774103e-08,-4.912176115934372e-08,2.352138207358855e-07,pr
16,4.259308687060545e-08,-2.9648516258422388e-08,2.2305264857224326e-07,pr
17,4.291004570217595e-08,-1.4971651172565944e-08,2.4306752278712027e-07,pr
18,3.6497167122072796e-08,-3.365563432230617e-08,2.3380248522756088e-07,pr
19,4.310072487044932e-08,-1.8192254057691596e-08,2.4201069762583963e-07,pr
20,2.7284111109804253e-08,-2.5736555246547324e-08,2.411336329542155e-07,pr
21,4.256776450349648e-08,-3.676104579556729e-08,2.402782851634323e-07,pr
22,3.473399039080058e-08,-3.485621919844614e-08,2.4648850900402925e-07,pr
23,0.0035805133096759455,-3.242862878542959e-08,0.10741418686837795,pr
24,3.584773511089982e-08,-2.3795322974509284e-08,2.4257522944032065e-07,pr
25,1.7983283230374228e-08,-3.113855290237316e-08,2.312519658938863e-07,pr
26,1.9190434886192476e-08,-4.5212688674944416e-08,2.2853305958549628e-07,pr
27,0.00033378370034843456,-3.722973966457128e-08,0.01001159988450141,pr
28,3.100751300658006e-08,-2.5433379641897765e-08,2.3867877612201967e-07,pr
29,0.15265380815170937,-4.230639476722377e-08,4.579612065130612,pr
30,3.755658468038992e-08,-3.03812910835133e-08,2.543927303696398e-07,pr
31,0.0023291160755759674,-4.8195446232245144e-08,0.06987252300259232,pr
32,5.6764300504948866e-08,-1.8868505304302078e-08,2.535465640589546e-07,pr
33,2.9641352051839472e-08,-3.3815357226914224e-08,2.3834796912320891e-07,pr
34,4.3481490143331575e-08,-2.6282984168851223e-08,2.556613325781327e-07,pr
35,2.956532895805215e-08,-3.7677075872609565e-08,2.401506717214096e-07,pr
36,4.770211959819166e-08,-4.718149968855363e-08,2.5409195353556004e-07,pr
37,4.488023636768566e-08,-2.2951890542141705e-08,2.4908918941004525e-07,pr
38,2.222769641606049e-08,-5.291686246391262e-08,2.5544692790975923e-07,pr
39,3.437183803574227e-08,-2.273322354774633e-08,2.2186900646033706e-07,pr
40,5.288345443513363e-08,-2.8548582544826592e-08,2.450896686172531e-07,pr
41,4.231158092422786e-08,-2.8985978808618586e-08,2.4548633813914513e-07,pr
42,2.842254481094814e-08,-3.039604424844101e-08,2.559483856849387e-07,pr
43,2.0183841311130554e-08,-3.68517377131664e-08,2.521870901087018e-07,pr
44,4.797341546250006e-08,-1.1883132748812228e-08,2.498011544084593e-07,pr
45,3.9889868394529345e-08,-4.6758743082980664e-08,2.5620652708996267e-07,pr
46,0.0008374509031631334,-3.58933896865578e-08,0.02512168058203082,pr
47,0.05800814404403492,-1.9051524761446126e-08,1.740244005768245,pr
48,4.959462359596923e-08,-2.1237673117576746e-08,2.4666047551238324e-07,pr
49,7.232472086304256e-08,-2.0865687501074697e-08,2.55456464493704e-07,pr
50,4.643909259412799e-08,-3.5970738431761354e-08,2.4921769065383504e-07,pr
51,3.405372811266259e-08,-4.686410387854902e-08,2.5486033711526064e-07,pr
52,3.971114114297081e-08,-2.984360051793256e-08,2.4392906642282867e-07,pr
53,4.916803236811636e-08,-3.053797491553194e-08,2.550841515764044e-07,pr
54,5.998320235766146e-08,-2.3629128046809308e-08,2.5280222233581426e-07,pr
55,2.30509647193798e-08,-1.0011977738233418e-08,2.5512808703589e-07,pr
56,0.002237341060307675,-3.575448440943503e-08,0.06711911270496243,pr
57,5.0579510779855535e-08,-3.272877448296479e-08,2.460726214218451e-07,pr
58,0.04313447807909775,-3.068126910059501e-08,1.2940330444145163,pr
59,2.326315651956279e-08,-3.3565059268788706e-08,2.375709131109522e-07,pr
60,0.0031915856647217493,-2.8482351739400903e-08,0.0957464435247616,pr
61,0.00021479351050328343,-2.6356175011945938e-08,0.006442780344611622,pr
62,1.883336393935371e-08,-4.089210154101773e-08,2.5477405129072625e-07,pr
63,2.243041932306894e-08,-4.328707669276299e-08,2.305205616448211e-07,pr
64,2.8914329103350072e-08,-1.5759434818154095e-08,2.3313516072950525e-07,pr
65,0.0029202734390480043,-1.948643376917448e-09,0.08760731690858588,pr
66,0.009663520474351059,-2.6155641659310972e-08,0.2899039925837657,pr
67,1.5294773671319575e-08,-4.0388782319248334e-08,2.3585922548299525e-07,pr
68,6.380959388619653e-08,-1.7704522053871003e-08,2.5546160202873864e-07,pr
69,3.5941381638134614e-08,-3.069701818574292e-08,2.468656157626984e-07,pr
70,0.010549723383768484,-1.7871737137485437e-08,0.2392428540033837,pr
71,0.005927407987825516,-3.7391450720647424e-08,0.177821542279873,pr
72,4.7234027511111774e-08,-4.301360635074267e-08,2.510917261873173e-07,pr
73,4.104124713295e-08,-2.7832172281476155e-08,2.4709175606797804e-07,pr
74,2.8039792288441223e-08,-2.1190110403948158e-08,2.322173113043735e-07,pr
75,4.058147636075824e-08,-3.8028185133572964e-08,2.517258046199525e-07,pr
76,0.003089487581807391,-3.334093114645998e-08,0.09268407711727732,pr
77,0.009048743071252406,-4.868483317083398e-08,0.27146081147225704,pr
78,6.730282658265527e-08,-1.9718114267259437e-08,2.553635655185236e-07,pr
79,3.8424554821980854e-08,-4.4926568986151786e-08,2.4970937421213965e-07,pr
80,3.267995306667835e-08,-3.70230650049925e-08,2.5653150283195235e-07,pr
81,3.4979514440019895e-08,-3.2678940931414864e-08,2.477968258239687e-07,pr
82,0.052317706440428276,-4.293965272031217e-08,1.5695307470981277,pr
83,0.023908555128521865,-3.530916275418046e-08,0.7172554630998285,pr
