year,1,2,3,4,5,6,7,8,9,10,11,12
1981,32.91117325664571,35.448800666897746,37.97705555882247,38.244307323213086,37.1954163094663,34.7856401968679,30.497659166406677,29.09220192772429,29.431295365865676,30.40391617738068,32.216281932323746,30.780382568246683
1982,30.838818153936742,33.944452507529114,36.223759953173975,37.40551536451218,37.87871307714455,34.742459428266336,29.863785157618807,27.992740669750482,29.29097948934864,30.301384789149598,32.200902395336996,31.27566351613234
1983,31.18830027965698,35.13711241536821,37.01382057199108,38.01951165679297,38.08045093677071,34.71987475356518,30.931465305545785,29.08083020453577,29.710783360261654,31.77842776265861,32.89909532227675,33.05772847666767
1984,33.97502350725611,35.07546256792063,35.6091494958654,38.23027643993328,36.68485993919779,34.38283334168407,30.724035452866005,29.835558794273453,29.699843131623663,32.19988067930871,33.02854435234776,33.283579277155894
1985,33.06705904817476,33.91183428857996,37.53867407194199,38.34628593837255,37.58871379585801,34.26026012561151,31.862690890686807,28.617334239331434,30.60269674529736,31.821689943982175,33.1368476905737,30.973333359286354
1986,33.41278741537033,35.48915764845475,37.60503150742985,37.357993044560445,37.7224905857317,34.574464352105686,31.098348336982525,28.346249077485037,30.068308960759584,31.439580743822717,33.08833687835156,31.325883946358854
1987,34.54395168209885,34.84966361651568,36.380215981827,37.8725493396561,36.947637581388896,34.90245418804568,31.986242622623728,30.043754736514376,30.120215808358182,32.22898426381382,33.34563123049919,33.15660079985003
1988,32.584414088803676,34.799057106383785,37.841265292479896,38.17403356488899,37.50897447879295,33.9632350641955,29.956948328467806,29.88691371718817,30.481962779449916,33.07811759023134,33.01361331840431,31.43206131437584
1989,32.83696699187765,36.7947123528543,37.85863110028217,38.45114802644203,38.2439846840194,34.501976370833034,33.494009478337425,30.8838646062211,32.29507311125668,33.40850869455078,34.99746012146865,33.2303617068297
1990,33.679023726110344,35.667901307171824,37.79769551759138,37.99022586976617,37.516550157171615,35.78996041851722,32.13890779343657,30.684912617124876,31.558832514497837,33.69956059251096,35.038660185277166,33.202315680422686
1991,32.419549460753046,36.38405531348885,37.558226584944336,38.796826587367136,38.42551211792789,36.74265886453903,31.315996535844555,29.765931143416836,30.76864305314136,32.247094905458326,34.32565921315391,33.36051651885366
1992,33.0819162628372,35.13068892627019,36.01424934553856,37.80617125442944,37.02807906873287,34.46947033011882,30.767871984539052,28.249983498320685,30.10990049458435,31.656244286542726,32.67395279885353,33.56269772342301
1993,32.591267613299664,34.45874478900807,35.809045284924565,37.65448109154666,36.968542892165,34.372618553224825,30.778010485637203,28.62663587763025,29.801046757308217,31.841973468573265,33.10844767760141,32.77560844893978
