year,1,2,3,4,5,6,7,8,9,10,11,12
2051,34.515123799514164,37.53508497118988,39.700468055265404,39.71258975412778,39.711994003558615,37.14807875915021,33.49114578324561,31.113845023802362,31.73968168896675,33.233944845188354,34.89361295965802,36.406262422906714
2052,36.06297525982651,37.47335843635617,38.709776285872586,40.906939651080165,39.605276114633355,38.11331354151126,33.79438674772821,31.65401662412039,31.609185155139862,33.617975049727995,35.983893728162215,36.144993048581675
2053,34.6956847434631,37.604619266911264,39.47057745395859,39.491934702237124,39.07144389624472,37.47268812842285,33.27891367890303,31.37439885464125,32.027658737391135,35.4738619126394,36.38498502073237,35.89543540727338
2054,36.17652780572026,38.38392541839524,39.92695762437797,39.969547156243294,38.91436703483633,37.56411846032087,33.4370231191564,30.904181455436056,31.773229498501557,33.364754665966146,35.92153672416081,35.963566765346506
2055,35.65738826831908,38.68752874100196,39.72934716294687,40.37613315045271,39.67918579669732,38.55797633178986,33.44237323825443,30.40180275038063,32.58890548107459,33.96914688410343,36.11794656925854,36.278091431960945
2056,35.66707073809893,37.71088372912986,37.84834976812178,40.628380027925,39.495733771148515,39.326827316128295,32.96054660676841,32.07292590935245,32.71639699810893,34.0877385216366,36.52356883795664,35.86537560645044
2057,37.50320677491547,38.48025615747137,40.345252480108165,40.55838800738392,39.60598581349605,38.600417749995785,33.72634070268444,31.0082725522438,32.05004861645019,34.26598592105557,36.162582999884776,36.277689122594374
2058,35.63726745089295,38.41453973539199,40.699045091210884,39.94441540715497,39.54196110725995,38.024733398650774,34.031643201800804,31.6342719572999,32.56751780089095,34.14000868764399,36.52566995606313,33.71817284741996
2059,35.60462481869763,36.99892548760655,39.421310677872086,40.170814829512665,39.71980665976069,38.03738055563348,34.54508420631686,31.867697725151285,32.9601119549488,35.436180846143166,36.61102646424014,35.45728681045426
2060,36.36458110090829,37.4628935547564,40.23593160701465,40.291804469238656,40.269017159447,36.59822512978532,34.2068786328472,32.55923435833591,33.002289958807694,35.09801348526535,37.2419199580389,36.4263008923783
2061,36.43592865361247,37.44814015568188,40.12138752736702,41.22169769477027,40.10651222464645,38.48745771172125,33.57508446093596,31.739926104915305,32.26989822246769,34.14791396341171,35.527151503152936,36.915673376521845
2062,36.44423284117037,39.049950542994736,41.14629287287398,40.350852006301075,40.29412772350901,35.55492356404596,33.07581987085113,31.91824054827714,32.68144536022822,34.317315510953435,36.47882171671649,36.3571720330801
2063,35.910782887691944,38.82193278691783,40.38905072983584,40.28321562960034,40.06083434244964,38.19511724834553,34.23223231517775,32.33851550276909,32.3165619278617,34.967359407414044,37.067673942733244,36.420740360959925
