year,ref,rcp45_moy,rcp45_min,rcp45_max,rcp85_moy,rcp85_min,rcp85_max
1981,0.0,-146.34064335958263,-552.6465087105524,4.7960585404252924,-145.33448315015863,-562.112460108833,13.407912889831096
1982,0.0,-141.58640001058566,-556.20267440558,62.226567498736586,-145.86203385507383,-562.8120833837106,55.27766840971003
1983,0.0,-130.78673772106737,-534.6651640570868,-1.4415391565252094,-144.91840768025094,-548.764934080551,-4.065204639337253
1984,0.0,-170.49257353560537,-707.5710875766174,101.91658671276423,-168.8514313958379,-712.254443070024,94.65610996439295
1985,0.0,-154.54990871548551,-478.4072754921399,-4.476452917889787,-149.48433403204484,-484.70843924219434,26.32555358828654
1986,0.0,-149.04858185771968,-480.0291395187148,9.390273428560704,-139.1164717319994,-485.22088821394937,69.79599900148128
1987,0.0,-109.33290091300118,-314.37586300892417,71.30966328388286,-111.31435260307899,-324.4753317943781,65.66605491006226
1988,0.0,-114.55177954263532,-253.16840871932186,63.34266787132515,-98.56635189155031,-264.2578866551223,119.04940358695694
1989,0.0,-130.8441167755804,-425.4467121279105,68.29137614337765,-121.88585334776458,-435.3763854786407,59.952791686625005
1990,0.0,-165.0905452549947,-553.2394887809334,87.69217376386905,-165.40904517021687,-558.8552837641035,72.70822390502417
1991,0.0,-136.04814203051959,-309.0076084048891,28.172810237875865,-137.90843661936003,-319.1621726311247,27.130107460859563
1992,0.0,-107.8656977065346,-249.3061402330518,58.56733038782977,-103.95433776500336,-259.0585557674566,120.00099431236504
1993,0.0,-132.1945578179068,-349.08334293712016,50.378603056584325,-124.22116779809903,-352.7145841412413,57.18830853264535
1994,0.0,-146.59838867896582,-367.96025931847737,94.94332744774488,-146.7059348093875,-375.9160756214179,88.26938058913197
1995,0.0,-130.95884666602072,-249.41752233725185,52.578159882447835,-133.25749730043037,-258.0461493606351,47.13061918364588
1996,0.0,-134.56354538853415,-507.06134535898485,118.71544828697529,-137.76549411707003,-513.3425743361735,114.4116709067846
1997,0.0,-104.31585053275317,-324.35128106525804,82.8679492897079,-109.91796978989022,-336.64130213278975,71.42078882182659
1998,0.0,-152.9284258277214,-307.2206129775002,27.417031200207703,-148.40400425414447,-314.4423603472235,-6.672228350657633
1999,0.0,-130.1772571249397,-334.2447105375892,76.0804166272826,-120.39877553452722,-364.31421600043154,88.15670099742124
2000,0.0,-147.91178916964716,-484.2329626465356,31.198893164202218,-142.0045036820716,-493.32962785438997,24.54053366998619
2001,0.0,-132.3642750484589,-468.7791870159507,119.04462567318433,-141.05447534237553,-473.1086470933071,112.19719915303972
2002,0.0,-125.48632653486332,-263.72767020187314,110.05699353527689,-126.72360971533463,-274.41873881235335,101.90627359615155
2003,0.0,-133.96846649718196,-549.4963189918479,57.549313546698386,-140.1983907097633,-552.7288092070662,46.138669796098156
2004,0.0,-143.0826304272472,-460.84890735359375,53.18713569313718,-153.67495258895264,-468.6435519548942,44.34320766819633
2005,0.0,-129.99083626467038,-321.85482489704737,47.991679790190574,-135.51690800425013,-333.56761496862214,44.02485887446278
2006,0.0,-125.51788395280408,-268.5235071403623,95.69933042327466,-120.05647818442317,-298.27422931735066,81.66221577283
2007,0.0,-147.9575160022472,-381.4778851805189,120.28878388816793,-136.09292318031132,-371.9676826178568,93.77198852204492
2008,0.0,-143.34715542047797,-442.8889773435693,102.61162857853287,-145.79018745471492,-462.21068860466096,69.10919608825884
2009,0.0,-162.24970055153975,-599.8492834311937,12.557833145979885,-126.59179515028373,-346.52373222337314,17.746574650240746
2010,0.0,-183.60378646026464,-796.9729102524473,25.100959819277932,-156.77222523601242,-641.0850161199933,40.18899697392885
2011,0.0,-177.40238334916768,-550.4510300315147,34.84303347872401,-163.25164478472232,-466.20208160208324,26.99678228378889
2012,0.0,-173.5720732985429,-505.06190199758976,64.65416385594858,-161.02446598577583,-463.5989594637723,-1.2539593832475475
2013,0.0,-139.57656517595913,-456.639643684307,111.4616159643981,-193.15988692246768,-607.5661141451513,49.04052417494381
2014,0.0,-194.06529587105717,-872.2717964188869,113.19514477281291,-165.78874553832557,-410.8406639740422,141.1883448117335
2015,0.0,-160.88843899378324,-572.2195379385314,93.05839690181028,-137.94616232551255,-435.72919953546136,24.482568710155647
2016,0.0,-144.24416784933004,-461.4876796612349,68.06645980999497,-178.9490284030844,-550.0943440725421,42.14685486231315
2017,0.0,-110.51290600802947,-510.8852082370606,114.96103900774051,-192.7364189467454,-542.8913508963299,87.92076042880285
