day,mean,min,max,var
1,3.624758838468155e-08,-4.0367940477014686e-08,2.3805363305380365e-07,pr
2,5.3606885965400095e-08,-3.4340168728159916e-08,2.5911783408364613e-07,pr
3,4.9631255597636723e-08,-3.3663820236803425e-08,2.550158069542584e-07,pr
4,6.15609435557838e-08,-2.5713375801303803e-08,2.591955618480399e-07,pr
5,5.2920734266326166e-08,-2.5593080202763153e-08,2.4926349399494784e-07,pr
6,1.3079944229817389e-08,-3.980568646937768e-08,2.1549187998824426e-07,pr
7,4.535179173252474e-08,-2.7500239475193148e-08,2.553855548126151e-07,pr
8,4.531787345109878e-08,-2.6534413439823844e-08,2.5420958983911985e-07,pr
9,4.6533297482840566e-08,-2.5508937880899558e-08,2.513396157851672e-07,pr
10,7.223576111092167e-08,-4.0426970028232064e-08,2.529542151586248e-07,pr
11,9.57676099370146e-08,-2.9445930425040738e-08,2.5791190669727105e-07,pr
12,5.79647321889978e-08,-3.6430277748208834e-08,2.3537244506419215e-07,pr
13,3.880194362479344e-08,-2.4107384220399533e-08,2.5912536625550854e-07,pr
14,5.372325171902288e-08,-1.6965745624153088e-08,2.5822124176257984e-07,pr
15,3.197239903307962e-08,-6.94176937993316e-10,2.3291890409409026e-07,pr
16,3.1825611397853475e-08,-3.0133523923996684e-08,2.482565313290221e-07,pr
17,8.445376061394004e-08,-2.0085703918558623e-08,2.58128967255842e-07,pr
18,4.7493347336226825e-08,-2.2035607639939093e-08,2.562698096083581e-07,pr
19,4.477579454517055e-08,-3.958101508523712e-08,2.540614720239129e-07,pr
20,7.633060490415165e-08,-3.4778970151102234e-08,2.552042003105386e-07,pr
21,3.5413422515309775e-08,-2.205236025448854e-08,2.491954634543404e-07,pr
22,3.2242949076144265e-08,-2.691332109537584e-08,2.237240281428635e-07,pr
23,4.5158018820165643e-08,-2.7499911892341073e-08,2.5342177949916885e-07,pr
24,3.83678537956848e-08,-1.3530308878512897e-08,2.527862200904097e-07,pr
25,4.874014128817738e-08,-2.3887778139614717e-08,2.546530114465411e-07,pr
26,5.097088908143857e-08,-2.6461785169228133e-08,2.444851574333231e-07,pr
27,3.5671702196345745e-08,-2.6466636149529963e-08,2.471132256959935e-07,pr
28,3.7544468923107126e-08,-3.368227700331313e-08,2.3191386482174187e-07,pr
29,4.315100958249692e-08,-4.1352816632363e-08,2.477579874691611e-07,pr
30,4.98236942597509e-08,-4.635781539234474e-08,2.533334033836744e-07,pr
31,6.403463309360971e-08,-4.187407529357233e-08,2.5552347219688015e-07,pr
32,5.194199504925144e-08,-2.5567104025232757e-08,2.5724860313929e-07,pr
33,4.048182193028239e-08,-2.4740098822989133e-08,2.331519255903917e-07,pr
34,4.32847268802459e-08,-3.831407321463689e-08,2.587366038230857e-07,pr
35,4.157884692467036e-08,-1.657606017774013e-08,2.3009737942161266e-07,pr
36,3.803463464354777e-08,-2.0843336319508743e-08,2.5584432598314814e-07,pr
37,3.715753188322201e-08,-5.2880308481313323e-08,2.352913355343061e-07,pr
38,3.2411115513063234e-08,-2.381481751442152e-08,2.5738091723428416e-07,pr
39,2.6522978115888528e-08,-3.0266588508176235e-08,2.413063693868499e-07,pr
40,4.7765669708268095e-08,-1.812303028126733e-08,2.4324669196469744e-07,pr
41,5.531252007188613e-08,-3.4158349233105514e-08,2.5510159457098985e-07,pr
42,4.2653763824583914e-08,-4.6763819616762726e-08,2.591313886386042e-07,pr
43,6.197865655946354e-08,-4.9367989963376015e-08,2.547458568117175e-07,pr
44,7.387107611601458e-08,-2.9367796744469883e-08,2.413230347646776e-07,pr
45,7.390790614078019e-08,-4.100580602235785e-08,2.544254570834036e-07,pr
46,1.885277394605671e-08,-2.7562178946242395e-08,2.1103726373488458e-07,pr
47,7.090219517035107e-08,-3.429272421074948e-08,2.419089478360485e-07,pr
48,3.910987888887485e-08,-2.5432180024557583e-08,2.4900858405280105e-07,pr
49,7.22651058669623e-08,-3.561571905604756e-08,2.493821058596892e-07,pr
50,6.208820251725132e-08,-4.7721599975440975e-08,2.559804429676116e-07,pr
51,8.243709231308626e-08,-2.7061553384006153e-08,2.5327907548059695e-07,pr
52,2.2053776727474033e-08,-4.695074230105133e-08,2.564302851616573e-07,pr
53,5.2364320225125225e-08,-3.221833665987224e-08,2.526417482873249e-07,pr
54,3.029740050826266e-08,-3.3485383348375345e-08,2.466496109589772e-07,pr
55,4.326103332886099e-08,-3.2375348896514285e-08,2.459189356064394e-07,pr
56,5.25597242666616e-08,-2.3194343367975583e-08,2.579854118934199e-07,pr
57,4.47255223282988e-08,-1.8571807446025597e-08,2.554493468746747e-07,pr
58,5.0454478323180375e-08,-4.698025454200633e-08,2.581091977850896e-07,pr
59,2.9733623479361788e-08,-3.702579701719977e-08,2.544719911206379e-07,pr
60,6.817519084633254e-08,-2.6010838809283632e-08,2.5827608756895404e-07,pr
61,5.111834322861044e-08,-4.2211632636023755e-08,2.5354138295281573e-07,pr
62,6.096722482655403e-08,-2.9536837099801557e-08,2.517499623106492e-07,pr
63,3.2212260966294956e-08,-3.659550151480285e-08,2.574298126266866e-07,pr
64,5.87777868099985e-08,-3.1368089615799615e-08,2.548080287737252e-07,pr
65,5.072139496271405e-08,-1.0604773040852249e-08,2.552361038488548e-07,pr
66,4.042515770543039e-08,-3.542930110979956e-08,2.585058638741426e-07,pr
67,4.79649890802648e-08,-2.573334202324132e-08,2.3819051455574705e-07,pr
68,4.0133089131688905e-08,-2.240652565952853e-08,2.57098342227114e-07,pr
69,5.9341775522107516e-08,-3.15721824452599e-08,2.5809293512052306e-07,pr
70,4.268196041360496e-08,-2.3703781961214396e-08,2.4727134990773454e-07,pr
71,4.52086872122834e-08,-1.8227219911492663e-08,2.550051534842822e-07,pr
72,6.522824711155992e-08,-2.2326669247407212e-08,2.555660448208001e-07,pr
73,2.5933973990011206e-08,-5.2893407654254465e-08,2.5057838729734253e-07,pr
74,6.177087219827816e-08,-3.6534231154460963e-08,2.53597284715556e-07,pr
75,4.4611049145872964e-08,-2.8985973905690158e-08,2.54230145105076e-07,pr
76,1.8170209702462168e-08,-4.2196415940302094e-08,2.527388296809945e-07,pr
77,6.224415668131636e-08,-1.815203448654706e-08,2.55144984015984e-07,pr
78,5.883922871833094e-08,-3.7654609562727966e-08,2.574598260709855e-07,pr
79,2.900836170502352e-08,-2.8799263260154824e-08,2.560408279168701e-07,pr
80,4.828015470859565e-08,-2.4328102776876693e-08,2.496425834677864e-07,pr
81,6.23057905452841e-08,-2.4987786665096848e-08,2.569078535599523e-07,pr
82,4.91886367315195e-08,-2.8040736173291448e-08,2.557201966241852e-07,pr
83,7.194117330721844e-08,-2.0604512934550448e-08,2.557321002472742e-07,pr
84,6.768252184023088e-08,-3.2970261196282783e-08,2.563105460801267e-07,pr
85,1.7276468145352911e-06,-4.3249276927263485e-08,4.9982030937730856e-05,pr
86,9.937554837251106e-06,-3.1527943216829973e-08,0.0002962601032937,pr
87,4.5328405402415573e-08,-4.2316275585287635e-08,2.381223156491098e-07,pr
88,5.66280038256844e-08,-3.085656350835758e-08,2.56657874873741e-07,pr
89,6.858623538069244e-08,-2.82699067119414e-08,2.554695415044531e-07,pr
90,8.037587261953226e-08,-3.089107190508707e-08,2.5181265555701884e-07,pr
91,4.7207231538618085e-08,-8.845094737261523e-09,2.439893587685158e-07,pr
92,7.369339108202336e-08,-4.245721635333094e-08,2.549818310932084e-07,pr
93,2.326045289949551e-08,-4.52938963024748e-08,2.367688458600545e-07,pr
94,5.09702279747684e-08,-1.8107751884163473e-08,2.4910779857049945e-07,pr
95,5.6025959369874e-08,-1.8215223332580042e-08,2.5214393299297906e-07,pr
96,4.200651968043952e-08,-2.512837675898484e-08,2.4950749539731534e-07,pr
97,7.220080109555591e-08,-1.3680838598988734e-08,2.522382427776484e-07,pr
98,4.4142148023715606e-08,-3.6597443554500695e-08,2.383868627334359e-07,pr
99,9.545646413178231e-06,-3.788734475299948e-08,0.0002836794967654,pr
100,2.9849885700026275e-08,-3.1271830750038704e-08,2.4452794477512296e-07,pr
101,2.606311374042924e-08,-4.4321209516931926e-08,2.509678975816475e-07,pr
102,4.62358794573816e-08,-4.947382521270902e-08,2.561353241775264e-07,pr
103,4.5374528497134214e-08,-4.1902276788322753e-08,2.407843588571664e-07,pr
104,4.0355576215216386e-08,-2.0533346833142272e-08,2.3467193441694162e-07,pr
105,1.4195572373345023e-05,-2.6005870145624968e-08,0.0002771712180156,pr
