year,1,2,3,4,5,6,7,8,9,10,11,12
1981,5.314451889551835,3.1850022674982323,3.140286272274755,2.5618602767329715,2.4453767924619356,10.878016569286787,39.20613606551641,89.63388400025772,89.66451514048819,70.13011315881853,38.48707829959779,14.009212094628113
1982,6.253045029849928,3.8553258147346336,3.237880053070823,2.7234515672291804,5.410957514364565,22.7159762131181,30.876820489312568,46.63662440076583,59.66210184774561,71.06770255051912,33.423773344616,13.61474145722884
1983,5.296899662927468,3.038150540729526,2.792196100377569,2.9074780130161,2.225625588021123,5.992033882834081,64.4165446050573,73.83018112768659,91.03865555595752,56.830571352524025,21.151590490086136,8.365278676148037
1984,4.979207704683267,3.3317649743963433,3.28868751010893,3.0604617689210967,2.718675362871061,12.496752462719092,37.810659159472834,55.882990579692574,70.47751789397735,49.31276037123888,16.203724197796355,4.729617700087768
1985,2.519453825766697,2.0451106515259525,2.2323745930719068,2.184667648495347,1.8082418754576377,2.866190592053318,20.214832101758528,47.528478738148685,85.9595581625917,81.62098418816275,44.037574532761084,18.97884083648689
1986,7.985756868871167,4.654228591741832,3.8038336550588254,2.8983845227759146,2.6036290999576983,2.6629664565392774,30.433533323512684,53.43909425203196,66.14576738265443,56.36131244369906,27.95114205751899,10.81146375302405
1987,4.897500674136086,2.8086140409582043,2.5222974860284806,1.999608624350553,2.0443727318196543,17.5331124507174,51.092337005388046,83.28356995518315,73.55867264630216,79.29249553859835,48.22147196890197,22.60868903204199
1988,10.014913366888894,5.9986298042113795,4.6894448641231525,3.5632895021036615,3.5127621376845957,15.649423749354682,54.301014478859265,71.94067419487415,86.28000792646358,74.1289239667616,48.4242050913941,21.33534423283582
1989,9.787307774085434,5.859963919779689,4.705916770909773,3.5384164608963564,3.4426955228367766,7.5370865808110254,21.711906906765794,86.03326622054344,91.71604215825332,77.1276726202184,40.49217847447383,15.924692096564645
1990,8.004426918472008,5.160347762341753,4.442269741765462,3.318512281147235,3.183644252945818,10.431216163554794,39.03333564915711,58.57395502623048,73.88696532953827,60.92859302750383,30.69015549482348,11.774529621810629
1991,5.692551241788543,3.6652744228782366,3.3087544892890137,3.021283390149361,3.510031344245058,9.878600573915374,50.68668429422106,77.23696052923665,95.75000657284556,87.49307088934789,54.26063099310549,26.228719056081136
1992,12.98520269959386,7.485556313369007,5.673812381366006,5.278823673777761,4.424217240561202,17.48420631773752,37.96164183803373,75.02508414954909,90.20669153118037,72.52329179076277,42.72335466062454,20.513220908815317
1993,10.29589683704808,6.462533882535657,5.015113112221978,3.8622755531626063,11.7663941985022,15.797405588803274,55.96935846914098,75.678339517033,89.89278727713825,78.12653838292799,37.40833149963755,15.22227509390425
1994,7.33118945272676,4.574954133113048,3.904444869376619,3.459442962188673,3.584620583852647,12.572866413936595,31.008978660362118,51.58309285913963,63.906616740778844,48.738363712208496,23.708885414865335,9.86211472557862
1995,4.848896753252367,3.3952054301787427,2.993674001886117,2.677479561195043,2.917996032519947,14.458967480013035,41.664454112823435,66.91553491895485,88.074335397029,75.67758118098321,43.31941781196788,17.930293046508336
1996,8.69189948895042,5.290793764823991,4.525794502079002,3.546168174036435,3.425451393438367,4.233484284672913,14.881331699143564,25.58499215919391,59.51622051412246,53.26100954538971,24.433193342604415,8.439606000848629
1997,4.777346009179023,2.894951518223008,2.833337059343939,3.3232160557672983,2.5498823816088207,13.808331696988681,53.901002095614054,65.02691795186198,82.09222498606948,77.31182121848504,45.10378953713987,19.86331774822819
1998,8.844613662722796,5.15959708993985,4.158327812039505,3.336192303784517,6.7382109713664855,11.095165354587822,38.484120048376454,52.78678568591994,71.33604722956343,84.23628081359092,41.741936314730545,15.154151770307077
1999,6.484359849890625,3.8036235222469807,3.58213268904992,2.9774089962213877,3.57473739981416,8.28992599772363,56.06682484509128,82.5015677248445,75.36315366708162,60.80940091008626,27.956275965695426,9.21698287902526
2000,4.937637789963937,3.543498778461594,3.57479392676885,2.979499907040966,2.9196818515471064,13.857981812937968,44.18842576473892,46.83837594333027,69.9266592901577,69.25808725226791,34.91080765871438,13.44601172000663
2001,5.004409936979472,2.8567226097203036,3.089886150410231,2.5463253984239422,2.627148395914901,6.9033522004382,22.177509383660233,39.558138409288645,85.54685986812025,83.18886587727337,56.49272044281866,29.44710362343996
2002,13.733076015424707,7.505729065970525,5.031195814916429,3.7745267901344333,3.1531392875905166,11.577335292911226,45.56989115409707,80.10843806343043,88.2193220175311,77.36931919717279,47.47280309762914,23.753796048900337
2003,11.166313806195529,6.209640468483952,5.237251024819826,4.118053681356899,3.781669303182845,13.15783262746982,36.25631670458161,30.816854504746548,61.96836381051583,55.13999644786365,23.27588396760504,8.256761188977249
2004,4.0629683632704054,3.0294461757358637,3.211322955551742,2.761147079538436,2.4282615424619296,8.223542842977212,31.23212363982322,79.36099251790996,79.36097208384332,60.09154826856494,23.67260084346365,8.93141526879201
2005,4.692544306779745,3.3868017361383465,3.327953948842426,3.0404434116548478,2.455542988961303,7.0362553217086,36.37858517556491,71.81285625893322,93.0553534877781,90.86372296618607,44.3091169156335,22.294965669908358
2006,10.700466412803607,7.439161348860548,5.864395591810922,3.9978734245195233,3.777853373961218,6.370013544387497,39.87032994030308,67.78323589346708,89.71218618218083,73.28865229854603,40.37673028477186,18.491099509902085
2007,8.723451720643899,5.330356897257658,4.37661562192706,3.487204909714478,3.2841455301467053,5.270652662327773,20.756342823195524,62.231433725239334,60.91021878460332,57.25366616417891,43.092085218097,20.810444076880835
2008,9.353882815432929,5.0212903119640835,4.248799096401386,3.6181720537881277,3.1956693337414777,9.774472681235258,39.82178043900992,58.40786193694066,69.47721033964388,61.05994751848803,30.723123802700062,11.128975113433802
2009,5.126372478391814,3.0803244537556647,2.841773028198175,2.517870665393903,2.544759557998698,6.546691945187964,44.37956482572419,77.51147149069662,98.90398733960207,83.47082761024537,43.380535719347016,16.572527773620784
2010,7.188928203689832,4.6909147021583895,3.7779852377732195,3.172713521115607,2.8978348491850983,3.5299261789033127,10.99408407661099,20.823609170282126,37.969664222027816,36.44344095369039,17.999394593974205,6.7962432374918365
