year,1,2,3,4,5,6,7,8,9,10,11,12
2051,374.1543960646087,357.06893717453966,403.4038502653752,404.06504850640414,396.76955614303336,327.8036084346774,266.3851677627871,229.2788697213503,192.49272461747788,241.92952601218087,271.01123564897995,319.9531348059943
2052,356.72425974919906,379.13912304479345,407.03264975996177,407.461759939662,424.5360173876785,338.8915594727822,274.5204091891446,201.9894262965388,161.82711901290227,228.64721851634147,264.63661737833485,348.6559780850374
2053,349.9614036286442,373.0009577946136,422.16949054902403,403.8115810622542,399.7065245538815,345.8500361800951,286.48698619423584,228.4791895730516,188.80087383257626,270.84380077107977,312.1894842681414,327.3044304393408
2054,341.92917001422876,353.9814903928558,417.5001417988163,415.3255262297407,433.5043959092194,324.35956211744315,264.1667054267909,218.37522722294938,232.07626430184214,248.43751838388553,295.95985496232174,286.34605289200897
2055,376.74111117886986,370.8821593267675,396.34003273552815,403.8250003389299,442.16621487061883,384.36272538921344,301.69647969732785,232.0156597202076,214.7312184236667,264.72944637332637,309.77365748534953,363.58059365128287
2056,358.63818853477164,368.7284852369876,429.781254520498,404.119377811112,416.88384576854276,395.1352500060823,222.94340494798342,195.99032262117893,202.3515743943029,267.8792539415359,298.0292702720445,320.7318731675492
2057,378.8098334555573,369.42526814503367,416.47771931108554,385.8119152326481,383.7620822283466,353.1933093521155,279.61076675150156,209.4869051670424,212.19868381436083,248.13311554944175,294.49212390964885,333.1241215700795
2058,383.8010875711675,375.31929120353135,426.3553914198494,390.14719834144256,414.29065260320607,345.8169056843749,284.75620002474494,237.68496183171104,228.6310110699122,259.0059192597772,279.70730371758555,330.18096128876084
2059,365.5525343220914,339.230680609519,429.8676556853316,384.5780819819265,420.1099389231782,369.44465042400316,290.68183016956306,211.21848114991647,208.26846103983772,247.89915057808915,296.93334387723854,342.63944454896114
2060,373.0050661963182,342.4507167968573,417.8965936179201,403.46467665889384,427.3004792469949,369.913148741579,272.922855191842,236.42749124079177,203.61708150259028,267.702343649815,299.9105949124351,331.7181347138696
2061,377.78669217688775,367.2110577345248,407.4057035196808,405.9855925143231,383.40429253265535,346.34178736635215,285.2941161793924,229.31875522554606,177.79866059754656,248.254335850088,306.64925652051835,350.2247703292096
2062,382.211032117562,329.0015504273723,390.22113541027994,414.32108615371953,422.2781601732795,361.8061187267711,305.45569565578705,220.2264602572466,221.5296472934928,268.69111283908495,296.3954631350891,341.5722686885378
2063,352.8569842125828,355.2223900930305,391.21181236348303,415.23055790222213,426.90451977260625,340.0134612597621,288.1707419870273,217.11408737849675,215.5722629153215,282.1526429555819,301.2571014585345,378.8121127194092
2064,378.43518192852105,365.75288047247557,435.4139268193775,420.49884164790495,420.03923937505436,360.71525250530783,273.26577264832366,219.40484846224388,220.1829640979847,257.68358539230087,301.3284445612718,323.3334844059749
2065,376.8408205349553,392.9483459385518,404.49362424940836,390.39300537362055,426.6368797485803,354.52166266419437,254.4503479087945,224.21021290375396,223.70532656211523,277.17979944322275,314.94990700713896,361.07616853485325
2066,373.5265436087411,342.98337649593907,404.7064460952172,413.6141013970255,401.01079869116205,306.02875150890486,287.9989869209807,193.57008268084635,196.5519183109228,259.2888030606439,326.27972648050536,303.6052773612778
2067,390.91456939514194,363.23336909328066,431.65767520785647,414.0301115233132,404.6631213515716,323.51551751478934,259.57654206323775,164.23594934387268,220.7518358307978,272.37782943681464,299.20783120547514,346.3863221147415
2068,391.9716306008603,321.2630031381627,441.7785260358215,388.7047152607944,443.67006802216304,353.64222738454873,334.55209973178944,196.96798799351913,196.18083977297928,252.6227413751841,299.8365449074523,342.85883410664536
2069,394.59323806552254,337.13499396317644,428.4492106188375,453.4654676507168,466.7373146707597,387.11633943298597,312.31353332410157,247.3604797448811,239.49783901646404,297.1630805650094,325.8043995241903,368.95400908006
2070,380.36076963869635,381.54186482334137,416.14334106324355,401.1222352553303,441.80054828505223,383.65813545900465,275.7850753986571,204.53694820490176,233.97374385664926,271.75812400618383,309.82546654753685,294.59065751156936
2071,390.9682352233386,344.15839258047873,402.21674105593985,409.60278231964037,433.1922102022514,342.43009820337164,263.99443614337304,217.6378841339104,207.1614394258551,263.82335071201305,286.79549871150846,355.8513304440795
2072,392.8560554378696,388.0322802528182,453.5576737687865,406.9645215249248,433.11950399083537,355.93005150750537,308.5338257307327,247.6819768197252,231.79242471361346,296.46744982796235,334.7234909105225,357.38470086068804
