year,1,2,3,4,5,6,7,8,9,10,11,12
1981,1.6770093638289858e-06,7.754487903099437e-07,2.0381835845642218e-06,0.0129581272785883,0.3272928201662267,4.661090645073725,87.66703161746176,154.1856505113122,100.8178714420383,23.87375905491533,0.0233068613161691,5.531174321375681e-07
1982,1.7346117625380273e-06,1.7549122185801184e-05,1.5255556022473965e-06,0.1711649928271402,2.95753036569483,55.84580185181992,164.29054010566665,125.5676209129466,138.49950864748308,12.880049758924397,0.0258859134023444,0.0017302144001777
1983,2.7002122338697417e-06,8.904705761535167e-07,1.719147056842943e-06,0.2924598863221374,16.80782327608484,115.54493201310468,148.5107051811509,174.1916751854527,151.5459329317171,16.01507284262609,0.0178956796803653,1.3100815639203065e-06
1984,1.4588274971370284e-06,2.0169570895828688e-06,1.08763618868127e-06,0.0001798088477241,0.8654047965011357,9.99774831841292,44.41895207345576,133.79310487282717,114.94274069274584,17.298207427819847,0.0828896136850476,0.000144883716006
1985,1.051122834567359e-06,9.794751359474271e-07,0.0005746091015217,0.0009408232806009,0.3444676821331008,21.758778708967416,114.24449263467108,249.75096291219165,96.1030923253586,44.64072580116101,0.0131108547228753,0.0005766376524191
1986,1.723067346728626e-06,2.6996205763708495e-05,0.002853371342,0.2123640197494488,1.9539781746126816,18.126161193637955,90.67060161871724,202.9064944695699,110.341894297688,16.704914642292554,0.0091307025682875,2.97002517541045e-06
1987,9.888938976485411e-07,1.985919849558107e-06,1.3490117800360909e-06,0.5509667829751999,16.664294561379567,52.91509496717738,71.11825826575283,148.41876103455027,120.40957471022232,81.39684615442893,0.0301374267458208,1.7882069099072109e-06
1988,0.2073222296255707,1.7927045600422335e-06,1.359096220869911e-06,0.0037127740979341,3.1993813790551697,20.89134803776533,81.73161653357872,185.7278042990573,158.5749411698327,10.821384921481874,0.1617251534450223,1.919859117668729e-06
1989,1.451575020533441e-06,0.000359071531406,0.0079950780490489,1.1221790395405031,0.4110359622344474,48.38651852223132,167.43496720860165,246.24925559096343,67.62770281832923,20.82080074263913,0.5616612643290851,1.6711512447486549e-06
1990,2.759395157329106e-06,1.3664777486352588e-06,1.422034817687246e-06,1.6128773928272583e-06,7.277880046696767,27.786318272312798,110.9852655789794,168.95227724976814,135.4265062522362,14.325351664415898,0.0132466476963793,0.0005780065808916
1991,1.131573041153358e-06,4.077369905405946e-07,0.0008740939047121,0.0075994745712518,2.85129933796082,38.55279084557108,101.08198787921832,208.90128856992249,84.90696068535469,29.26107947790696,0.0120606332127338,2.0267777680260586e-06
1992,1.5818946191547628e-06,1.3494520275388217e-06,2.892109539936065e-05,0.5190995470408171,11.04564317065531,28.67919986981318,144.63407061709626,213.8481791346701,183.9596135321198,75.77663965889583,0.3611268402721251,1.4866304817200142e-06
1993,1.0672226323530354e-06,1.6398402460707722e-06,1.3796957261801148e-06,0.0520575281551261,11.766934050673871,57.05477239542177,121.59482643092302,138.91319225076867,121.92269072105438,15.570305956257558,0.8629424896749358,0.0002861365149124
1994,1.331229659003055e-06,0.0008647388219744,1.6721962486133824e-05,7.095777968368397e-07,2.525107470380876,22.628812882606827,102.8459532506686,194.15214526006653,141.996858275878,26.598180486125933,0.0072589893333473,0.0011595442461316
