year,1,2,3,4,5,6,7,8,9,10,11,12
2021,20.27434072830221,21.496281363439326,24.90003232906016,25.43781661510237,26.75230798962312,26.906253204176902,25.609569971533773,25.096604940024733,25.413243811958026,25.523454976586496,24.058520438653265,20.102393705295647
2022,20.947445306954613,22.484004647623973,24.05472202435049,24.47708658733041,26.18133298697564,27.03680816843764,26.02791860173744,25.73146304986939,25.457528518371287,25.524993552636385,22.3392540494674,19.50539876565556
2023,20.126186773686847,21.31401672005871,22.78293951124428,24.098117010248245,26.16203257436386,27.0539165298476,26.20807153056609,25.826869573972807,25.45648321715822,25.7349969880444,23.73876197433116,21.578811325778297
2024,21.42671023515249,22.15639290166404,24.528504850931977,24.89503619611863,27.9849080670814,26.97912539274704,26.23761240439432,25.46363205092774,25.907284243336527,26.180879293973444,23.73176173319112,22.16155168795095
2025,19.799125561942528,22.214978539493853,25.02159872944128,25.32474947389717,27.70519485466924,27.248566818191133,25.776660284709248,25.41270993505678,25.43604233695709,26.04755214614293,23.944887140828243,21.95130499556321
2026,21.84623026643241,23.67520063372816,24.074416809222527,25.280933517356004,26.894655333979205,26.84979977525989,25.437636593965475,25.43288550237284,25.566310740680663,25.468927716273043,23.630899300568363,22.44841157172028
2027,19.4932219270536,22.51512969726796,23.262874148290145,24.814588769025114,28.298817891175275,27.339277837921145,26.130161364089584,25.289656448307152,25.72507915047032,26.08009266263296,24.92349505517196,22.51266507739428
2028,20.34212226177048,20.88173529826216,23.31890297992513,25.302577744012865,27.953954020757056,26.983520979885267,25.89063732207043,25.346321052024106,25.70311088205626,25.890470452982395,24.76074880148477,22.171206155325216
2029,20.664391425155745,22.76063696289512,23.168535044495613,25.55139700836652,26.451116811988605,26.644528548846004,25.634762229664368,25.26523732272096,25.203800376432145,25.47173325016508,22.42185667329894,21.136139629328373
2030,19.51682814099693,21.136572286183817,24.66655709640269,25.33088981784566,27.000965455374544,26.86050415999544,26.031988150582468,25.814812443190608,25.851238785661263,25.304780356360403,23.36152446033078,20.7449735924232
2031,19.32350643217426,21.426051348634807,24.044732535735644,24.884424091696044,25.922058519885887,27.184328015828847,26.19045359283391,25.622436435930883,26.051838757914304,25.317660007191773,24.772040224805853,22.857192019930217
2032,20.64153854295178,22.11840529391065,24.06990780993123,25.576002868332264,27.297135766012733,27.064104387953368,25.964576403603136,25.96644027818717,26.112831117260047,25.90664527592422,23.224997277133912,20.757167968104817
2033,19.65343618810399,22.349189679363715,24.898955704178743,25.228040377978694,28.155383108427312,27.262298796843734,26.403702464542004,25.944759544476824,26.24779615489752,26.30550208463153,24.43166859135988,20.34160054102864
2034,19.89824165956822,22.0623668318244,23.838588652017183,25.77658797743499,26.235408708222543,27.293182491425306,26.44254182513257,25.56767945861924,25.756128564007263,26.310091461326508,25.29749688002681,19.83486109450845
2035,19.60396706313288,21.86544862963808,23.414664645614494,26.387181593062643,27.77059227278697,27.11521361488907,26.142878058151503,25.754972968621704,26.11562584819902,25.56399055102102,24.94598900327816,21.15226284641766
2036,21.1578924143304,23.339298292764,23.68856869474022,26.87557649532493,28.014306612788435,27.89768912000935,26.86652668116024,26.13114830945607,26.58047602900958,26.435252303776323,23.870102665766964,21.466962030780127
2037,20.09971743774835,21.53283941621533,22.652417948977583,26.563965163075995,27.493208187418297,27.83837715354568,26.32184743494884,25.77652766612474,26.24573603296996,26.64179872846739,23.86053811789064,22.44897569334092
2038,20.15788467758198,22.23725587675826,24.946821783385023,27.33761132946869,28.532393430981216,27.74640959922117,26.993906343910545,26.37205923918925,26.84489895564245,25.472148498531105,23.137115591416,21.392457171138904
2039,20.5564217785881,20.88521800895632,23.353115146161844,26.00197972233685,26.39160635735584,27.652545246533737,26.63206040959184,26.156381708541502,26.230511559307715,26.54589719116108,23.256435218532,23.04080796081881
2040,20.77551062941259,23.141148636292307,25.00314857609943,26.94515078118268,28.808950348593893,27.637651899904075,26.246648543711995,26.075034010179856,26.25517084213305,26.77722951173844,23.63104528953277,20.624825027773568
2041,20.17662625300564,21.46027083846887,26.4830025891374,26.802616454081942,27.9045862646191,27.639916819113708,26.34807689253811,25.951291109745213,26.02977972520864,25.673612996638195,25.22801674973584,21.43238076585552
2042,21.80419187714152,24.741919397950262,25.02306275770339,26.350428306820834,28.22446953933008,27.896304636955204,26.392945988259225,26.326645444692453,26.727587233210468,26.526862118313268,26.33537438893866,23.58541465152949
2043,24.405200719814488,23.677111747298888,23.91094023479345,27.878572719519987,27.39643307242039,27.170322248631155,26.640693904281044,26.151221772375504,26.20648299210105,26.518642152055943,24.74672349962526,20.36722717153014
2044,21.99892382384055,22.04715899750964,24.255172084185794,27.054257044503743,29.03660578570339,27.92852905280869,27.007400471666696,26.27509515851613,26.65554788891078,26.69378629090228,23.91361541797833,22.806989964549214
2045,20.145273870607834,21.585381793275552,24.26422998983588,27.834335413677305,28.10204739935433,28.09763599373679,27.034998436647463,26.14083263014765,26.16028792467415,26.590456781664567,24.87883646218816,22.84405042713753
2046,21.674016026025505,22.969044317737893,23.84635945654409,26.82716568359936,28.582373142027944,27.98047690169764,27.074388664973853,26.418018878376337,26.425925075099777,26.42237136414171,25.3887384609203,23.589652034301785
2047,20.65524471935426,22.82938756853705,23.601785240775005,27.05165941979661,29.15605619239518,28.10181831027977,27.34921086458933,26.498925535118133,26.507024384601287,26.767796879183724,26.099722112180107,23.26545587992861
2048,22.448752647264,22.30423585755626,24.911052718934265,27.56129070205684,29.18926905444253,28.078230446483705,26.92369514348851,26.675562497688063,26.773734674487724,26.65740949247624,24.410261807499776,22.653888791150163
