year,1,2,3,4,5,6,7,8,9,10,11,12
2051,19.867293006210264,20.99656386157647,24.30604643534775,26.05805968267181,26.37468838364888,27.18447073999848,26.513601173765945,25.547164881421185,25.695516822963736,25.324642964091336,23.43011056003525,19.66299242353628
2052,19.615940598278662,20.59235326175355,22.81278886954178,24.27023264436576,26.35767027676233,26.456371875649776,25.991387632239096,25.51767078285912,25.78079733217648,26.010090768719248,23.607281932226968,19.98635462718646
2053,18.688189209322395,21.404225680462947,25.310359883855963,25.563874437287133,26.80467303318469,27.069621196174765,26.17168211950637,25.48603996053672,25.79353643204755,25.68637260728954,23.457829819738627,21.10457449178313
2054,20.994764258084544,22.15190793303547,23.664567687957938,25.08128103644525,26.565367585515475,26.39218547782013,26.14892816746952,25.564892716401463,25.29627754337395,25.95411695221488,23.84313736832534,20.26254303788901
2055,19.05414143667385,22.37844583112002,23.859624916049,26.33244127767158,27.01750767564022,27.49078077145161,26.29914634354251,25.940355282275263,26.19193789081904,25.499973733164715,22.625727379184696,20.776370222098127
2056,19.23608445512807,21.532941647004687,22.96357197198449,25.78528422338237,27.91276318409453,27.52466221712696,25.56951262553972,25.176359292643657,25.32589124539156,25.753768596358707,22.504074259764632,21.83747102505068
2057,20.25621050352369,20.7351598192212,22.92869557798466,25.395739258242493,26.167060041673658,26.804938315463712,25.67870326772205,25.25487991962308,25.69513077314989,25.50170729437227,24.15046775876792,21.88390940422649
2058,20.316116384296656,24.018771908786213,24.32740395390876,25.24877151968486,27.832631520548592,27.2826323561896,26.29533768614141,25.67877668550134,25.90034630143337,25.39697075173169,23.5934259848309,20.125036873216832
2059,20.99089622748261,21.775045873951363,23.93971249111265,24.306497486194257,27.472043725615467,26.93531773563962,26.45403018865762,25.688917885070364,25.89326148109182,25.21643975270321,22.400655454985657,20.121809674050738
2060,19.47798994979878,20.83906215789858,23.65753485031782,25.56462123843398,27.83862626098876,26.76991828932022,26.078481462376978,25.66971872653184,25.79948167569646,25.234391632997,24.37620229176825,21.55685628112597
2061,19.193084316983924,22.22131931170612,23.951208982497672,26.433485252640697,27.274606881544383,26.700707711680764,25.801378581018103,25.570240280476703,25.376304251882413,25.459999876254784,23.855480617966688,22.459968691105583
2062,19.412801207804947,22.981875804692184,24.60195986015151,25.39399614544992,26.429824347030493,27.31082313364941,26.256540807326136,25.423994795095343,26.04469238764976,25.944441850266056,23.103303508172228,21.249805976514963
2063,20.83469516202513,20.692647411969087,23.02027480048526,25.33994929493901,27.525463328801447,27.19181173629101,26.269063659833925,25.76840565902258,26.11033491671055,25.629790992278483,23.524123097583928,21.50517142501572
2064,19.62343768393812,22.47201922227102,24.49508612604344,26.10564395774101,28.00480207040311,27.14217168018269,25.996054948368457,26.01439157310393,25.94840395087005,25.83354570690395,23.165997523076417,21.11955575307277
2065,21.14328033134711,21.84830664075657,22.827367889605497,25.107560348246125,27.06773602735465,27.570563224628195,26.59923908602549,26.0749063775128,25.85818827255845,25.7239201507067,23.252845503481687,21.893689136850018
2066,20.073097672382765,21.082497844080446,23.70495834484918,24.84429091312155,26.346286803271266,26.748964458840284,25.87267903002052,25.220767532309264,25.530221729827385,25.993265200567382,24.057095303695768,21.618451218232128
2067,20.226233902573654,21.84887520446905,23.59268255720136,25.59586896652297,26.79699141480147,27.070382147835065,26.00248537781784,25.62306567833499,25.491676337336152,25.923368866752966,23.07059106175981,21.76291552962984
2068,19.15555543049496,20.521190583428567,23.563292473672004,24.228968699560173,26.18445862068058,26.61887429668108,25.443303785291985,24.8408077207976,25.69312338430172,25.43121288344919,24.894787719155243,23.057712185977284
2069,19.764883174325124,21.567831575040973,24.21535807609407,26.884714824604107,27.50620831149904,27.26159967569364,26.72010697689883,25.986810678006385,25.512208025266624,26.12749299110448,24.589084021466988,20.719547858924287
2070,21.154930670386246,22.624324708191885,23.82052952711168,25.29734346863838,26.313781700670354,26.869011430187967,26.47661043228517,25.745905505401403,26.006777125906105,25.40741925469136,23.54915384385648,20.933461680509986
2071,21.25319749985488,22.5874296293018,23.89486031985924,26.52280857785172,27.664668621715105,27.06204122061019,26.62052920888481,25.827374792107506,26.4784730786041,25.98319834477561,24.02603017136841,21.00455621441207
2072,20.32982121512001,20.441108733193804,23.451991101097057,25.295137056020103,26.202339033472555,27.39921622856528,27.072070958813644,25.67688816035866,26.483317807955125,26.034104559753462,23.99694155667732,20.61054918018028
2073,22.68338983684895,20.886599468965056,24.30963022914223,24.89687320674646,28.101569959931226,27.94434703015812,26.86978789485905,25.509562799287178,25.89583721838005,25.9899490619093,22.568390857030067,21.76398827492111
2074,20.154285692561228,22.45921636578862,23.850729012994165,26.527320249859265,26.7116333770086,27.22101647494141,26.35083870549272,26.19625032221659,25.426047222148767,26.05051680274336,24.05836777372435,21.646324750178177
2075,20.02132104863488,21.46468666746032,23.68573035057704,25.602140674227257,26.86348278295476,26.44280234191963,26.548633590582,25.834081751105977,25.700426315219765,25.281109845835367,24.467614817991308,21.435069379738337
2076,19.58081276928753,20.60700877019778,23.78408129804821,24.623461229183366,26.98473320203744,27.31408333110029,26.199033697507595,25.395680071212464,26.320538076152967,25.17771512138254,23.99838599405248,22.37924699443961
2077,23.257989027587744,21.39814335194261,22.207881399783663,26.546073009365408,27.755696001969064,27.79896937152304,26.53022308881894,26.149497765595985,25.86996411458708,25.88782540984208,23.346393297790865,20.961655814265825
2078,19.172877654667143,22.06967152140056,24.880539318668625,25.61294840229084,27.633714736659115,27.50981011590612,26.77366351161376,25.5658849763562,25.86697568080228,25.6667214677944,24.09006316094462,21.120504826126428
2079,19.790545100522447,22.473662540330825,23.92911398440157,25.30240113732062,27.28630265852152,27.474811455087693,26.567159239833288,25.697803212490367,25.951392798439603,25.46774784185965,23.77163656543906,22.25693809571334
2080,20.091440889740834,22.075635878720224,22.44762175683709,25.16984480127661,26.81963648346561,27.872843682411325,26.02319616354272,26.13970711798075,26.132035639236697,26.25549772382187,25.372149257483336,21.48755364641038
