day,mean,min,max,var
1,1.763183376996331e-07,0.0,3.849833400199309e-06,pr
2,2.760759414626662e-07,0.0,6.303442068732133e-06,pr
3,5.082514246508758e-08,0.0,5.183295307415365e-07,pr
4,4.817407331413572e-08,0.0,5.116329361479594e-07,pr
5,1.7232931074527228e-07,0.0,4.747344433260843e-06,pr
6,9.185315041594336e-08,0.0,1.5320430057452513e-06,pr
7,8.634381986977013e-08,0.0,1.747403565149312e-06,pr
8,3.860768015432855e-08,0.0,1.1016236887026269e-06,pr
9,6.859547100989912e-08,0.0,1.5077162823753976e-06,pr
10,2.2910651498351256e-08,0.0,6.4807793866569e-07,pr
11,1.3723204040941158e-07,0.0,2.943978199843928e-06,pr
12,1.5163104804331209e-06,0.0,3.438241848151035e-05,pr
13,1.2570235356908965e-06,0.0,3.503461701098972e-05,pr
14,1.1299823194016555e-06,0.0,2.8847678028285508e-05,pr
15,5.168267172873404e-08,0.0,1.2873030399528054e-06,pr
16,1.555535181005205e-06,0.0,4.475833673906556e-05,pr
17,2.786068225321302e-06,0.0,8.085608803690712e-05,pr
18,3.1454893727717887e-06,0.0,9.425764764468196e-05,pr
19,6.849927288937074e-08,0.0,2.034328185531741e-06,pr
20,1.3027780655815422e-07,0.0,2.617116758694886e-06,pr
21,2.9640672172661527e-08,0.0,8.401753142859206e-07,pr
22,1.2788014482591797e-08,0.0,3.143914027181032e-07,pr
23,7.126855616799003e-09,0.0,1.6154713414142342e-07,pr
24,1.206469718667122e-07,0.0,1.602426405537309e-06,pr
25,1.6560395799934533e-07,0.0,4.749010789776326e-06,pr
26,1.7106300994004959e-07,0.0,4.913040815972067e-06,pr
27,1.449700780906955e-07,0.0,4.334613759066248e-06,pr
28,7.85961839911472e-09,0.0,1.2690596666775365e-07,pr
29,1.5141845502420264e-06,0.0,3.403221363239572e-05,pr
30,4.1462195225761705e-07,0.0,1.1550962486748314e-05,pr
31,1.0339969258444922e-07,0.0,2.5229636614571628e-06,pr
32,2.9778289621455077e-08,0.0,5.075902306594483e-07,pr
33,1.8457195329654775e-07,0.0,4.829522077171064e-06,pr
34,3.5769893415904354e-07,0.0,6.642215908599549e-06,pr
35,4.244224553056686e-07,0.0,1.1776655999451853e-05,pr
36,1.794227574232412e-07,0.0,5.289093839306284e-06,pr
37,8.041822049097761e-07,0.0,1.3806648804040608e-05,pr
38,9.363909134616619e-07,0.0,1.814801059775176e-05,pr
39,1.301633472806194e-06,0.0,1.538200224708288e-05,pr
40,4.278894062674406e-07,0.0,5.040735740121572e-06,pr
41,1.7759398254729386e-05,0.0,0.0005249341390404908,pr
42,2.1758106464775605e-05,0.0,0.0006190951328898537,pr
43,1.1706792437787444e-06,0.0,2.1773525960989625e-05,pr
44,1.4803342414899097e-06,0.0,3.795668630723727e-05,pr
45,2.584838885292057e-06,0.0,7.674170996401903e-05,pr
46,7.29900634790035e-06,0.0,0.00013559256972498832,pr
47,1.155580551308866e-06,0.0,2.939549097660022e-05,pr
48,5.755815708339845e-07,0.0,1.569249232664889e-05,pr
49,5.737870095729005e-07,0.0,1.4583803510611002e-05,pr
50,4.1299633843704126e-08,0.0,9.311750126362921e-07,pr
51,3.1428953848898447e-06,0.0,9.409993599366422e-05,pr
52,7.979535237480057e-06,0.0,0.00011476760268338621,pr
53,1.1920420646194504e-07,0.0,2.029024860506988e-06,pr
54,7.339368381455026e-06,0.0,0.0001228124848147414,pr
55,4.34398129556697e-05,0.0,0.0011967190559166582,pr
56,2.0997189266305847e-05,0.0,0.000572954633082898,pr
57,4.293042255668179e-07,0.0,9.582681014212297e-06,pr
58,4.613993337823808e-06,0.0,8.520803072571062e-05,pr
59,3.637596564432885e-06,0.0,9.362808436533121e-05,pr
60,1.6436282015950448e-05,0.0,0.00033670477667547064,pr
61,3.908545587534463e-05,0.0,0.0011699119103328656,pr
62,1.8770473740879465e-06,0.0,4.6713299261613386e-05,pr
63,9.06955709083707e-06,0.0,0.0002445950388697039,pr
64,5.5394409152731395e-06,0.0,0.0001349276065566442,pr
65,8.99649634854308e-05,0.0,0.001886733341416854,pr
66,4.3468144343261625e-05,0.0,0.0010240686378648518,pr
67,9.670111877869318e-06,0.0,0.00028347135789193845,pr
68,3.7986478678391016e-07,0.0,9.741701545771271e-06,pr
69,7.430571892559675e-05,0.0,0.0012488403793153753,pr
70,7.91434679450666e-05,0.0,0.0020398736287131217,pr
71,1.242640868285955e-09,0.0,2.0051828030110368e-08,pr
72,5.593545264731623e-08,0.0,1.2778212307296401e-06,pr
73,3.31747880256043e-06,0.0,9.793474763081345e-05,pr
74,1.0122379005018367e-08,0.0,1.2440392904763093e-07,pr
75,3.080752538573235e-08,0.0,4.2094401270336605e-07,pr
76,6.192536637970487e-08,0.0,1.3690532126767942e-06,pr
77,1.0297986196239158e-07,0.0,2.825547630411281e-06,pr
78,7.140406233530822e-08,0.0,1.1007422659546186e-06,pr
79,2.9085329513181278e-08,0.0,5.306647400365011e-07,pr
80,6.78539681200198e-08,0.0,1.627022381781397e-06,pr
81,5.874035199836037e-09,0.0,1.46050780279034e-07,pr
82,9.236260044135825e-06,0.0,0.00027699469123977226,pr
83,1.4020544241279928e-05,0.0,0.0004160601656706304,pr
84,2.3051656296987962e-07,0.0,6.68331982128726e-06,pr
85,1.2389346007884568e-07,0.0,2.9117503302312318e-06,pr
86,9.020282520724243e-10,0.0,2.706084756217273e-08,pr
87,3.524813911135582e-08,0.0,8.71688665527803e-07,pr
88,3.0808478039078526e-09,0.0,7.418127299761897e-08,pr
89,9.663325324813975e-09,0.0,2.0580305974945447e-07,pr
90,2.8771910413442435e-09,0.0,7.676618926795122e-08,pr
91,5.234734455506084e-07,0.0,1.512053018181926e-05,pr
92,5.001707629175756e-06,0.0,7.722935388610986e-05,pr
93,5.9569228669882886e-05,0.0,0.0017839238936900644,pr
94,1.5274194466149746e-05,0.0,0.00038728171608345334,pr
95,6.091428936884966e-07,0.0,1.14058256535457e-05,pr
96,7.51960495957201e-06,0.0,5.934484697486042e-05,pr
97,2.943634175946311e-06,0.0,5.904927876326176e-05,pr
98,6.582197521319903e-07,0.0,1.7857221662133278e-05,pr
99,3.199183741638728e-08,0.0,5.525211817366178e-07,pr
100,2.5348919581212476e-06,0.0,7.604675874363743e-05,pr
101,8.571666091249165e-06,0.0,0.00022751535799483982,pr
102,2.993040694396219e-06,0.0,8.681217725041714e-05,pr
103,1.4444756467986217e-06,0.0,1.9889159736605486e-05,pr
104,1.8809181378103178e-06,0.0,5.270420826832515e-05,pr
105,2.1345057221603134e-05,0.0,0.0006212980019904536,pr
106,7.010349959256898e-06,0.0,0.00020459550108244395,pr
107,2.981267796822954e-06,0.0,8.859177966769219e-05,pr
108,0.001255012154294772,0.0,0.0375143689033659,pr
109,8.80770805841368e-05,0.0,0.002583411828370685,pr
110,0.0008060241634271396,0.0,0.023047854684447817,pr
111,0.005122266863415145,0.0,0.1510811205228704,pr
112,0.00028888481982792917,0.0,0.008086231641384034,pr
113,9.966676781370598e-05,0.0,0.0027563972762158417,pr
114,4.4712866757033424e-05,0.0,0.000778274877957858,pr
115,4.804278420506076e-05,0.0,0.0005964605152316415,pr
116,2.9659957717701055e-05,0.0,0.0004512319627387154,pr
117,0.019629073886715132,0.0,0.546422899132864,pr
118,0.06342345434807754,0.0,1.3191076909778021,pr
119,0.053575310493218856,0.0,1.4270716012623677,pr
120,0.10136680986140646,0.0,2.3905419900678266,pr
121,0.2500973219450948,0.0,5.688636057352878,pr
122,0.3876734183190354,0.0,5.71169096573097,pr
123,0.22510667968697493,0.0,4.787792124686412,pr
124,0.035313129251119305,0.0,1.036651802774653,pr
125,0.0126748605122343,0.0,0.35232131787119364,pr
126,0.032014838592780516,0.0,0.9180782390862092,pr
127,0.009691117673569028,0.0,0.16215429773414156,pr
128,0.03298395665989699,0.0,0.5005936900980512,pr
129,0.03554600087280919,0.0,0.7019896099905253,pr
130,0.010624549254790058,0.0,0.1339331419017356,pr
131,0.06537604296497475,0.0,0.9924134885617945,pr
132,0.004003022515102269,0.0,0.06042259972254154,pr
133,0.012011330531945781,0.0,0.34792086106265263,pr
134,0.008758897867469572,0.0,0.24265994351391465,pr
135,0.018917826435294285,0.0,0.5180204395287059,pr
136,0.03332248732484381,0.0,0.5987934493476196,pr
137,0.08382491049380342,0.0,1.8629729121284442,pr
138,0.052464074639962464,0.0,0.5238483074352842,pr
139,0.02212061135646508,0.0,0.23059758924464538,pr
140,0.026483896618567836,0.0,0.3801801987191564,pr
141,0.05069672046242508,0.0,0.664152441333107,pr
142,0.030043488540890926,0.0,0.24832095452501707,pr
143,0.022191308295729368,0.0,0.4447864345139818,pr
144,0.8559432869189395,0.0,24.171215312055505,pr
145,0.14175013580257373,0.0,3.1948000119417084,pr
146,0.8676538143782264,0.0,13.836875699869083,pr
147,0.3116356917546545,0.0,4.497896088194169,pr
148,0.11475520883246258,0.0,1.5534049651022466,pr
149,0.38566748567275955,0.0,4.304841711247415,pr
150,0.5288288642435666,0.0,11.737514705080905,pr
151,0.8426699757747149,0.0,13.170674192598112,pr
152,0.4646711430141186,0.0,4.510865146596324,pr
153,0.9674746002097468,0.0,13.201677315852491,pr
154,0.8398853953187155,0.0,9.387453329197758,pr
155,0.48758560247753496,0.0,5.617785842527278,pr
156,0.8844289863718443,0.0,9.23075555142127,pr
157,1.3354732458550802,0.0,12.302901658444652,pr
158,1.3932081257681537,0.0,25.719841827065277,pr
159,0.9848928168501557,0.0,15.621160159080828,pr
160,0.5499126713056327,0.0,4.367392814019447,pr
161,0.515372315039352,0.0,2.2068763890157066,pr
162,1.1802755573330592,0.0,10.391279933148146,pr
163,2.100478333574358,0.0,28.653069025205106,pr
164,1.3455392341508778,0.0,11.337269554798107,pr
165,0.7337212258912522,0.0,3.163816641368419,pr
166,0.5680284888093944,0.0,3.9628228009381696,pr
167,0.39022526704736993,0.0,2.7776707776099236,pr
168,0.8488204330324617,0.0,3.300997883068414,pr
169,1.496434426569669,0.0,10.79838077090648,pr
170,1.4866194291273516,0.0,9.998553620464456,pr
171,1.880084503484356,0.0,13.518463359080869,pr
172,1.4089499158180947,0.0,13.086138409227281,pr
173,1.5613003971039316,1.1941969935832833e-05,17.905684184598424,pr
174,0.8103702791124108,0.0,6.070320556869743,pr
